sargon_p::ancient_author,Letter_Opening,nos_words,Opening: Type,Opening: God(s),Opening: Concern(s),id_text,sargon_p::primary_publication,sargon_p::volume,SAA no.,sargon_p::senderloc,sargon_p::dossier,tablet_physical_features 1,tablet_physical_features 2,,Letter_Subj 1,Letter_Subj 2,Letter_Subj 3,Dating_elements,designation,sign_form,f,a,m,detailed_comments,f_a_m,mzl_json 2::generic_comments,sign_id,sign_context,sign_value,photo,sargon_p::ch_no,sargon_p::museum_no,,sign_position,sign_preservation,sign_ref_form_headword_sender::form,ref_form_headword::xis_form,ref_form_headword::xis_headword,ref_form_headword::headword,sign_ref_form_headword_sender::cf,sign_ref_form_headword_sender::ref,sign_ref_form_headword_sender::gw,sign_ref_form_headword_sender::pos,sign_ref_form_headword_sender::sense,sign_ref_form_headword_sender::epos,sign_ref_form_headword_sender::line_label,
Aššur-belu-taqqin,a-na LUGAL be-lí-ia ARAD-ka maš-šur—U—LAL-in lu-u DI-mu a-na LUGAL be-lí-ía,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P313479,CT 53 064,SAA 15,177,Northern Babylonia,SAA15.06.02.a,,,,,,,,P313479.2.2.0 (LUGAL; LUGAL\t),LUGAL,t,,,,t,tilted wedge(s),P313479.2.2.0,LUGAL\t,LUGAL,,Ch. 6,K 14600+,,,,LUGAL,akk.r02556,akk.r02555,šarru[king]N,šarru,P313479.2.2,king,N,king,N,o 1,
Aššur-belu-uda’’an,a-na LUGAL be-lí-ia ARAD-ka maš-šur—EN—KALAG-an ⸢lu⸣-u DI-mu a-na LUGAL be-lí-ia dPA u dŠÚ a-na LUGAL be-lí-ia lik-ru-bu :  DI-mu a-na ma-⸢a⸣-te ša LUGAL BURU₁₄* ⸢x x⸣ [x x x x] [ib]-⸢tal⸣-ṭa* :  ŠÀ-bu ⸢ša⸣ [LUGAL EN-ia] lu ⸢DÙG⸣.[GA] ,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya šulmu ana ON (+ON) (libbu ša) šarrri bēlīya (adanniš) lū ṭab(šu),"Nabû, Marduk","Land of the King, Harvest",P313478,CT 53 063,SAA 5,127,Kurbail,SAA05.07.02.a,,,,,,,,P313478.2.3.0 (BAD; be\d-li₂-ia),BAD,d,,,,d,displaced wedge(s),P313478.2.3.0,be\d-li₂-ia,be,,Ch. 7,K 12957+,,,,be-li₂-ia,akk.r0064f,akk.r00629,bēlu[lord]N,bēlu,P313478.2.3,lord,N,lord,N,o 1,
Aššur-belu-uda’’an,a-na LUGAL EN-ia ARAD-ka maš-šur—EN—KALAG-an lu-u DI-mu a-na MAN EN-ia dAG u dAMAR.UTU a-na MAN EN-ia lik-ru-bu ,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya DN (+DN) likrubu,"Nabû, Marduk",,P334179,ABL 0243,SAA 5,126,Kurbail,SAA05.07.02.a,,,,,,,,P334179.7.3.1 (AL; la-al\d-lik-ka),AL,d,,,,d,displaced wedge(s),P334179.7.3.1,la-al\d-lik-ka,al,,Ch. 7,K 00567,,,,la-al-lik-ka,akk.r0019e,akk.r00123,alāku[go]V,alāku,P334179.7.3,go,V,come,V,o 6,
Aššur-belu-uṣur,[a]-⸢na⸣ LUGAL be-lí-ia [ARAD]-ka maš-šur-EN-PAB lu šul-mu [a]-na LUGAL EN-ia ,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334177,ABL 0241,SAA 15,61,Kisheshim,SAA15.03.02.a,,,,,,,,P334177.5.6.0 (IŠ; iš\t-pur-an-ni),IŠ,t,,,,t,tilted wedge(s),P334177.5.6.0,iš\t-pur-an-ni,iš,,Ch. 3,K 01044,,,,iš-pur-an-ni,akk.r02463,akk.r023f0,šapāru[send]V,šapāru,P334177.5.6,send,V,write,V,o 4,
Aššur-belu-uṣur,a-na ⸢LUGAL⸣ be-lí-ía ⸢ARAD⸣-ka maš-šur-EN-PAB ⸢lu⸣ šul-mu a-na LUGAL EN-ia,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334178,ABL 0242,SAA 15,60,Kisheshim,SAA15.03.02.a,,,,,,,,P334178.5.4.0 (IŠ; iš\t-pur-an-ni),IŠ,t,,,,t,tilted wedge(s),P334178.5.4.0,iš\t-pur-an-ni,iš,,Ch. 3,K 11148,,,,iš-pur-an-ni,akk.r02463,akk.r023f0,šapāru[send]V,šapāru,P334178.5.4,send,V,write,V,o 4,
Aššur-belu-uṣur,a-na ⸢LUGAL⸣ be-lí-ía ⸢ARAD⸣-ka maš-šur—EN—PAB ⸢lu⸣ šul-mu a-na LUGAL EN-ia,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334178,ABL 0242,SAA 15,60,Kisheshim,SAA15.03.02.a,,,,"Tribute and troops to deliver to Babylon via Bit-Hamban
Problems in delivery
Mules lost on their way to Bit-Kari
Itueans",,,,P334178.36.1.1 (BA; u₂-ba\t-u₂),BA,t,,,,t,tilted wedge(s),P334178.36.1.1,u₂-ba\t-u₂,ba,,Ch. 3,K 11148,,,,u₂-ba-u₂,akk.r00606,akk.r005fd,buʾʾû[look for]V,buʾʾû,P334178.36.1,look for,V,look for,V,r 10',
Aššur-dur-paniya,[a-na LUGAL EN-a] ARAD-ka maš-šur—BÀD—pa-ni-[ia] lu-u DI-mu a-na LUGAL EN-a,10,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334529,ABL 0742,SAA 5,59,Rab Šaqê Province,SAA05.04.01.a,,,,,,,,P334529.6.1.0 (LU₂; {lu₂vy}qur-bu-te),LU₂,y,v,,,yv,"tilted wedge(s), other variation",P334529.6.1.0,{lu₂vy}qur-bu-te,LU₂,,Ch. 4,"Rm 2,0462",,,,{LU₂}qur-bu-te,akk.r02228,akk.r02227,ša-qurbūti[close follower]N,ša-qurbūti,P334529.6.1,close follower,N,(royal) confidant,N,o 5,
Aššur-dur-paniya,[a-na] ⸢LUGAL⸣ be-lí-[ia] [ARAD-ka] maš-šur—BÀD—IGI-⸢ia⸣ [lu-u] ⸢šul⸣-mu a-na LUGAL be-lí-[ia],10,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334528,ABL 0741,SAA 5,55,Rab Šaqê Province,SAA05.04.01.a,,,,,,,,P334528.9.1.4 (LI; {lu₂}⸢da⸣-a.a-li\p-ia),LI,p,,,,p,additional wedge(s),P334528.9.1.4,{lu₂}⸢da⸣-a.a-li\p-ia,li,,Ch. 4,Sm 0807,,,,{LU₂}da-a.a-li-ia,akk.r00784,akk.r0077f,dayyālu[scout]N,dayyālu,P334528.9.1,scout,N,scout,N,o 8,
Aššur-dur-paniya,a-na LUGAL be-lí-ia ARAD-ka maš-šur—BÀD—IGI-ia lu šul-mu a-na LUGAL be-lí-ia,10,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334187,ABL 0252,SAA 5,52,Rab Šaqê Province,SAA05.04.01.a,,,,,,,,P334187.26.1.2 (AK; i-sa-ak\t-nu),AK,t,,,,t,tilted wedge(s),P334187.26.1.2,i-sa-ak\t-nu,ak,,Ch. 4,K 00525,,,,i-sa-ak-nu,akk.r022db,akk.r022ca,šakānu[put]V,šakānu,P334187.26.1,put,V,place,V,b.e. 24,
Aššur-dur-paniya,a-na LUGAL be-lí-ia ARAD-ka maš-šur—BÀD—IGI-ia lu-ú šul-mu a-na LUGAL be-lí-ia,10,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P313448,CT 53 033,SAA 5,56,Rab Šaqê Province,SAA05.04.01.a,,,,,,,,P313448.22.2.1 (BA; i-ba\t-aš₂-ši),BA,t,,,,t,tilted wedge(s),P313448.22.2.1,i-ba\t-aš₂-ši,ba,,Ch. 4,K 01207+,,,,i-ba-aš₂-ši,akk.r00591,akk.r00590,bašû[exist]V,bašû,P313448.22.2,exist,V,exist,V,r 3,
Aššur-dur-paniya,a-na LUGAL be-lí-ia ARAD-ka maš-šur—BÀD—IGI-ia lu-ú šul-mu a-na LUGAL be-lí-ia,10,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334186,ABL 0251,SAA 5,53,Rab Šaqê Province,SAA05.04.01.a,,,,,,,,P334186.7.4.0 (IL; il\t-li\p-kan-a-ni),IL,t,,,,t,tilted wedge(s),P334186.7.4.0,il\t-li\p-kan-a-ni,il,,Ch. 4,K 00506,,,,il-li-kan-a-ni,akk.r0017c,akk.r00123,alāku[go]V,alāku,P334186.7.4,go,V,come,V,o 6,
Aššur-patinu,a-na LUGAL EN-ia ARAD-ka maš-šur—pa-ti*-⸢nu⸣ lu-u šul-mu a-na LUGAL EN-ia,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334625,ABL 0922,SAA 5,49,Bit-Zamani,SAA05.03.04.a,,,,,,,,P334625.6.2.1 (DA; [GID₂].DA\d-MEŠ\mm),DA,d,,,,d,displaced wedge(s),P334625.6.2.1,[GID₂].DA\d-MEŠ\mm,DA,,Ch. 3,"82-5-22,0140",,,,GID₂.DA-MEŠ,akk.r003c9,akk.r003c6,arku[long]AJ,arku,P334625.6.2,long,AJ,long,AJ,o 5,
Aššur-reṣiwa,a-na LÚ.02-e EN-ia ARAD-ka maš-šur—re-ṣi-u-a lu-u DI-mu ina EN-ía,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334258,ABL 0382,SAA 15,288,uncertain,SAA15.09.01.a,,,,,,,,P334258.3.1.0 (ARAD; ARAD\p-ka),ARAD,p,,,,p,additional wedge(s),P334258.3.1.0,ARAD\p-ka,ARAD,,Ch. 9,"81-7-27,199",,,,ARAD-ka,akk.r0039c,akk.r00392,ardu[slave]N,ardu,P334258.3.1,slave,N,servant,N,o 2,
Aššur-reṣuwa,[a-na] ⸢LUGAL⸣ be-lí-⸢ia⸣ [ARAD-ka] maš-šur—re-ṣu-u-a [lu] ⸢DI⸣-mu a-na LUGAL be-lí-ia,10,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334339,ABL 0492,SAA 5,86,Kumme,SAA05.06.01.a,,,,,,,,P334339.12.1.1 (BU; gab\p-bu\p),BU,p,,,,p,additional wedge(s),P334339.12.1.1,gab\p-bu\p,bu,,Ch. 6,"81-2-4,060",,,,gab-bu,akk.r00b30,akk.r00b29,gabbu[totality]N,gabbu,P334339.12.1,totality,N,all,N,o 11,
Aššur-reṣuwa,[a-na] ⸢LUGAL⸣ be-lí-ia [ARAD]-⸢ka⸣ maš-šur—re-ṣu-u-a [lu] DI-mu a-na LUGAL be-lí-ia,10,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P337150,TCL 9 67,SAA 5,100,Kumme,SAA05.06.01.a,,,,,,,,P337150.31.4.1 (AL; liš\d-al\d-šu₂-nu),AL,d,,,,d,displaced wedge(s),P337150.31.4.1,liš\d-al\d-šu₂-nu,al,,Ch. 6,N. III 3158,,,,liš-al-šu₂-nu,akk.r026e9,akk.r026c6,šâlu[ask]V,šâlu,P337150.31.4,ask,V,ask,V,r 9,
Aššur-reṣuwa,[a]-⸢na⸣ LUGAL be-lí-ía ⸢ARAD⸣-ka maš-šur—re-ṣu-u-a [lu] DI-mu a-na LUGAL be-[lí-ía],10,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334338,ABL 0491,SAA 5,94,Kumme,SAA05.06.01.a,,,,,,,,P334338.2.2.0 (LUGAL; LUGAL\m),LUGAL,m,,,,m,missing wedge(s),P334338.2.2.0,LUGAL\m,LUGAL,,Ch. 6,Sm 0677,,,,LUGAL,akk.r02556,akk.r02555,šarru[king]N,šarru,P334338.2.2,king,N,king,N,o 1,
Aššur-reṣuwa,a-na  LÚv.IGI.DUB be-lí-ía ARAD-ka maš-šur—re-ṣu-u-a lu DI-mu a-na be-lí-ía,9,ana m/LÚ-* bēlīya (urdaka) PN,,,P334091,ABL 0145,SAA 5,96,Kumme,SAA05.06.01.a,,,,"watch on Urartu
Ukku
Muṣaṣir",,,,P334091.19.1.2 (BUR; la-aš₂-pur\p),BUR,p,,,,p,additional wedge(s),P334091.19.1.2,la-aš₂-pur\p,pur,,Ch. 6,K 00910,,,,la-aš₂-pur,akk.r02471,akk.r023f0,šapāru[send]V,šapāru,P334091.19.1,send,V,write,V,r 7',
Aššur-reṣuwa,a-na LUGAL ⸢be⸣-[lí-ía] ARAD-ka maš-šur—re-ṣu-u-a lu DI-mu a-na LUGAL be-lí-ía,10,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334256,ABL 0380,SAA 5,88,Kumme,SAA05.06.01.a,,,,,,,,P334256.8.2.0 (BU; pu\p-tu\tp-u-a),BU,p,,,"four WInkelhaken
(it is almost a pu\pt)",p,additional wedge(s),P334256.8.2.0,pu\p-tu\tp-u-a,pu,P334256.8.2.0.png,Ch. 6,"Rm 2,0003",,Word Initial,Complete,pu-tu-u-a,akk.r01a19,akk.r01a14,pūtu[forehead]N,pūtu,P334256.8.2,forehead,N,opposite,PRP,o 7,
Aššur-reṣuwa,a-na LUGAL be-lí-ía ARAD-ka maš-šur—re-ṣu-u-a ⸢lu DI-mu⸣ a-na LUGAL be-lí-ía,10,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334094,ABL 0148,SAA 5,85,Kumme,SAA05.06.01.a,,,,,,,,P334094.5.4.1 (BU; šu-pu\p-ur),BU,p,,,,p,additional wedge(s),P334094.5.4.1,šu-pu\p-ur,pu,,Ch. 6,K 01907,,,,šu-pu-ur,akk.r0249d,akk.r023f0,šapāru[send]V,šapāru,P334094.5.4,send,V,send,V,o 4,
Aššur-reṣuwa,a-na LUGAL be-lí-ía ARAD-ka maš-šur—re-ṣu-u-a lu DI-mu a-na LUGAL be-lí-ía,10,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334090,ABL 0144,SAA 5,91,Kumme,SAA05.06.01.a,,,,"watch on Urartu
revolt against the Urartian king
Assyrian official missing in Ukke",,,,P334090.19.2.2 (AL; i-sa-al\d-šu₂-nu),AL,d,,,,d,displaced wedge(s),P334090.19.2.2,i-sa-al\d-šu₂-nu,al,,Ch. 6,K 00194,,,,i-sa-al-šu₂-nu,akk.r026d9,akk.r026c6,šâlu[ask]V,šâlu,P334090.19.2,ask,V,ask,V,o 18,
Aššur-reṣuwa,a-na LUGAL be-lí-ia ARAD-ka maš-šur—re-ṣu-u-a lu DI-mu a-na LUGAL be-lí-ia DI-mu ⸢a*-na⸣ KUR ša LUGAL DI-mu a-na URU.ḪAL.ṢU lu DI-mu a-na LUGAL be-lí-ía,23,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya šulmu ana ON (+ON),,"Land of the King, The Fort of the King",P334092,ABL 0146+,SAA 5,92,Kumme,SAA05.06.01.a,,,,,,,,P334092.27.1.1 (BU; ku-pu\p),BU,p,,,,p,additional wedge(s),P334092.27.1.1,ku-pu\p,pu,,Ch. 6,K 12992+,,,,ku-pu,akk.r0105f,akk.r0105d,kuppû[snow]N,kuppû,P334092.27.1,snow,N,snow,N,r 4',
Aššur-reṣuwa,a-na LUGAL EN-ia ARAD-ka maš-šur—re-ṣu-u-a lu-u šul-mu a-na LUGAL EN-ía,10,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334257,ABL 0381,SAA 5,84,Kumme,SAA05.06.01.a,,,,,,,,P334257.10.1.2 (BA; {1}a-ba\t-lu-qu-nu),BA,t,,,"the upper horizontal joins the middle one
(although it looks like the same ""intention"" was put here and in the ZU sign on line o 7)",t,tilted wedge(s),P334257.10.1.2,{1}a-ba\t-lu-qu-nu,ba,P334257.10.1.2.png,Ch. 6,"81-2-4,055",,Word Medial,Complete,{1}a-ba-lu-qu-nu,qpn.r00005,qpn.r00003,Abaliuqunu[1]PN,Abaliuqunu,P334257.10.1,1,PN,1,PN,o 9,
Aššur-šarru-ibni,[a]-na LUGAL be-lí-ía ARAD-ka maš-šur—MAN—DÙ lu DI-mu a-na ⸢LUGAL⸣ [EN-ía],,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P313523,CT 53 108,SAA 1,149,Assyria,SAA01.07.07.a,,,,,,,,P313523.7.2.1 (LI; i-li\d-ku-ni),LI,d,,,,d,displaced wedge(s),P313523.7.2.1,i-li\d-ku-ni,li,,Ch. 7,K 11822,,,,i-li-ku-ni,akk.r00152,akk.r00123,alāku[go]V,alāku,P313523.7.2,go,V,go,V,o 6,
Aššur-šumu-ka’’in,a-na ⸢LUGAL⸣ [EN-ia] ARAD-ka maš-šur—⸢MU*—GIN⸣ lu-u DI-mu a-na LUGAL EN-⸢ia⸣ ⸢d⸣aš-šur a-na LUGAL EN-ia lik-ru-⸢ub⸣,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya DN (+DN) likrubu,Aššur,,P313439,CT 53 024,SAA 1,150,Assyria,SAA01.07.08.a,,,,,,,,P313439.31.4.2 (DI; {urud}a-di\d-a),DI,d,,,,d,displaced wedge(s),P313439.31.4.2,{urud}a-di\d-a,di,,Ch. 7,K 01612+,,,,{URU}a-di-a,qpn.r00022,qpn.r00022,Adia[1]GN,Adia,P313439.31.4,1,GN,1,GN,r 9,
Aššur-zeru-ibni,IM maš-šur—NUMUN—DÙ a-na mU.GUR—KAR-ir PAB-u-a DI-mu a-a-ši lu-u DI-mu a-na PAB-u-a,,IM PN ana PN/LÚ-*,,,P337151,TCL 9 68,SAA 5,81,Northeastern Assyria,SAA05.05.03.a,,,,,,,,P337151.4.1.0 (DI; DI\d-mu),DI,d,,,,d,displaced wedge(s),P337151.4.1.0,DI\d-mu,DI,,Ch. 5,AO 04506,,,,DI-mu,akk.r0266e,akk.r0266a,šulmu[completeness]N,šulmu,P337151.4.1,completeness,N,health,N,o 3,
Aššur-zeru-ibni,IM maš-šur—NUMUN—DÙ a-na mU.GUR—KAR-ir PAB-u-a DI-mu a-a-ši lu-u DI-mu a-na PAB-u-a,,IM PN ana PN/LÚ-*,,,P337151,TCL 9 68,SAA 5,81,Northeastern Assyria,SAA05.05.03.a,,,,,,,,P337151.2.2.3 (KUL; {1}aš-šur—NUMUN\d—DU₃),KUL,d,,,,d,displaced wedge(s),P337151.2.2.3,{1}aš-šur—NUMUN\d—DU₃,NUMUN,,Ch. 5,AO 04506,,,,{1}aš-šur-NUMUN—DU₃,,,,Aššur-zeru-ibni,P337151.2.2,1,PN,1,PN,o 1,
Bel-duri,a-na LUGAL EN-ía ARAD-ka mEN—BÀD,,ana šarrri bēlīya urdaka PN,,,X900011,NL 018; ND 2645; SAA 19 171,SAA 1,,Damascus,SAA01.08.01.a,,,,,,,,X900011.13.1.0 (LIŠ; liš\d-u₂\m-lu),LIŠ,d,,,,d,displaced wedge(s),X900011.13.1.0,liš\d-u₂\m-lu,liš,,Ch. 8,IM 64093,,,,liš-u₂-lu,akk.r026ec,akk.r026c6,šâlu[ask]V,šâlu,X900011.13.1,ask,V,ask,V,o 12,
Bel-emuranni,a-na ⸢LUGAL⸣ be-lí-ía ARAD-ka mEN—IGI.LAL-ni lu DI-mu a-na LUGAL EN-ía ,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334197,ABL 0309,SAA 5,246,Northeastern Assyria,SAA05.12.07.a,,,,,,,,P334197.4.2.0 (DI; DI\d-mu),DI,d,,,,d,displaced wedge(s),P334197.4.2.0,DI\d-mu,DI,,Ch. 12,K 01021,,,,DI-mu,akk.r0266e,akk.r0266a,šulmu[completeness]N,šulmu,P334197.4.2,completeness,N,health,N,o 3,
Bel-iddina,[a-na] LUGAL EN-ia ⸢ARAD⸣-ka mEN—AŠ,,ana šarrri bēlīya urdaka PN,,,P334355,ABL 0515,SAA 5,164,Allabria,SAA05.08.08.a,,,,,,,,P334355.32.1.0 (BA; ba\t-ti\t-qi₂-tu₂),BA,t,,,,t,tilted wedge(s),P334355.32.1.0,ba\t-ti\t-qi₂-tu₂,ba,,Ch. 8,K 00621,,,,ba-ti-qi₂-tu₂,akk.r00620,akk.r0061f,bātiqu[informer]N,bātiqu,P334355.32.1,informer,N,informer,N,r 13,
Bel-iddina,a-na LUGAL [EN]-⸢ia⸣ ARAD-ka m⸢EN⸣—AŠ lu DI-mu a-na LUGAL EN-ia,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334839,ABL 1298+,SAA 5,165,Allabria,SAA05.08.08.a,,,,,,,,P334839.13.2.1 (BA; ⸢a⸣-ba\d-ta-[x),BA,d,,,,d,displaced wedge(s),P334839.13.2.1,⸢a⸣-ba\d-ta-[x,ba,,Ch. 8,K 16529+,,,,a-ba-ta-x,,,,,P334839.13.2,,,,,o 12,
Bel-le’i,a-na LUGAL be-lí-ía ARAD-ka mEN*-ZU*,,ana šarrri bēlīya urdaka PN,,,P334307,ABL 0443,SAA 15,16,Arrapha,SAA15.01.02.a,,,,,,,,P334307.8.2.0 (E₂; E₂\d—BAD₃\m-a-ni),E₂,d,,,,d,displaced wedge(s),P334307.8.2.0,E₂\d—BAD₃\m-a-ni,E₂,,Ch. 1,K 00579,,,,E₂—BAD₃-a-ni,,,,bītu,P334307.8.2,house,N,,,o 7,
Bel-liqbi,a-na LUGAL EN-ia ARAD-ka mEN—liq-bi lu DI-mu a-na LUGAL EN-ia,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334284,ABL 0414,SAA 1,177,Zobah,SAA01.08.03.a,,,,,,,,P334284.5.2.2 (DI; E₂—mar-di\d-ti\t-ia),DI,d,,,,d,displaced wedge(s),P334284.5.2.2,E₂—mar-di\d-ti\t-ia,di,,Ch. 8,Rm 0077,,,,E₂-mar-di-ti-ia,akk.r0069c,akk.r00689,bītu[house]N,bītu,P334284.5.2,house,N,house,N,o 4,
City rulers,a-na LUGAL EN-ni LÚv.ARAD-MEŠ-ka LÚv.EN—URU-MEŠ ša ina URU.mil-qi-a,,ana šarrri bēlīya urdaka PN + PN lū šulmu ana šarrri bēlīya,,,P334359,ABL 0526,SAA 1,147,Assyria,SAA01.07.05.a,,,,,,,,P334359.12.1.1 (BU; iš-pu\t-ra-na-ši-ni),BU,t,,,,t,tilted wedge(s),P334359.12.1.1,iš-pu\t-ra-na-ši-ni,pu,,Ch. 7,K 00628,,,,iš-pu-ra-na-ši-ni,akk.r0245b,akk.r023f0,šapāru[send]V,šapāru,P334359.12.1,send,V,write,V,o 11,
Gabbu-ana-Aššur,[a-na LUGAL] ⸢EN-ia*⸣ ⸢ARAD-ka⸣ mgab-bu—a-na—aš-šur,,ana šarrri bēlīya urdaka PN,,,P334072,ABL 0124,SAA 5,120,Kurbail,SAA05.07.01.a,,,,financing construction works with booty,,,,P334072.8.3.1 (KIN; pa-qi\m-ni\d),KIN,m,,,,m,missing wedge(s),P334072.8.3.1,pa-qi\m-ni\d,qi,,Ch. 7,K 00903,,,,pa-qi-ni,akk.r0181e,akk.r0181e,paqnu[(meaning unknown)]AJ,paqnu,P334072.8.3,(meaning unknown),AJ,(meaning unknown),AJ,o 7,
Gabbu-ana-Aššur,[a-na LUGAL] ⸢EN-ia*⸣ ⸢ARAD-ka⸣ mgab-bu—a-na—aš-šur,,ana šarrri bēlīya urdaka PN,,,P334072,ABL 0124,SAA 5,120,Kurbail,SAA05.07.01.a,,,,,,,,P334072.7.1.0 (LU₂; {lu₂v}qur-bu-te),LU₂,,v,,,v,tilted wedge(s),P334072.7.1.0,{lu₂v}qur-bu-te,LU₂,,Ch. 7,K 00903,,,,{LU₂}qur-bu-te,akk.r02228,akk.r02227,ša-qurbūti[close follower]N,ša-qurbūti,P334072.7.1,close follower,N,(royal) confidant,N,o 6,
Gabbu-ana-Aššur,⸢a⸣-na ⸢LUGAL⸣ EN-ia ARAD-ka mgab-bu—ana—aš-šur,,ana šarrri bēlīya urdaka PN,,,P334070,ABL 0122,SAA 5,119,Kurbail,SAA05.07.01.a,,,,,,,,P334070.7.1.0 (LU₂; {lu₂v}mu-šar₂-kis-MEŠ-ni),LU₂,,v,,,v,tilted wedge(s),P334070.7.1.0,{lu₂v}mu-šar₂-kis-MEŠ-ni,LU₂,,Ch. 7,K 00491,,,,{LU₂}mu-šar₂-kis-MEŠ-ni,akk.r01485,akk.r0147d,mušarkisu[(military) procurement officer]N,mušarkisu,P334070.7.1,(military) procurement officer,N,procurement officer,N,o 6,
Gabbu-ana-Aššur,a-na LUGAL EN-ia ARAD-ka mgab-bu—ana—aš-šur,,ana šarrri bēlīya urdaka PN,,,P334069,ABL 0121+,SAA 5,121,Kurbail,SAA05.07.01.a,,,,,,,,P334069.8.2.1 (AMAR; ak-ṣur\p-u-ni),AMAR,p,,,extra small Winkelhaken on the lower horizontal,p,additional wedge(s),P334069.8.2.1,ak-ṣur\p-u-ni,ṣur,P334069.8.2.1.png,Ch. 7,K 01154+,,Word Medial,Complete,ak-ṣur-u-ni,akk.r00fd9,akk.r00fd5,kaṣāru[tie]V,kaṣāru,P334069.8.2,tie,V,organize,V,o 7,
Gabbu-ana-Aššur,a-na LUGAL EN-ia ARAD-ka mgab-bu—ana—aš-šur,,ana šarrri bēlīya urdaka PN,,,P334071,ABL 0123,SAA 5,113,Kurbail,SAA05.07.01.a,,,,,,,,P334071.8.4.2 (BA; {uru}kur-ba\t-il₃),BA,t,,,the horizontals are all one one line,t,tilted wedge(s),P334071.8.4.2,{uru}kur-ba\t-il₃,ba,P334071.8.4.2.png,Ch. 7,K 00574,,Word Medial,Complete,{URU}kur-ba-il₃,qpn.r0030c,qpn.r0030c,Kurbail[1]GN,Kurbail,P334071.8.4,1,GN,1,GN,o 7,
Gabbu-ana-Aššur,a-na LUGAL EN-ia ARAD-ka mgab-bu—ana—aš-šur,,ana šarrri bēlīya urdaka PN,,,P334073,ABL 0125,SAA 5,118,Kurbail,SAA05.07.01.a,,,,,,,,P334073.2.1.1 (NA; a-na\t),NA,t,,,,t,tilted wedge(s),P334073.2.1.1,a-na\t,na,,Ch. 7,K 00503,,,,a-na,akk.r002e5,akk.r002dd,ana[to]PRP,ana,P334073.2.1,to,PRP,to,PRP,o 1,
Hu-Teššub,a-na LUGAL EN-ía a—dan-niš a—dan-niš lu-u DI-mu ARAD-ka mḫu—te-šub,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334157,ABL 0215,SAA 5,45,Shubria,SAA05.03.01.a,,,,,,,,P334157.19.3.2 (HA@g; {kur}zi-kir\p-ta-a.a),HA@g,p,,,,p,additional wedge(s),P334157.19.3.2,{kur}zi-kir\p-ta-a.a,kir,,Ch. 3,K 01037,,,,{KUR}zi-kir-ta-a.a,qpn.r00597,qpn.r00595,Zikirtaya[Zikirtean]EN,Zikirtaya,P334157.19.3,Zikirtean,EN,Zikirtean,EN,r 6',
