sargon_p::ancient_author,Letter_Opening,nos_words,Opening: Type,Opening: God(s),Opening: Concern(s),id_text,sargon_p::primary_publication,sargon_p::volume,SAA no.,sargon_p::senderloc,sargon_p::dossier,tablet_physical_features 1,tablet_physical_features 2,,Letter_Subj 1,Letter_Subj 2,Letter_Subj 3,Dating_elements,designation,sign_form,f,a,m,detailed_comments,f_a_m,mzl_json 2::generic_comments,sign_id,sign_context,sign_value,photo,sargon_p::ch_no,sargon_p::museum_no,,sign_position,sign_preservation,sign_ref_form_headword_sender::form,ref_form_headword::xis_form,ref_form_headword::xis_headword,ref_form_headword::headword,sign_ref_form_headword_sender::cf,sign_ref_form_headword_sender::ref,sign_ref_form_headword_sender::gw,sign_ref_form_headword_sender::pos,sign_ref_form_headword_sender::sense,sign_ref_form_headword_sender::epos,sign_ref_form_headword_sender::line_label,
Ašipa,a-na LUGAL EN-[ia] ARAD-ka ma-ši-pa-[a] ⸢lu⸣ DI-mu a-na ⸢LUGAL⸣ ⸢EN⸣-ia a—dan-⸢niš⸣ [DI]-⸢mu⸣ a-na URU.[bi-rat] [a-na] KUR ša LUGAL [EN]-ia,19,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya šulmu ana ON (+ON),,Forts and Land of the King,P334349,ABL 0508,SAA 5,23,Tušhan,SAA05.02.01.a,,,,,,,,P334349.2.2.0 (LUGAL; LUGAL\t),LUGAL,t,,,The initial set of horizontals are titled.,t,tilted wedge(s),P334349.2.2.0,LUGAL\t,LUGAL,P334349.2.2.0.png,Ch. 2,DT 264,,Isolate,Complete,LUGAL,akk.r02556,akk.r02555,šarru[king]N,šarru,P334349.2.2,king,N,king,N,o 1,
Ašipa,a-na LUGAL EN-ía ARAD-ka ma-ši-pa-a lu DI-mu a-na LUGAL EN-ia a—dan-niš DI-mu a-na URU.bi-rat a-na KUR ša LUGAL EN-ia,19,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya šulmu ana ON (+ON),,Forts and Land of the King,P334296,ABL 0431,SAA 5,28,Tušhan,SAA05.02.01.a,,,,,,,,P334296.10.2.3 (BU; {sig₂t}tab-ri-bu\p),BU,p,,,"The photo is not sufficiently clear. Parpola's collation on p. 266 shows a damaged BU with a missing, extra wedge.",p,additional wedge(s),P334296.10.2.3,{sig₂t}tab-ri-bu\p,bu,Screen Shot 2018-06-06 at 08.32.20.png,Ch. 2,Sm 0984,,Word Final,Complete,{SIG₂}tab-ri-bu,akk.r01e0c,akk.r01e0c,tabarru[red wool]N,tabarru,P334296.10.2,red wool,N,red wool,N,o 9,
Aššur-alik-pani,a-na LUGAL EN-⸢ia⸣ ARAD-ka maš-šur—a-lik—pa-⸢ni⸣ lu DI-mu a-na LUGAL ⸢EN⸣-[ia],,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334559,ABL 0788,SAA 5,155,Eastern Kurdistan,SAA05.08.06.a,,,,,,,,P334559.4.2.1 (MU; DI-mu\p),MU,p,,,one Winkelhagen more,p,additional wedge(s),P334559.4.2.1,DI-mu\p,mu,P334559.4.2.1.png,Ch. 8,"Bu 89-4-26,001",,Word Final,Complete,DI-mu,akk.r0266e,akk.r0266a,šulmu[completeness]N,šulmu,P334559.4.2,completeness,N,health,N,o 3,
Aššur-alik-pani,a-na LUGAL EN-ia ARAD-ka maš-šur—a-lik—pa-an lu DI-mu a-na LUGAL EN-ia,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334558,ABL 0787,SAA 5,154,Eastern Kurdistan,SAA05.08.06.a,,,,,,,,P334558.7.2.0 (LU₂; {lu₂vy}02-[e),LU₂,y,v,,"""regular"" LU2* (?)",yv,"tilted wedge(s), other variation",P334558.7.2.0,{lu₂vy}02-[e,LU₂,P334558.7.2.0.png,Ch. 8,Rm 0055,,Word Initial,Moderately Damaged,{LU₂}02-e,akk.r023c0,akk.r023bc,šanû[second]NU,šanû,P334558.7.2,second,NU,deputy,N,o 6,
Aššur-alik-pani,a-na LUGAL EN-ia ARAD-ka maš-šur—a-lik—pa-ni lu DI-mu a-na LUGAL EN-ia,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334555,ABL 0784,SAA 5,152,Eastern Kurdistan,SAA05.08.06.a,,,,,,,,P334555.33.2.1 (BA; u₂-ba\t-la),BA,t,,,"one horizontal
(possibly one vertical = ba\tm?)
two Winkelhaken
one vertical",t,tilted wedge(s),P334555.33.2.1,u₂-ba\t-la,ba,P334555.33.2.1.png,Ch. 8,K 01251+,,Word Medial,Complete,u₂-ba-la,akk.r02071,akk.r02023,wabālu[bring]V,wabālu,P334555.33.2,bring,V,bring,V,r 3,
Aššur-balti-niše,a-na LUGAL EN-ia ARAD-ka maš-šur—TÉŠ—UN-MEŠ lu DI-mu a-na LUGAL be-lí-ia,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334151,ABL 0207,SAA 5,242,Northeastern Assyria,SAA05.12.03.a,,,,,,,,P334151.17.2.2 (DIM; {še}ku-dim\t-me),DIM,t,,,,t,tilted wedge(s),P334151.17.2.2,{še}ku-dim\t-me,dim,,Ch. 12,K 00541,,,,{ŠE}ku-dim-me,akk.r01039,akk.r01037,kudimmu[(a herb)]N,kudimmu,P334151.17.2,(a herb),N,(a herb),N,r 2,
Aššur-belu-da’’in,a-na LUGAL EN-ia ARAD-ka maš-šur—EN—KALAG-in lu-u DI-mu a-na LUGAL EN-ia,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334180,ABL 0245,SAA 5,79,Halzi-atbar,SAA05.05.02.a,,,,,,,,P334180.8.3.0 (BA; ba\t-ta-ba\t-ti\t-ia),BA,t,,,,t,tilted wedge(s),P334180.8.3.0,ba\t-ta-ba\t-ti\t-ia,ba,,Ch. 5,K 00513,,,,ba-ta-ba-ti-ia,akk.r00576,akk.r00574,battubattu[all round]PRP,battubattu,P334180.8.3,all round,PRP,around,PRP,o 7,
Aššur-belu-da’’in,a-na LUGAL EN-ia ARAD-ka maš-šur—EN—KALAG-in lu-u DI-mu a-na LUGAL EN-ía,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya,,,P334181,ABL 0246,SAA 5,78,Halzi-atbar,SAA05.05.02.a,,,,"Imposition treaty on cities
unsubmissive city",,,,P334181.26.1.1 (BU; ŠA₃-bu\p),BU,p,,,,p,additional wedge(s),P334181.26.1.1,ŠA₃-bu\p,bu,,Ch. 5,K 00669,,,,ŠA₃-bu,akk.r01176,akk.r01161,libbu[interior]N,libbu,P334181.26.1,interior,N,mood,N,r 6,
Aššur-belu-da’’in,a-na LUGAL EN-ia ARAD-ka maš-šur—EN—KALAG-in lu-u DI-mu a-na LUGAL EN-ia a-na URU.bi-ra-a-te a-na ⸢ma⸣-ṣar*-te ša LUGAL EN-ia DI-mu,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya šulmu ana ON (+ON),,Forts and Guard of the King,P334182,ABL 0247,SAA 5,80,Halzi-atbar,SAA05.05.02.a,,,,,,,,P334182.16.1.2 (DA; {lu₂vy}kal-da\t-a.a),DA,t,,,,t,tilted wedge(s),P334182.16.1.2,{lu₂vy}kal-da\t-a.a,da,,Ch. 5,K 01027,,,,{LU₂}kal-da-a.a,qpn.r002a8,qpn.r002a5,Kaldaya[Chaldean]EN,Kaldaya,P334182.16.1,Chaldean,EN,Chaldean,EN,r 3',
Aššur-belu-da’’in,a-na LUGAL EN-ia ARAD-ka maš-šur—EN—KALAG-in lu-u DI-mu a-na LUGAL EN-ía a-na URU.bi-ra-a-te a-na ⸢ma⸣-ṣar*-te ša LUGAL EN-ia DI-mu,,ana šarrri bēlīya urdaka PN lū šulmu ana šarrri bēlīya šulmu ana ON (+ON),,"Forts, Guard",P334182,ABL 0247,SAA 5,80,Halzi-atbar,SAA05.05.02.a,,,,"Works on a fort
houses for Chaldean deportees",,,,P334182.17.2.3 (BU; i-ra-ṣi-pu\p),BU,p,,,,p,additional wedge(s),P334182.17.2.3,i-ra-ṣi-pu\p,pu,,Ch. 5,K 01027,,,,i-ra-ṣi-pu,akk.r01c92,akk.r01c88,raṣāpu[build]V,raṣāpu,P334182.17.2,build,V,build,V,r 4',
