,sign_form,f,a,m,all_locs,count
428,|ME.U.U.U|,mm,,,"P224485.46.3.1 (r 44),P313453.24.6.1 (r 4),P313474.27.2.3 (r 4'),P313476.26.2.2 (r 3),P314280.20.1.1 (r 6'),P334084.41.2.2 (r 17),P334625.6.2.2 (o 5),X900007.5.5.3 (o 4),X900007.6.4.1 (o 5),X900007.9.4.2 (o 8),X900007.33.3.1 (r 29),X900007.41.2.1 (r 37),X900008.13.1.1 (o 12),X900008.29.3.1 (r 26)",14
429,|ME.U.U.U|,p,,,"P313435.17.2.1 (r 2),P313448.6.5.1 (o 5),P313603.10.3.1 (r 5'),P334069.10.3.1 (o 9),P334072.4.1.2 (o 3),P334078.29.2.3 (r 6'),P334078.38.2.3 (r 13'),P334141.20.2.2 (o 19),P334150.5.2.2 (o 4),P334187.39.6.1 (r 12),P334187.40.7.2 (r 13),P334373.20.2.3 (r 3),P334521.16.1.1 (r 2'),P334726.29.2.2 (r 8),X900009.5.3.2 (o 4),X900009.15.3.1 (o 14),X900009.21.4.3 (o 20),X900009.21.5.3 (o 20),X900009.39.3.2 (r 11')",19
430,|ME.U.U.U|,pp,,,P334726.12.3.2 (o 11),1
431,|ME.U.U.U|,t,,,"P313448.5.3.2 (o 4),P313448.28.2.2 (r 9),P313451.9.2.2 (o 8),P313452.12.3.1 (o 11),P313452.21.1.1 (o 20),P313452.21.3.2 (o 20),P313452.26.3.1 (o 25),P313452.53.4.1 (r 18),P313452.59.1.1 (r 24),P313473.7.4.3 (o 6),P313473.10.2.3 (o 9),P313473.15.2.1 (o 14),P313473.30.6.2 (r 11),P313487.35.5.1 (nolabel),P313492.33.1.2 (r 3),P313492.36.2.1 (r 6),P313492.37.3.2 (r 7),P313501.4.1.1 (o 2'),P313550.4.1.1 (o 2'),P313622.6.2.1 (o 4'),P313624.14.3.1 (r 1),P313710.7.1.1 (o 5'),P313719.3.8.1 (o 1'),P313750.6.3.3 (o 5),P313755.8.3.1 (o 6'),P313829.10.3.3 (o 8'),P313911.14.3.1 (r 8'),P313912.5.1.2 (o 3'),P313975.7.2.0 (o 6),P313975.8.1.1 (o 7),P314037.16.3.1 (r.e. 8),P314230.5.5.1 (o 3'),P314245.10.1.1 (o 9),P314273.9.1.2 (o 7),P334113.30.4.2 (r 5),P334113.34.1.2 (r 9),P334152.6.1.3 (o 5),P334152.11.2.1 (o 10),P334172.8.3.2 (o 7),P334175.6.1.1 (o 5),P334279.41.2.4 (r 13),P334279.45.4.2 (r 17),P334307.5.1.1 (o 4),P334343.8.3.1 (o 7),P334381.11.6.2 (o 9'),P334381.42.1.1 (r 16),P334496.11.5.3 (o 10),P334500.6.2.2 (o 5),P334520.3.2.4 (o 2),P334520.6.3.2 (o 5),P334586.22.2.1 (o 19),P334643.9.1.2 (o 8),P334689.4.2.3 (o 3),P334708.7.1.1 (o 5'),P334708.16.2.1 (o 14'),P334708.42.1.2 (r 16),P334723.15.5.1 (r 3),P334776.29.3.1 (r 7),P334793.8.3.2 (o 6'),P334830.47.1.3 (r 18),P334836.11.3.1 (nolabel),P393855.15.6.1 (o 14)",62
432,|ME.U.U.U|,tm,,,"P313632.8.3.2 (o 6'),P313637.15.10.1 (r 7),P313756.8.7.2 (o 6'),P314275.8.3.3 (o 6'),P334222.5.2.4 (o 4),P334607.33.4.2 (r 12)",6
433,|ME.U.U.U|,tp,,,"P313448.14.3.1 (o 13),P334726.6.3.2 (o 5)",2
434,|ME.U.U.U|,y,,,"P313803.4.7.2 (o 2'),P313803.8.5.1 (o 6'),P313893.9.2.2 (o 7'),P314040.5.4.1 (o 3'),P334056.6.5.1 (o 5),P334842.13.2.0 (r 4)",6
435,|MU&MU|,d,,,"P313626.32.1.1 (r 13),P334858.23.2.2 (r 9')",2
436,|MU&MU|,m,,,"P334359.24.1.1 (r 7),P334795.5.1.1 (o 3')",2
437,|MU&MU|,p,,,P334847.8.9.0 (o 7),1
438,|MU&MU|,pm,,,P334332.9.2.0 (o 8),1
439,|NINDA₂×ŠE|,d,,,P334826.4.3.2 (o 3),1
440,|NINDA₂×ŠE|,m,,,"P313474.13.1.1 (o 12),P313474.14.3.1 (o 13),P313474.18.1.1 (o 17)",3
441,|PA.IB|,m,,,P313507.13.4.1 (o 11'),1
442,|PA.LU|,m,,,P314265.5.5.1 (o 3'),1
443,|PA.LU|,mm,,,"P313859.14.4.2 (o 12'),P313859.14.4.2 (o 12'),P313859.16.5.1 (o 14')",3
444,|PIRIG×UD|,d,,,"P313425.11.4.0 (o 10),P313470.9.2.1 (o 8),P313541.5.4.1 (nolabel),P313716.9.1.1 (o 7'),P313716.14.1.1 (r 1),P313716.16.1.1 (r 3),P313716.17.2.1 (r 4),P313716.19.2.1 (r 6),P313756.32.4.1 (r 8'),P313823.5.3.1 (o 3'),P313855.18.1.1 (b.e. 14'),P313855.22.1.1 (r 3),P313855.31.1.0 (r 11),P313864.8.1.1 (8),P313895.9.8.1 (o 7'),P313981.8.5.2 (o 6'),P314242.6.2.2 (o 4'),P334077.50.1.1 (r 17),P334090.6.1.1 (o 5),P334090.17.1.3 (o 16),P334142.9.1.1 (o 8),P334142.21.2.1 (o 20),P334146.11.1.1 (o 10),P334344.40.6.1 (r 13),P334346.9.2.4 (o 8),P334400.8.3.0 (o 7),P334403.19.2.1 (r 4),P334422.7.2.1 (o 5'),P334422.15.1.1 (o 13'),P334422.20.4.1 (b.e. 17'),P334422.26.4.1 (r 5),P334439.7.1.1 (o 5'),P334439.11.1.1 (o 8'),P334442.27.3.1 (r 8),P334442.28.2.1 (r 9),P334442.31.4.1 (r 12),P334496.14.1.1 (o 13),P334496.37.2.1 (r.e. 14),P334519.19.4.1 (r 8'),P334586.14.2.1 (o 11),P334586.15.3.1 (o 12),P334586.16.1.1 (o 13),P334586.37.1.1 (r 10'),P334587.17.4.0 (r 4'),P334607.20.1.1 (b.e. 18),P334683.23.4.3 (r 10'),P334692.19.1.1 (r 2'),P334693.20.3.1 (r 5),P334710.8.2.1 (o 6'),P334710.15.3.1 (o 13'),P334727.17.1.1 (r 3),P334772.15.7.1 (o 13'),P334773.22.2.1 (o 20'),P334804.9.2.0 (o 8),P334903.17.2.1 (o 16),P334903.18.2.1 (o 17),P334903.22.1.1 (o 21),P336768.20.1.0 (r.e. 9)",58
445,|PIRIG×UD|,dp,,,"P313420.32.3.0 (r 14'),P313477.32.5.1 (r 6'),P313575.19.1.1 (o 18),P313575.22.1.1 (o 21),P313575.31.3.1 (o 30),P313609.11.2.1 (r 8),P313756.15.5.0 (o 13'),P313898.11.1.0 (o 9'),P314008.15.5.1 (r 3),P314008.17.5.1 (r 5),P314205.8.3.2 (o 6'),P314249.6.1.1 (o 4'),P314249.12.2.1 (o 10'),P314249.20.3.1 (r 3),P314249.27.2.1 (r 10),P334090.15.3.3 (o 14),P334114.13.1.1 (o 12),P334119.9.3.3 (o 8),P334119.21.2.3 (o 20),P334146.19.1.0 (r 4'),P334398.5.2.1 (o 4),P334398.11.1.1 (o 10),P334398.13.1.1 (o 12),P334398.17.2.1 (r 2),P334398.21.3.0 (r 6),P334629.6.2.1 (o 5)",26
446,|PIRIG×UD|,dt,,,"P313539.2.8.1 (1'),P313548.9.1.0 (o 7'),P313822.25.1.1 (r 8'),P334498.23.1.0 (r 7'),P334783.12.1.1 (12)",5
447,|PIRIG×UD|,dtp,,,P336170.24.1.1 (r 10'),1
448,|PIRIG×UD|,p,,,"P313507.9.3.1 (o 7'),P313507.13.5.1 (o 11'),P313729.8.1.0 (o 6'),P314241.14.3.0 (r 2'),P334104.31.1.1 (r 4'),P334104.34.1.1 (r 7')",6
449,|PIRIG×UD|,td,,,"P313477.8.1.1 (o 7),P313477.43.2.1 (r 17'),P313508.13.4.2 (o 11'),P314001.13.1.1 (r 2'),P314137.15.3.1 (o 13'),P314195.9.1.0 (o 7'),P314243.12.4.1 (11'),P314281.3.1.1 (o 1'),P334037.11.1.1 (o 10),P334037.24.2.2 (r 8),P334179.7.2.1 (o 6),P334202.10.4.3 (o 9),P334213.13.2.1 (o 12),P334213.15.1.1 (o 14),P334281.11.1.1 (o 10),P334314.23.2.1 (r 2),P334519.21.4.1 (r.e. 9),P334535.10.1.0 (o 9),P334535.21.1.1 (r 4'),P334671.14.2.1 (o 12'),P334715.24.1.2 (b.e. 22),P334726.26.1.0 (r 5),P334772.16.7.1 (o 14'),P334772.38.5.1 (r 11),P334773.34.3.1 (r 5'),P334837.10.6.2 (o 8'),P334858.21.6.1 (r 7'),P334858.22.6.1 (r 8'),P334895.4.2.1 (o 2'),P334895.6.2.1 (o 4'),P334910.21.1.1 (b.e. 19),P334917.5.4.1 (o 3')",32
450,|PIRIG×UD|,tdp,,,"P313624.10.2.0 (b.e. 7'),P313814.56.5.1 (r 12),P313814.68.3.1 (r 24),P313814.69.1.1 (r 25),P313814.69.9.1 (r 25),P313814.70.1.1 (r 26),P313814.70.10.1 (r 26),P314244.16.1.1 (r 13),P334135.33.1.1 (r 5),P334213.10.1.0 (o 9),P334302.34.1.2 (r 13),P334302.51.1.1 (e. 1),P334831.13.2.0 (o 11')",13
451,|PIRIG×ZA|,,d,,P314313.4.5.1 (o 2'),1
452,|PIRIG×ZA|,d,,,"P224485.55.1.4 (r 53),P313992.15.6.0 (r 5'),P334077.44.1.2 (r 11),P334107.7.2.1 (o 6),P334113.13.2.2 (o 12),P334139.18.3.2 (o 16),P334143.20.5.3 (o 19),P334193.24.2.1 (r 3),P334201.16.3.0 (r 5'),P334314.30.4.1 (r 9),P334381.32.2.2 (r 6),P334381.45.7.1 (r 19),P334401.8.1.1 (o 6'),P334422.11.3.2 (o 9'),P334441.14.3.2 (o 12'),P334442.14.4.2 (o 12'),P334683.25.1.1 (r 12'),P334805.24.2.0 (r 9'),P393866.19.2.2 (b.e. 17)",19
453,|PIRIG×ZA|,dm,,,P334865.8.1.2 (o 6'),1
454,|PIRIG×ZA|,dp,,,"P313815.16.4.2 (r 5'),P313833.18.5.2 (r 2'),P313848.6.4.2 (o 4'),P314140.23.1.0 (r 8'),P334119.41.1.1 (r 13),P334135.7.1.1 (o 6),P334135.14.4.1 (o 13),P334646.18.3.3 (r 2)",8
455,|PIRIG×ZA|,dt,,,"P313575.44.2.2 (r 6),P334348.10.1.3 (o 9)",2
456,|PIRIG×ZA|,t,,,P334412.15.3.1 (o 13'),1
457,|PIRIG×ZA|,td,,,"P224485.21.6.0 (o 20),P313844.11.2.0 (o 9'),P313844.11.3.0 (o 9'),P314039.9.1.2 (r 5'),P314278.9.2.1 (o 7'),P334038.11.1.2 (o 10),P334100.14.1.2 (o 13),P334100.40.1.2 (r 15),P334203.10.1.2 (o 9),P334555.10.1.3 (o 9),P334731.54.4.0 (e. 4),P334794.7.1.0 (o 6),P334895.6.1.2 (o 4')",13
458,|PIRIG×ZA|,tdp,,,"P313721.20.3.1 (r 4),P313814.80.9.3 (e. 1),P313988.4.7.1 (o 2'),P334731.30.1.0 (r 5)",4
459,|SI.A|,d,,,"P334170.11.2.2 (o 10),P334170.16.2.2 (r 1'),P334170.18.2.2 (r 3')",3
460,|SI.A|,m,,,"P313989.12.7.0 (r 1'),P334321.8.3.0 (o 6),P336771.6.4.2 (o 5)",3
461,|TE.A|,p,,,P334280.8.1.0 (o 7),1
462,|TUM.ŠU₂|,d,,,P334567.31.1.0 (r 12),1
463,|U.KA|,d,,,"P313492.63.4.0 (e. 2),P313504.39.2.0 (r 13),P313504.42.2.0 (r 16),P313802.12.2.0 (b.e. 9'),P313814.10.2.0 (o 9),P313814.31.8.0 (o 30),P313958.7.2.0 (r 3'),P314126.5.2.0 (o 3'),P314326.20.6.0 (r 3'),P334543.38.1.0 (r 12)",10
464,|U.TUG₂|,d,,,"P334773.17.2.0 (o 15'),P334903.31.1.0 (r 3'),P334903.32.1.0 (r 4'),P334903.32.4.0 (r 4')",4
465,|U.TUG₂|,m,,,"P313654.5.3.0 (o 3'),P313924.7.2.0 (o 5')",2
466,|U.TUG₂|,y,,,"P313504.53.2.0 (e. 1),P313601.7.3.0 (o 5'),P313892.9.5.0 (o 7'),P314275.21.4.0 (r 5)",4
467,|UD×(U.U.U)|,d,,,P334715.23.2.0 (b.e. 21),1
468,|UD×(U.U.U)|,m,,,"P313462.31.2.0 (r 5'),P313462.44.9.0 (r 18'),P313509.7.4.0 (o 6),P313515.9.2.0 (o 8),P313560.12.6.0 (o 10'),P313571.29.4.0 (r 6),P313923.18.4.0 (r 2),P334039.10.2.0 (o 9),P334039.10.4.0 (o 9),P334040.32.4.0 (r 10),P334048.10.2.0 (o 9),P334051.26.2.0 (r 5),P334051.29.2.0 (r 8),P334119.43.5.0 (r 15),P334136.10.4.0 (o 9),P334143.24.4.0 (o 23),P334143.63.4.0 (r 25),P334151.13.3.0 (o 12),P334177.5.2.0 (o 4),P334177.8.4.0 (o 7),P334177.28.4.0 (r 7'),P334177.29.6.0 (r 8'),P334177.34.3.0 (r 13'),P334182.18.4.0 (r 5'),P334201.17.4.0 (r 6'),P334213.8.4.0 (o 7),P334213.9.3.0 (o 8),P334213.15.7.0 (o 14),P334347.28.3.0 (r 3),P334369.35.2.0 (r 8),P334435.9.5.0 (o 7'),P334534.18.4.0 (r 1),P334587.19.4.0 (r 6'),P334661.11.4.0 (o 10),P334661.24.5.0 (r 5),P334708.11.4.0 (o 9'),P334715.27.4.0 (r 2),P334715.31.3.0 (r 6),P334830.15.1.0 (o 14'),P334830.15.3.0 (o 14'),P334865.24.3.0 (r 3)",41
469,|URU×MIN|,dp,,,P334317.4.8.0 (o 2),1
470,|URU×MIN|,m,,,"P334314.15.1.0 (o 14),P334498.36.4.0 (nolabel)",2
471,|URU×MIN|,p,,,P334360.21.2.1 (r 6'),1
472,|ZA.GUL|,t,,,P334688.17.4.1 (r 11'),1
473,|ŠE.HU|,,p,,P334806.12.1.0 (o 11),1
474,|ŠE.HU|,d,,,P334588.8.1.0 (o 7),1
475,|ŠE.HU|,p,,,"P334305.19.2.3 (b.e. 17),P334698.7.2.2 (o 6)",2
476,|ŠE.HU|,t,,,P334693.11.3.1 (o 9'),1
477,ŠA,d,,,"P224485.11.4.0 (o 10),P224485.26.4.0 (o 25),P224485.50.2.0 (r 48),P224485.60.2.0 (r 58),P237089.14.2.0 (r 3'),P313425.5.3.0 (o 4),P313437.12.2.0 (o 11),P313437.13.2.0 (o 12),P313439.6.1.0 (o 5),P313439.32.3.0 (r 10),P313439.33.2.0 (r 11),P313445.5.6.0 (o 3'),P313445.8.5.0 (o 6'),P313445.9.6.0 (o 7'),P313445.22.2.0 (r 5'),P313445.25.3.0 (r 8'),P313448.11.2.0 (o 10),P313448.24.4.0 (r 5),P313448.25.1.0 (r 6),P313448.29.1.0 (r 10),P313452.37.1.0 (r 2),P313452.43.3.0 (r 8),P313462.15.2.0 (o 14),P313462.31.1.0 (r 5'),P313462.36.2.0 (r 10'),P313462.38.6.0 (r 12'),P313462.39.8.0 (r 13'),P313471.21.3.0 (r 1),P313474.26.2.0 (r 3'),P313476.8.1.0 (o 7),P313477.6.1.0 (o 5),P313477.8.3.0 (o 7),P313478.14.1.0 (o 13),P313479.5.2.0 (o 4),P313479.6.5.0 (o 5),P313480.9.1.0 (o 8),P313480.29.1.0 (r 8),P313486.7.3.0 (o 5),P313491.18.2.0 (o 16'),P313497.5.2.0 (o 4),P313498.29.3.0 (r 14'),P313516.23.3.0 (o 21),P313516.25.4.0 (o 23),P313529.15.2.0 (r 3),P313541.18.2.0 (o 16'),P313548.10.2.0 (o 8'),P313548.27.1.0 (r 7'),P313550.4.2.0 (o 2'),P313550.5.1.0 (o 3'),P313552.13.1.0 (o 11),P313571.33.5.0 (r 10),P313575.35.2.0 (b.e. 33),P313603.10.2.0 (r 5'),P313612.8.3.0 (o 6'),P313612.18.2.0 (o 16'),P313614.6.1.0 (o 4'),P313626.7.1.0 (o 6),P313626.11.3.0 (o 10),P313626.27.2.0 (r 8),P313640.6.2.0 (o 5),P313640.7.4.0 (o 6),P313644.51.4.0 (r 21),P313648.6.5.0 (o 4'),P313701.21.1.0 (r 5'),P313720.11.3.0 (o 9'),P313722.29.1.0 (r 10),P313725.4.3.0 (o 3),P313725.6.3.0 (o 5),P313725.7.1.0 (o 6),P313725.7.3.0 (o 6),P313725.8.2.0 (o 7),P313725.22.2.0 (r 9'),P313726.14.4.0 (o 12'),P313730.8.7.1 (r 4'),P313735.5.2.0 (o 3'),P313738.5.1.0 (o 3'),P313738.14.3.0 (r 1),P313742.7.1.0 (o 6),P313742.24.2.0 (r 7'),P313755.11.3.0 (o 9'),P313755.12.4.0 (o 10'),P313759.9.6.0 (o 7'),P313759.17.6.0 (r 4'),P313761.5.4.0 (o 4),P313774.9.6.0 (o 7'),P313777.6.3.0 (o 3'),P313783.4.5.1 (o 2'),P313817.20.7.0 (r 2'),P313817.21.5.0 (r 3'),P313859.6.2.1 (o 4'),P313859.8.5.0 (o 6'),P313859.9.2.0 (o 7'),P313859.11.5.0 (o 9'),P313876.10.4.0 (o 8'),P313887.4.1.0 (o 2'),P313898.13.5.0 (b.e. 10'),P313924.10.3.0 (r 1),P313930.5.2.0 (o 3'),P313940.9.1.0 (o 7'),P313947.8.1.0 (r 4'),P313958.5.1.0 (r 1'),P313970.8.2.0 (r 2),P313995.3.5.0 (o 1'),P314001.5.3.0 (o 3'),P314026.18.1.0 (o 17),P314033.8.1.0 (o 6'),P314048.15.1.0 (r 1),P314054.7.2.0 (o 5'),P314111.5.4.0 (o 3'),P314116.6.1.1 (o 4'),P314117.6.5.0 (o 4'),P314137.5.3.0 (o 3'),P314137.6.3.0 (o 4'),P314171.5.4.0 (o 3'),P314223.11.2.0 (r 3'),P314227.16.5.0 (r 2'),P314227.17.6.0 (r 3'),P314232.13.1.0 (o 11'),P314245.6.1.0 (o 5),P314265.4.3.0 (o 2'),P314265.9.6.0 (o 7'),P314281.16.3.0 (r 4'),P334050.5.2.0 (o 4),P334050.18.1.0 (o 17),P334050.34.1.0 (r 13),P334070.6.1.0 (o 5),P334070.11.2.0 (o 10),P334071.5.1.0 (o 4),P334071.7.1.0 (o 6),P334071.16.1.0 (o 15),P334071.16.3.0 (o 15),P334079.10.1.0 (o 9),P334090.31.2.0 (r 4),P334102.12.1.0 (r 2'),P334103.30.1.0 (r 6),P334103.34.2.0 (r 10),P334104.6.1.0 (o 5),P334104.18.4.0 (o 17),P334104.42.1.1 (r 15'),P334104.43.2.0 (r 16'),P334106.6.1.0 (o 5),P334106.6.3.0 (o 5),P334106.11.1.0 (o 10),P334109.6.1.0 (o 5),P334109.7.1.0 (o 6),P334113.39.2.0 (r 14),P334114.8.3.0 (o 7),P334114.10.1.0 (o 9),P334114.16.3.0 (o 15),P334114.49.1.0 (r 22),P334114.51.3.0 (r.e. 23),P334115.9.4.0 (o 8),P334117.7.1.0 (o 6),P334118.6.1.0 (o 5),P334118.8.3.0 (o 7),P334118.15.2.0 (o 14),P334135.13.3.0 (o 12),P334142.7.4.0 (o 6),P334142.8.2.0 (o 7),P334150.6.1.0 (o 5),P334150.32.2.0 (r 12),P334151.13.2.0 (o 12),P334152.6.2.0 (o 5),P334152.12.1.0 (o 11),P334186.23.1.0 (o 22),P334186.27.4.0 (b.e. 25),P334186.33.5.0 (r 3),P334186.37.2.0 (r 7),P334187.9.2.0 (o 8),P334187.18.1.0 (o 17),P334187.35.1.0 (r 8),P334187.40.5.0 (r 13),P334187.46.3.0 (r 19),P334197.5.4.0 (o 4),P334201.17.3.0 (r 6'),P334203.7.1.0 (o 6),P334203.15.1.0 (o 14),P334203.17.2.0 (o 16),P334203.21.1.0 (r 2),P334210.7.4.0 (o 6),P334263.5.4.0 (o 4),P334263.9.2.0 (o 8),P334263.12.1.0 (o 11),P334263.30.1.0 (r 9'),P334263.34.2.0 (r 13'),P334264.11.2.0 (o 10),P334264.12.1.0 (o 11),P334279.16.2.0 (o 15),P334279.17.2.0 (o 16),P334280.5.1.0 (o 4),P334280.23.3.0 (nolabel),P334291.17.5.0 (o 16),P334305.5.3.0 (o 4),P334305.8.2.0 (o 7),P334314.34.1.0 (r 13),P334314.35.3.0 (r 14),P334318.24.1.0 (r 7'),P334333.5.4.0 (o 4),P334333.6.3.0 (o 5),P334333.8.2.0 (o 7),P334333.21.2.0 (r 1'),P334333.23.3.0 (r 3'),P334333.29.5.0 (r 9'),P334333.31.1.0 (r 11'),P334333.35.3.0 (r 15'),P334333.36.5.0 (r 16'),P334334.5.4.0 (o 4),P334334.13.5.0 (o 12),P334335.5.2.0 (o 4),P334335.9.5.0 (o 8),P334338.5.4.0 (o 4),P334385.21.2.0 (r 11),P334397.17.2.0 (r 8),P334398.4.3.0 (o 3),P334398.7.1.0 (o 6),P334398.18.2.0 (r 3),P334422.31.2.0 (r 10),P334432.12.1.0 (b.e. 9'),P334435.4.1.1 (o 2'),P334435.5.1.0 (o 3'),P334442.25.1.0 (r 6),P334445.7.1.0 (o 5'),P334445.8.1.0 (o 6'),P334446.8.4.0 (o 7),P334446.10.4.0 (o 9),P334446.12.1.0 (o 11),P334446.17.2.0 (o 16),P334446.26.1.0 (r 5),P334501.12.4.0 (o 11),P334502.4.4.0 (o 3),P334505.6.2.0 (o 5),P334505.7.1.0 (o 6),P334505.8.1.0 (o 7),P334555.34.2.1 (r 4),P334555.43.5.0 (r 13),P334558.5.3.0 (o 4),P334609.13.3.0 (o 12),P334644.5.2.0 (o 3'),P334644.10.3.0 (o 8'),P334644.16.2.0 (o 14'),P334658.6.1.0 (o 5),P334658.8.6.1 (nolabel),P334676.16.2.0 (o 15),P334687.6.2.0 (o 5),P334698.21.3.0 (r 4'),P334698.22.3.0 (r 5'),P334718.8.3.0 (o 6'),P334718.20.4.0 (o 18),P334718.30.2.0 (r 8),P334724.5.5.0 (o 4),P334724.6.2.0 (o 5),P334724.7.1.2 (o 6),P334724.11.1.0 (o 10),P334724.12.1.2 (o 11),P334776.13.3.0 (o 11'),P334776.23.4.0 (r 1),P334776.24.1.0 (r 2),P334776.30.3.0 (r 8),P334779.6.4.0 (o 4'),P334793.5.4.0 (o 3'),P334793.9.1.0 (o 7'),P334793.13.2.0 (o 11'),P334825.17.1.0 (o 15),P334825.20.1.0 (o 18),P334830.12.6.1 (nolabel),P334830.44.1.0 (r 15),P334834.7.2.0 (o 5'),P334834.7.4.0 (o 5'),P334834.8.1.0 (o 6'),P334834.24.2.0 (r 5'),P334834.26.1.0 (r 7'),P334834.28.5.0 (r 9'),P334834.32.4.0 (r 13'),P334849.29.1.0 (r 11'),P334864.7.2.0 (o 5'),P334903.6.1.0 (o 5),P334904.8.1.0 (o 7),P334904.13.2.0 (o 12),P336595.7.8.0 (o 5'),P337150.7.3.0 (o 6)",280
478,ŠA,dd,,,"P224485.16.3.0 (o 15),P313452.30.1.0 (o 29),P313452.49.3.0 (r 14),P313476.12.2.0 (o 11),P313781.8.3.0 (r 2),P314026.9.2.0 (o 8),P334314.15.2.0 (o 14),P334333.6.1.0 (o 5)",8
479,ŠA,ddm,,,P314274.12.7.0 (o 10'),1
