,sign_form,f,a,m,all_locs,count
35,BAD,m,,,P334718.9.3.2 (o 7'),1
36,BAL,d,,,"P334160.3.2.4 (o 2),P334668.13.1.2 (r 5)",2
37,BAL,t,,,P334673.32.1.1 (r 12'),1
38,BARA₂,d,,,P334587.19.4.1 (r 6'),1
39,BARA₂,t,,,"P313515.7.3.3 (o 6),P313515.7.3.3 (o 6)",2
40,BI,d,,,"P313417.15.3.1 (o 14),P313672.8.3.0 (o 6'),P313680.11.1.2 (r 6),P313710.6.1.2 (o 4'),P336597.5.3.3 (o 4)",5
41,BI,p,,,P334609.19.3.2 (o 18),1
42,BI,y,,,P334143.50.1.3 (r 12),1
43,BU,m,,,P313654.6.2.1 (o 4'),1
44,BU,p,,,"P313447.9.1.3 (o 8),P313450.9.1.2 (o 8),P313452.16.2.1 (o 15),P313452.20.1.2 (o 19),P313452.23.1.1 (o 22),P313452.23.1.2 (o 22),P313452.25.2.2 (o 24),P313452.25.2.3 (o 24),P313452.49.2.0 (r 14),P313452.54.1.2 (r 19),P313452.55.1.1 (r 20),P313452.56.5.1 (r 21),P313452.61.5.2 (r 26),P313480.28.6.1 (nolabel),P313513.7.3.2 (o 5'),P313513.7.3.3 (o 5'),P313518.8.3.1 (o 6'),P313541.12.4.0 (nolabel),P313541.33.5.0 (r 10),P313553.18.3.0 (o 16'),P313553.26.2.1 (o 24'),P313553.26.2.2 (o 24'),P313553.26.3.3 (o 24'),P313571.29.1.0 (r 6),P313571.30.3.2 (r 7),P313610.7.1.1 (o 5'),P313619.7.4.1 (o 6),P313622.17.7.2 (r 5'),P313623.19.3.1 (r 3'),P313624.11.3.1 (b.e. 8'),P313635.14.1.3 (r 5),P313672.6.4.0 (o 4'),P313692.5.5.1 (o 3'),P313692.8.4.2 (o 6'),P313698.8.2.2 (o 7),P313738.9.1.2 (o 7'),P313756.11.6.0 (o 9'),P313756.13.4.1 (o 11'),P313756.16.4.2 (o 14'),P313777.4.5.0 (o 2'),P313808.5.4.2 (o 3'),P313808.8.1.2 (o 6'),P313808.13.3.2 (o 11'),P313829.7.1.3 (o 5'),P313829.7.1.4 (o 5'),P313879.10.2.2 (r 6'),P313889.5.4.2 (o 3'),P313889.5.4.3 (o 3'),P313897.9.1.3 (o 7'),P313934.3.8.1 (o 1'),P313996.9.7.0 (o 8),P314040.6.5.1 (o 4'),P314245.11.1.1 (o 10),P314265.9.8.2 (o 7'),P314293.5.7.1 (o 3'),P314293.5.7.2 (o 3'),P314293.18.6.1 (r 4'),P314296.8.4.2 (o 7),P314296.17.4.1 (r 2'),P334049.8.1.1 (o 7),P334049.8.2.1 (o 7),P334049.31.1.1 (r 11),P334060.32.2.1 (r 11),P334060.39.2.1 (r.e. 17),P334084.38.3.1 (r 14),P334090.7.5.2 (o 6),P334090.20.2.1 (o 19),P334092.27.1.1 (r 4'),P334094.5.4.1 (o 4),P334103.13.2.2 (o 12),P334137.9.1.3 (o 8),P334137.20.1.2 (r 2),P334152.27.2.1 (r 8),P334167.10.1.2 (o 9),P334181.26.1.1 (r 6),P334181.37.1.2 (r.e. 16),P334182.17.2.3 (r 4'),P334199.17.3.0 (o 16),P334199.28.5.2 (r 7'),P334199.29.5.2 (r 8'),P334199.34.4.1 (r 13'),P334200.16.1.0 (o 15),P334200.32.1.1 (r 10'),P334256.8.2.0 (o 7),P334256.10.2.3 (o 9),P334256.16.2.0 (r 1),P334281.26.3.1 (nolabel),P334291.11.2.0 (o 10),P334291.13.1.0 (o 12),P334291.34.3.1 (r 11),P334296.10.2.3 (o 9),P334302.22.1.1 (r 1),P334302.29.2.1 (r 8),P334302.52.1.2 (e. 2),P334302.53.1.1 (e. 3),P334305.19.2.2 (b.e. 17),P334339.12.1.1 (o 11),P334347.12.4.1 (o 11),P334347.15.1.0 (o 14),P334347.16.3.0 (o 15),P334347.17.4.1 (nolabel),P334347.30.2.1 (r 5),P334348.23.2.1 (r 4'),P334397.21.1.1 (r 12),P334435.12.3.3 (o 10'),P334534.15.2.0 (o 14),P334782.28.1.2 (r.e. 11),P334783.6.1.1 (6),P334783.14.1.1 (14),P334864.15.1.1 (b.e. 12')",110
45,BU,pp,,,P334090.8.1.2 (o 7),1
