,headword,xis_entry,form,xis_form,instances_all
122,Arrapha[1]GN,qpn.r0008f,{URU}arrap-ha,qpn.r00091,"saao/sargonletters:P313617.11.2,saao/sargonletters:P313617.8.5,saao/sargonletters:P313632.4.2,saao/sargonletters:P313666.6.6,saao/sargonletters:P313833.17.7,saao/sargonletters:P314296.10.6,saao/sargonletters:P314296.5.6,saao/sargonletters:P334038.13.2,saao/sargonletters:P334038.21.4,saao/sargonletters:P334038.30.2,saao/sargonletters:P334044.10.4,saao/sargonletters:P334044.25.4,saao/sargonletters:P334106.6.2,saao/sargonletters:P334114.10.4,saao/sargonletters:P334114.8.1,saao/sargonletters:P334195.31.2,saao/sargonletters:P334195.35.5,saao/sargonletters:P334199.8.2,saao/sargonletters:P334199.9.4,saao/sargonletters:P334279.12.2,saao/sargonletters:P334279.55.2,saao/sargonletters:P334307.11.3,saao/sargonletters:P334333.24.2,saao/sargonletters:P334333.29.6,saao/sargonletters:P334333.8.3,saao/sargonletters:P334346.10.4,saao/sargonletters:P334693.10.5,saao/sargonletters:P334693.13.3,saao/sargonletters:P334693.14.4,saao/sargonletters:P334864.22.8"
123,Arrapha[1]GN,qpn.r0008f,{URU}arrap-ra-ap-ha,qpn.r00092,saao/sargonletters:P334097.12.2
124,Arrapha[1]GN,qpn.r0008f,{URU}ar₂-arrap-ha,qpn.r00093,saao/sargonletters:P313916.8.4
125,Arraphaya[1]EN,qpn.r00094,{URU}arrap-ha-a.a,qpn.r00094,"saao/sargonletters:P313758.6.1,saao/sargonletters:P334412.20.2,saao/sargonletters:P334439.23.1,saao/sargonletters:P334693.12.3"
126,Arzabia[1]GN,qpn.r00095,{URU}ar-za-bi-a,qpn.r00095,saao/sargonletters:P313559.17.3
127,Arzabiaya[Arzabian]EN,qpn.r00096,{KUR}ar-za-bi-i-a.a,qpn.r00096,"saao/sargonletters:P334143.50.1,saao/sargonletters:P334143.54.3"
128,Arzaya[1]PN,qpn.r00097,{1}ar-za-a.a,qpn.r00097,"saao/sargonletters:P334069.14.3,saao/sargonletters:P334069.4.4"
129,Arzizaya[Arzizean]EN,qpn.r00098,{LU₂}ar-zi-za-a.a,qpn.r00098,saao/sargonletters:P334205.26.1
130,Arzizi[1]GN,qpn.r00099,{URU}ar-zi-zi,qpn.r00099,saao/sargonletters:P334205.14.5
131,Arzuhina[1]GN,qpn.r0009a,{URU}ar-zu-hi-na,qpn.r0009b,"saao/sargonletters:P313486.12.2,saao/sargonletters:P313486.6.3,saao/sargonletters:P334279.33.2,saao/sargonletters:P334441.27.2"
132,Arzuhina[1]GN,qpn.r0009a,{URU}ar₂-zu-hi-na,qpn.r0009c,saao/sargonletters:P334208.5.3
133,Arzuhina[1]GN,qpn.r0009a,{URU}ur-zu-hi-na,qpn.r0009d,"saao/sargonletters:P313439.34.2,saao/sargonletters:P313632.17.2,saao/sargonletters:P313720.3.2,saao/sargonletters:P313748.12.3,saao/sargonletters:P313934.4.8,saao/sargonletters:P313937.4.3,saao/sargonletters:P314244.21.2,saao/sargonletters:P334137.8.2,saao/sargonletters:P334195.16.2,saao/sargonletters:P334195.19.2,saao/sargonletters:P334195.22.2,saao/sargonletters:P334195.8.2,saao/sargonletters:P334279.19.2,saao/sargonletters:P334279.24.3,saao/sargonletters:P334279.36.2,saao/sargonletters:P334279.61.3,saao/sargonletters:P334279.9.4,saao/sargonletters:P334361.32.2,saao/sargonletters:P334361.9.2,saao/sargonletters:P334782.18.4"
134,Arzuhinaya[1]EN,qpn.r0009f,{URU}ar₂-zu-hi-na-a.a,qpn.r000a0,saao/sargonletters:X900015.37.2
135,Arzuhinaya[1]EN,qpn.r0009f,{URU}ur-zu-hi-na-a.a,qpn.r000a1,saao/sargonletters:P334412.19.1
