,headword,xis_entry,form,xis_form,instances_all
3721,ina[in]PRP,akk.r00dbe,in₆-ni-du-u₂-a,akk.r00d75,"saao/sargonletters:P314048.15.2,saao/sargonletters:P314048.5.1"
3722,ina[in]PRP,akk.r00dbe,in₆-ni-ir-ti-i-ka,akk.r00dd4,saao/sargonletters:P334361.25.1
3723,ina[in]PRP,akk.r00dbe,in₆-ni-ir-ti-ia,akk.r00dd5,saao/sargonletters:P334361.33.1
3724,ina[in]PRP,akk.r00dbe,in₆-ni-ir-ti-ia₂,akk.r00dd6,"saao/sargonletters:P334361.10.1,saao/sargonletters:P334361.20.1"
3725,ina[in]PRP,akk.r00dbe,in₆-ni-ri-te,akk.r00dd7,saao/sargonletters:P334355.28.2
3726,ina[in]PRP,akk.r00dbe,ip-pi-it-ti,akk.r00dd8,saao/sargonletters:P334115.8.3
3727,ina[in]PRP,akk.r00dbe,iš-šad-dag-diš,akk.r00dd9,saao/sargonletters:P313619.5.4
3728,innû[ours]PP,akk.r00ded,in-nu-te,akk.r00dee,saao/sargonletters:X900008.11.2
3729,innû[ours]PP,akk.r00ded,in-nu-u₂,akk.r00def,saao/sargonletters:P334502.23.3
3730,irginu[(a breed or colour of horse)]N,akk.r00df0,ir-gi-ni,akk.r00df0,saao/sargonletters:P334321.9.3
3731,irtu[breast]N,akk.r00df1,GABA,akk.r00df2,"saao/sargonletters:P334186.15.3,saao/sargonletters:P334421.7.5,saao/sargonletters:P334518.8.2,saao/sargonletters:P334633.16.2,saao/sargonletters:X900005.14.3"
3732,irtu[breast]N,akk.r00df1,GABA-a,akk.r00df3,saao/sargonletters:P313508.10.5
3733,irtu[breast]N,akk.r00df1,GABA-ia,akk.r00df4,"saao/sargonletters:P334111.6.2,saao/sargonletters:P334612.8.4"
3734,irtu[breast]N,akk.r00df1,GABA-ni,akk.r00df5,saao/sargonletters:P334633.20.4
3735,irtu[breast]N,akk.r00df1,GABA-šu₂,akk.r00df6,"saao/sargonletters:P334837.26.4,saao/sargonletters:P334847.38.8"
3736,irtu[breast]N,akk.r00df1,GABA-šu₂-ma,akk.r00df7,saao/sargonletters:P334847.39.8
3737,irtu[breast]N,akk.r00df1,i-ni-ir-ti-šu₂-nu,akk.r00dc3,saao/sargonletters:P334410.11.2
3738,irtu[breast]N,akk.r00df1,in₆-ni-ir-ti-i-ka,akk.r00dd4,saao/sargonletters:P334361.25.1
3739,irtu[breast]N,akk.r00df1,in₆-ni-ir-ti-ia,akk.r00dd5,saao/sargonletters:P334361.33.1
3740,irtu[breast]N,akk.r00df1,in₆-ni-ir-ti-ia₂,akk.r00dd6,"saao/sargonletters:P334361.10.1,saao/sargonletters:P334361.20.1"
3741,irtu[breast]N,akk.r00df1,in₆-ni-ri-te,akk.r00dd7,saao/sargonletters:P334355.28.2
3742,irtu[breast]N,akk.r00df1,ir-ti,akk.r00df8,"saao/sargonletters:P314272.4.3,saao/sargonletters:P334050.22.3,saao/sargonletters:P334076.9.7,saao/sargonletters:P334646.17.2,saao/sargonletters:P334916.7.4,saao/sargonletters:P336773.4.2"
3743,irtu[breast]N,akk.r00df1,ir-ti-ia,akk.r00df9,saao/sargonletters:P334179.10.2
3744,irtu[breast]N,akk.r00df1,ir-ti-ia₂,akk.r00dfa,saao/sargonletters:P334116.35.4
3745,irtu[breast]N,akk.r00df1,ir-ti-ni,akk.r00dfb,"saao/sargonletters:P314215.5.7,saao/sargonletters:P314242.7.2"
3746,irtu[breast]N,akk.r00df1,ir-ti-šu₂,akk.r00dfc,saao/sargonletters:P334076.14.2
3747,irtu[breast]N,akk.r00df1,ir-ti-šu₂-nu,akk.r00dfd,saao/sargonletters:P334113.11.2
3748,irtu[breast]N,akk.r00df1,{UZU}GABA,akk.r00dfe,"saao/sargonletters:P334302.13.2,saao/sargonletters:P334302.24.2"
3749,ishunnatu[bunch of grapes]N,akk.r00e06,{GIŠ}KIN.GEŠTIN,akk.r00e07,saao/sargonletters:P313451.24.1
3750,ishunnatu[bunch of grapes]N,akk.r00e06,{GIŠ}KIN.GEŠTIN-MEŠ,akk.r00e08,"saao/sargonletters:P313425.29.1,saao/sargonletters:P313425.36.5,saao/sargonletters:P314108.5.5"
3751,isinnu[festival]N,akk.r00e09,i-sin-nu,akk.r00e09,saao/sargonletters:X900014.5.1
3752,isqu[lot]N,akk.r00e0a,{GIŠ}ŠUB.BA,akk.r00e0a,saao/sargonletters:P314039.10.1
3753,issahîš[together]AV,akk.r00e0b,i-sa-a-hi-ši,akk.r00e0c,"saao/sargonletters:P314297.10.1,saao/sargonletters:X900005.14.1"
3754,issahîš[together]AV,akk.r00e0b,i-sa-ha-ii-ši,akk.r00e0d,saao/sargonletters:P334446.14.2
3755,issahîš[together]AV,akk.r00e0b,i-sa-he-iš,akk.r00e0e,"saao/sargonletters:P313474.35.2,saao/sargonletters:P334621.26.1"
3756,issahîš[together]AV,akk.r00e0b,is-sa-he-iš,akk.r00e0f,"saao/sargonletters:P313620.25.6,saao/sargonletters:P334483.37.1,saao/sargonletters:P334791.8.6"
3757,issurri[perhaps]AV,akk.r00e11,i-su-ri,akk.r00e12,"saao/sargonletters:P313417.13.1,saao/sargonletters:P313434.24.6,saao/sargonletters:P313439.18.1,saao/sargonletters:P313445.12.5,saao/sargonletters:P313453.14.1,saao/sargonletters:P313507.5.1,saao/sargonletters:P313516.20.2,saao/sargonletters:P313543.14.2,saao/sargonletters:P313543.7.3,saao/sargonletters:P313560.8.4,saao/sargonletters:P313624.4.2,saao/sargonletters:P313710.17.1,saao/sargonletters:P313723.20.5,saao/sargonletters:P313779.17.1,saao/sargonletters:P313809.10.5,saao/sargonletters:P313878.13.1,saao/sargonletters:P313878.9.2,saao/sargonletters:P313993.3.1,saao/sargonletters:P314041.5.1,saao/sargonletters:P314283.26.1,saao/sargonletters:P314289.18.1,saao/sargonletters:P334041.31.1,saao/sargonletters:P334046.8.2,saao/sargonletters:P334049.34.1,saao/sargonletters:P334050.28.2,saao/sargonletters:P334060.31.2,saao/sargonletters:P334104.10.2,saao/sargonletters:P334111.27.2,saao/sargonletters:P334136.13.1,saao/sargonletters:P334145.8.1,saao/sargonletters:P334202.6.1,saao/sargonletters:P334298.29.1,saao/sargonletters:P334333.15.1,saao/sargonletters:P334339.14.2,saao/sargonletters:P334367.33.1,saao/sargonletters:P334369.22.3,saao/sargonletters:P334498.29.1,saao/sargonletters:P334504.26.1,saao/sargonletters:P334518.10.4,saao/sargonletters:P334534.22.1,saao/sargonletters:P334555.49.5,saao/sargonletters:P334609.18.5,saao/sargonletters:P334633.12.1,saao/sargonletters:P334644.13.1,saao/sargonletters:P334668.9.1,saao/sargonletters:P334680.19.1,saao/sargonletters:P334708.27.2,saao/sargonletters:P334772.45.8,saao/sargonletters:P334772.8.2,saao/sargonletters:P334779.5.1,saao/sargonletters:P334830.24.1,saao/sargonletters:P334837.22.5,saao/sargonletters:P334857.7.1,saao/sargonletters:P334864.18.4,saao/sargonletters:P336636.4.4,saao/sargonletters:P336772.5.4,saao/sargonletters:X900010.29.1,saao/sargonletters:X900014.21.1"
3758,issurri[perhaps]AV,akk.r00e11,i-su-ru,akk.r00e13,"saao/sargonletters:P313814.81.13,saao/sargonletters:P334731.37.3,saao/sargonletters:P334731.47.2,saao/sargonletters:P334731.51.5"
3759,issurri[perhaps]AV,akk.r00e11,i-su-ur-ri,akk.r00e14,"saao/sargonletters:P313419.32.5,saao/sargonletters:P313700.19.2,saao/sargonletters:P334187.11.3"
3760,issurri[perhaps]AV,akk.r00e11,is-su-ri,akk.r00e15,"saao/sargonletters:P313504.7.1,saao/sargonletters:P313665.9.2,saao/sargonletters:P313796.6.1,saao/sargonletters:P313815.19.1,saao/sargonletters:P314232.10.1,saao/sargonletters:P314293.19.1,saao/sargonletters:P334174.15.1,saao/sargonletters:P334302.52.2,saao/sargonletters:P334394.13.1,saao/sargonletters:P334483.52.1,saao/sargonletters:P334562.7.1,saao/sargonletters:P334718.24.3,saao/sargonletters:P334781.5.1,saao/sargonletters:P334917.38.5"
3761,issurri[perhaps]AV,akk.r00e11,is-su-ur-ri,akk.r00e16,"saao/sargonletters:P334187.7.2,saao/sargonletters:P334896.7.4"
3762,issurri[perhaps]AV,akk.r00e11,sur-re-e,akk.r00e17,saao/sargonletters:P334658.8.3
3763,isītu[tower]N,akk.r00e19,E₂-i-si-te-ia,akk.r006d0,saao/sargonletters:P334072.14.2
3764,isītu[tower]N,akk.r00e19,i-si-ta-te,akk.r00e1a,saao/sargonletters:P313437.10.4
3765,isītu[tower]N,akk.r00e19,i-si-ta-ti,akk.r00e1b,"saao/sargonletters:P334104.44.3,saao/sargonletters:P334104.46.2,saao/sargonletters:P334483.44.7"
3766,isītu[tower]N,akk.r00e19,i-si-te,akk.r00e1c,"saao/sargonletters:P313803.7.7,saao/sargonletters:P334072.10.1"
3767,isītu[tower]N,akk.r00e19,i-si-te-ni,akk.r00e1d,saao/sargonletters:P313560.4.9
3768,isītu[tower]N,akk.r00e19,i-si-ti,akk.r00e1e,saao/sargonletters:P334334.12.2
3769,isītu[tower]N,akk.r00e19,{URU}i-si-ta-a-te,akk.r00e1f,saao/sargonletters:P313814.47.1
3770,isītu[tower]N,akk.r00e19,{URU}i-si-tu₂,akk.r00e20,saao/sargonletters:P313891.8.1
3771,ithuru[(a kind of standard)]N,akk.r00e22,it-hu-ra-a-te,akk.r00e22,saao/sargonletters:P334302.51.2
3772,itinnu[builder]N,akk.r00e23,{LU₂}TIN,akk.r00e24,"saao/sargonletters:P313476.17.3,saao/sargonletters:P313476.19.1,saao/sargonletters:P313476.22.1,saao/sargonletters:P334051.5.2"
3773,itinnu[builder]N,akk.r00e23,{LU₂}TIN-MEŠ,akk.r00e25,"saao/sargonletters:P313448.12.4,saao/sargonletters:P313448.22.1,saao/sargonletters:P313448.23.3,saao/sargonletters:P313448.5.3,saao/sargonletters:P313476.10.3,saao/sargonletters:P313476.26.2,saao/sargonletters:P313476.6.3,saao/sargonletters:P313654.8.5,saao/sargonletters:P313878.11.3,saao/sargonletters:P314320.4.1,saao/sargonletters:P334644.14.3,saao/sargonletters:P334644.5.1"
3774,itinnu[builder]N,akk.r00e23,{LU₂}TIN-MEŠ-ia,akk.r00e26,saao/sargonletters:P313878.5.3
3775,itinnu[builder]N,akk.r00e23,{LU₂}TIN-MEŠ-ni,akk.r00e27,saao/sargonletters:P313448.28.2
3776,itinnu[builder]N,akk.r00e23,{LU₂}TIN-MEŠ-ni-ia,akk.r00e28,saao/sargonletters:P313448.8.3
3777,itinnu[builder]N,akk.r00e23,{LU₂}TIN-MEŠ-šu₂-nu,akk.r00e29,saao/sargonletters:P313476.8.2
3778,itinnu[builder]N,akk.r00e23,{LU₂}e-tin-na-ka,akk.r00e2a,saao/sargonletters:P313476.35.2
3779,itinnu[builder]N,akk.r00e23,{LU₂}e-tin-na-ti,akk.r00e2b,saao/sargonletters:P334774.14.1
3780,izuzzu[stand]V,akk.r00e2e,a-ti-te-zi,akk.r00e2f,saao/sargonletters:P334588.7.1
3781,izuzzu[stand]V,akk.r00e2e,a-za-za,akk.r00e30,saao/sargonletters:P313492.65.8
3782,izuzzu[stand]V,akk.r00e2e,a-za-zu-u-ni,akk.r00e31,saao/sargonletters:P334693.26.1
3783,izuzzu[stand]V,akk.r00e2e,i-te-et-zi,akk.r00e32,saao/sargonletters:P334825.31.4
3784,izuzzu[stand]V,akk.r00e2e,i-ti-is-sa,akk.r00e33,saao/sargonletters:P314026.20.1
3785,izuzzu[stand]V,akk.r00e2e,i-ti-it-zi,akk.r00e34,saao/sargonletters:P334831.12.1
3786,izuzzu[stand]V,akk.r00e2e,i-ti-iz,akk.r00e35,"saao/sargonletters:P314243.2.6,saao/sargonletters:P334586.11.3,saao/sargonletters:P334834.4.7"
3787,izuzzu[stand]V,akk.r00e2e,i-ti-sa,akk.r00e36,"saao/sargonletters:P334077.35.1,saao/sargonletters:P334077.43.1"
3788,izuzzu[stand]V,akk.r00e2e,i-ti-ti-is-su,akk.r00e37,saao/sargonletters:P313822.11.1
3789,izuzzu[stand]V,akk.r00e2e,i-ti-ti-su,akk.r00e38,"saao/sargonletters:P334150.9.1,saao/sargonletters:P334539.9.6"
3790,izuzzu[stand]V,akk.r00e2e,i-ti-ti-zi,akk.r00e39,saao/sargonletters:P334051.8.1
3791,izuzzu[stand]V,akk.r00e2e,i-za-az,akk.r00e3a,saao/sargonletters:P334139.18.3
3792,izuzzu[stand]V,akk.r00e2e,i-za-za,akk.r00e3b,"saao/sargonletters:P313547.25.4,saao/sargonletters:P314231.12.4,saao/sargonletters:P334197.20.2,saao/sargonletters:P334865.22.1"
3793,izuzzu[stand]V,akk.r00e2e,i-za-zu,akk.r00e3c,"saao/sargonletters:P313472.33.5,saao/sargonletters:P313653.11.8,saao/sargonletters:P334084.49.1,saao/sargonletters:P334120.16.1,saao/sargonletters:P334160.10.2,saao/sargonletters:P334178.45.2,saao/sargonletters:P334789.12.1"
3794,izuzzu[stand]V,akk.r00e2e,i-za-zu-ni,akk.r00e3d,"saao/sargonletters:P313541.4.5,saao/sargonletters:P334334.10.2"
3795,izuzzu[stand]V,akk.r00e2e,i-za-zu-u-ni,akk.r00e3e,saao/sargonletters:P334108.11.1
3796,izuzzu[stand]V,akk.r00e2e,i-zi-zu,akk.r00e3f,saao/sargonletters:P334037.17.3
3797,izuzzu[stand]V,akk.r00e2e,i-zi-zu-u-ni,akk.r00e40,saao/sargonletters:P313814.84.14
3798,izuzzu[stand]V,akk.r00e2e,it-ti-it-su,akk.r00e41,saao/sargonletters:P334725.19.1
3799,izuzzu[stand]V,akk.r00e2e,it-ti-it-zi,akk.r00e42,saao/sargonletters:P334903.16.4
3800,izuzzu[stand]V,akk.r00e2e,it-ti-ti-zi,akk.r00e43,saao/sargonletters:P334499.24.2
3801,izuzzu[stand]V,akk.r00e2e,it-zi,akk.r00e44,saao/sargonletters:P334139.25.1
3802,izuzzu[stand]V,akk.r00e2e,iz-za-az,akk.r00e45,"saao/sargonletters:P314039.9.1,saao/sargonletters:P334044.23.6,saao/sargonletters:P334157.17.4,saao/sargonletters:P334441.14.3,saao/sargonletters:P334613.6.3"
3803,izuzzu[stand]V,akk.r00e2e,iz-za-zu,akk.r00e46,"saao/sargonletters:P313575.12.3,saao/sargonletters:P334344.14.4,saao/sargonletters:P334820.38.5"
3804,izuzzu[stand]V,akk.r00e2e,li-iz-zi-zu,akk.r00e47,saao/sargonletters:P334195.12.1
3805,izuzzu[stand]V,akk.r00e2e,li-zi-zi,akk.r00e48,"saao/sargonletters:P313439.26.4,saao/sargonletters:P313541.8.1,saao/sargonletters:P313576.25.4,saao/sargonletters:P334197.22.2"
3806,izuzzu[stand]V,akk.r00e2e,li-zi-zu,akk.r00e49,"saao/sargonletters:P334044.31.4,saao/sargonletters:P334084.40.2,saao/sargonletters:P334388.32.4,saao/sargonletters:P334710.12.1"
3807,izuzzu[stand]V,akk.r00e2e,lu-ša₂-zi-zu,akk.r00e4a,saao/sargonletters:P334279.42.1
3808,izuzzu[stand]V,akk.r00e2e,ni-it-te-et-zi,akk.r00e4b,saao/sargonletters:P314043.16.6
3809,izuzzu[stand]V,akk.r00e2e,ni-za-az,akk.r00e4c,"saao/sargonletters:P334077.44.1,saao/sargonletters:P334347.21.2"
3810,izuzzu[stand]V,akk.r00e2e,ta-za-az-za,akk.r00e4d,saao/sargonletters:P334038.11.1
3811,izuzzu[stand]V,akk.r00e2e,ta-zi-za-ni,akk.r00e4e,saao/sargonletters:P334077.30.3
3812,izuzzu[stand]V,akk.r00e2e,u₂-sa-zi-zu,akk.r00e4f,saao/sargonletters:P313985.9.1
3813,izuzzu[stand]V,akk.r00e2e,u₂-ša₂-az-za-zu-šu₂-nu-u-ni,akk.r00e50,saao/sargonletters:P313848.6.4
3814,izuzzu[stand]V,akk.r00e2e,u₂-ša₂-za-zu,akk.r00e51,saao/sargonletters:P313540.28.1
3815,izuzzu[stand]V,akk.r00e2e,u₂-ša₂-za-zu-nu,akk.r00e52,saao/sargonletters:P313442.25.11
3816,izuzzu[stand]V,akk.r00e2e,u₂-ša₂-zi-zu-u₂-ni,akk.r00e53,saao/sargonletters:P334279.18.1
3817,iškāru[work assignment]N,akk.r00e5d,EŠ₂.QAR,akk.r00e5e,saao/sargonletters:P334918.15.5
3818,iškāru[work assignment]N,akk.r00e5d,EŠ₂.QAR-ka,akk.r00e5f,saao/sargonletters:P334903.17.3
3819,iškāru[work assignment]N,akk.r00e5d,EŠ₂.QAR-šu,akk.r00e60,saao/sargonletters:P334903.14.2
3820,iškāru[work assignment]N,akk.r00e5d,iš-QAR,akk.r00e61,"saao/sargonletters:P334170.17.1,saao/sargonletters:P334170.21.4,saao/sargonletters:P334170.25.3"
3821,iškāru[work assignment]N,akk.r00e5d,iš-QAR-MEŠ,akk.r00e62,saao/sargonletters:P314282.14.7
3822,iškāru[work assignment]N,akk.r00e5d,iš-QAR-šu₂-nu,akk.r00e63,saao/sargonletters:P334172.17.5
3823,iškāru[work assignment]N,akk.r00e5d,iš-ka-šu₂,akk.r00e64,saao/sargonletters:P313898.16.1
3824,iškāru[work assignment]N,akk.r00e5d,{LU₂}EN-iš-ka-ra-te,akk.r00687,"saao/sargonletters:P313660.14.1,saao/sargonletters:P313660.3.1"
3825,išpallurtu[cross]N,akk.r00e67,is-pi-lu-ur-te,akk.r00e67,saao/sargonletters:P334279.34.3
3826,išpartu[female weaver]N,akk.r00e68,{MI₂}UŠ.BAR-MEŠ-te,akk.r00e68,saao/sargonletters:P334141.26.3
3827,išpatu[quiver]N,akk.r00e69,iš-pat,akk.r00e69,saao/sargonletters:P336636.14.5
3828,išti[with]PRP,akk.r00e6a,KI-šu₂,akk.r00e6b,saao/sargonletters:X900014.50.5
3829,išti[with]PRP,akk.r00e6a,TA,akk.r00e6c,"saao/sargonletters:P313420.11.5,saao/sargonletters:P313420.29.2,saao/sargonletters:P313470.6.2,saao/sargonletters:P313472.50.4,saao/sargonletters:P313498.7.4,saao/sargonletters:P313510.10.2,saao/sargonletters:P313547.17.3,saao/sargonletters:P313575.17.1,saao/sargonletters:P313575.17.3,saao/sargonletters:P313609.6.1,saao/sargonletters:P313721.19.4,saao/sargonletters:P313762.6.5,saao/sargonletters:P313777.11.3,saao/sargonletters:P313814.11.5,saao/sargonletters:P313814.15.3,saao/sargonletters:P313937.5.3,saao/sargonletters:P314207.16.1,saao/sargonletters:P334047.12.1,saao/sargonletters:P334084.26.1,saao/sargonletters:P334100.32.2,saao/sargonletters:P334143.46.2,saao/sargonletters:P334177.38.3,saao/sargonletters:P334178.6.3,saao/sargonletters:P334178.8.3,saao/sargonletters:P334179.32.1,saao/sargonletters:P334205.24.1,saao/sargonletters:P334291.26.1,saao/sargonletters:P334291.35.1,saao/sargonletters:P334330.14.2,saao/sargonletters:P334347.14.3,saao/sargonletters:P334606.22.2,saao/sargonletters:P334692.21.2,saao/sargonletters:P334697.16.6,saao/sargonletters:P334847.43.7,saao/sargonletters:P334847.46.8"
3830,išti[with]PRP,akk.r00e6a,TA@v,akk.r00e6d,"saao/sargonletters:P224485.28.1,saao/sargonletters:P224485.30.5,saao/sargonletters:P313425.43.3,saao/sargonletters:P313427.13.6,saao/sargonletters:P313452.28.2,saao/sargonletters:P313452.32.1,saao/sargonletters:P313487.11.4,saao/sargonletters:P313487.12.4,saao/sargonletters:P313491.4.5,saao/sargonletters:P313513.10.3,saao/sargonletters:P313523.6.4,saao/sargonletters:P313607.4.2,saao/sargonletters:P313607.6.2,saao/sargonletters:P313607.8.1,saao/sargonletters:P313629.16.1,saao/sargonletters:P313644.48.7,saao/sargonletters:P313659.30.4,saao/sargonletters:P313720.5.2,saao/sargonletters:P313753.22.1,saao/sargonletters:P313753.27.1,saao/sargonletters:P313860.9.1,saao/sargonletters:P313863.11.5,saao/sargonletters:P313871.18.4,saao/sargonletters:P313886.9.2,saao/sargonletters:P313911.11.1,saao/sargonletters:P313915.6.3,saao/sargonletters:P313940.6.1,saao/sargonletters:P314097.11.6,saao/sargonletters:P314100.8.5,saao/sargonletters:P314232.14.2,saao/sargonletters:P314234.7.4,saao/sargonletters:P314243.6.4,saao/sargonletters:P314287.7.8,saao/sargonletters:P314294.21.1,saao/sargonletters:P314326.24.7,saao/sargonletters:P314326.26.1,saao/sargonletters:P314326.27.5,saao/sargonletters:P334048.8.3,saao/sargonletters:P334074.7.2,saao/sargonletters:P334077.51.4,saao/sargonletters:P334077.7.4,saao/sargonletters:P334077.9.2,saao/sargonletters:P334114.36.3,saao/sargonletters:P334114.46.2,saao/sargonletters:P334116.31.2,saao/sargonletters:P334120.9.2,saao/sargonletters:P334135.12.3,saao/sargonletters:P334141.12.3,saao/sargonletters:P334142.13.1,saao/sargonletters:P334143.54.2,saao/sargonletters:P334186.16.4,saao/sargonletters:P334186.21.2,saao/sargonletters:P334186.29.2,saao/sargonletters:P334186.8.2,saao/sargonletters:P334187.13.1,saao/sargonletters:P334187.40.6,saao/sargonletters:P334193.14.2,saao/sargonletters:P334195.30.2,saao/sargonletters:P334195.32.1,saao/sargonletters:P334195.35.1,saao/sargonletters:P334199.31.3,saao/sargonletters:P334210.7.1,saao/sargonletters:P334222.41.3,saao/sargonletters:P334279.8.2,saao/sargonletters:P334281.7.2,saao/sargonletters:P334308.14.1,saao/sargonletters:P334314.16.2,saao/sargonletters:P334332.17.1,saao/sargonletters:P334337.11.1,saao/sargonletters:P334343.11.3,saao/sargonletters:P334388.28.4,saao/sargonletters:P334388.34.3,saao/sargonletters:P334403.3.4,saao/sargonletters:P334405.8.1,saao/sargonletters:P334421.7.2,saao/sargonletters:P334442.9.1,saao/sargonletters:P334500.6.1,saao/sargonletters:P334558.18.2,saao/sargonletters:P334564.17.1,saao/sargonletters:P334567.27.2,saao/sargonletters:P334586.44.3,saao/sargonletters:P334588.9.1,saao/sargonletters:P334664.11.1,saao/sargonletters:P334710.28.7,saao/sargonletters:P334731.16.2,saao/sargonletters:P334731.34.1,saao/sargonletters:P334779.9.2,saao/sargonletters:P334780.10.1,saao/sargonletters:P334824.8.1,saao/sargonletters:P334825.40.2,saao/sargonletters:P334834.12.5,saao/sargonletters:P334864.4.4"
3831,išti[with]PRP,akk.r00e6a,i-se-e-a,akk.r00e6e,"saao/sargonletters:P313476.11.2,saao/sargonletters:P313476.27.1,saao/sargonletters:P313507.37.4,saao/sargonletters:P334114.44.1,saao/sargonletters:P334135.18.3,saao/sargonletters:P334609.24.6"
3832,išti[with]PRP,akk.r00e6a,i-se-e-ni,akk.r00e6f,"saao/sargonletters:P334483.26.4,saao/sargonletters:P393866.34.1"
3833,išti[with]PRP,akk.r00e6a,i-se-e-šu₂,akk.r00e70,"saao/sargonletters:P314313.16.1,saao/sargonletters:P334135.23.3,saao/sargonletters:P334135.40.2,saao/sargonletters:P334143.32.1,saao/sargonletters:P334421.10.1,saao/sargonletters:P334519.14.6,saao/sargonletters:P334847.28.8"
3834,išti[with]PRP,akk.r00e6a,i-se-šu₂-nu,akk.r00e71,saao/sargonletters:P334104.14.3
3835,išti[with]PRP,akk.r00e6a,i-si,akk.r00e72,saao/sargonletters:P313672.7.2
3836,išti[with]PRP,akk.r00e6a,i-si-ia,akk.r00e73,"saao/sargonletters:P313454.23.2,saao/sargonletters:P313552.8.1,saao/sargonletters:P313706.18.1,saao/sargonletters:P313866.9.3,saao/sargonletters:P313993.5.1,saao/sargonletters:P314236.12.1,saao/sargonletters:P334069.27.3,saao/sargonletters:P334075.19.1,saao/sargonletters:P334084.39.2,saao/sargonletters:P334200.28.1,saao/sargonletters:P334200.30.2,saao/sargonletters:P334200.32.3,saao/sargonletters:P334200.35.2,saao/sargonletters:P334200.37.1,saao/sargonletters:P334291.41.3,saao/sargonletters:P334347.43.2,saao/sargonletters:P334388.32.1,saao/sargonletters:P334496.31.1,saao/sargonletters:P334905.18.5,saao/sargonletters:X900012.30.7,saao/sargonletters:X900015.19.3"
3837,išti[with]PRP,akk.r00e6a,i-si-ia-ma,akk.r00e74,saao/sargonletters:P313672.11.4
3838,išti[with]PRP,akk.r00e6a,i-si-ka,akk.r00e75,"saao/sargonletters:P313492.64.3,saao/sargonletters:P313541.13.1,saao/sargonletters:P314236.14.1,saao/sargonletters:P334199.30.4,saao/sargonletters:P334372.16.3,saao/sargonletters:P334496.37.1,saao/sargonletters:P334792.8.3,saao/sargonletters:X900015.27.1"
3839,išti[with]PRP,akk.r00e6a,i-si-ka-a,akk.r00e76,saao/sargonletters:P313635.13.3
3840,išti[with]PRP,akk.r00e6a,i-si-ku-nu,akk.r00e77,"saao/sargonletters:P334318.8.3,saao/sargonletters:P334422.15.3,saao/sargonletters:X900008.7.1"
3841,išti[with]PRP,akk.r00e6a,i-si-ni,akk.r00e78,"saao/sargonletters:P313437.12.3,saao/sargonletters:P313462.10.5,saao/sargonletters:P334607.42.2,saao/sargonletters:P334695.35.2,saao/sargonletters:P334728.30.1,saao/sargonletters:P334776.31.1,saao/sargonletters:P334776.36.3"
3842,išti[with]PRP,akk.r00e6a,i-si-ša₂,akk.r00e79,"saao/sargonletters:P313447.8.4,saao/sargonletters:P313856.8.2"
3843,išti[with]PRP,akk.r00e6a,i-si-šu,akk.r00e7a,"saao/sargonletters:P313504.16.2,saao/sargonletters:P313575.26.3,saao/sargonletters:P313652.13.6,saao/sargonletters:P313911.13.1,saao/sargonletters:P313931.9.1,saao/sargonletters:P334090.6.4,saao/sargonletters:P334321.6.1,saao/sargonletters:P334497.10.3,saao/sargonletters:P334497.6.3,saao/sargonletters:P334836.8.1,saao/sargonletters:P334847.10.7,saao/sargonletters:P334847.24.8,saao/sargonletters:P334847.6.8"
3844,išti[with]PRP,akk.r00e6a,i-si-šu-nu,akk.r00e7b,"saao/sargonletters:P313897.9.2,saao/sargonletters:P314238.15.1,saao/sargonletters:P334305.10.1,saao/sargonletters:P334411.10.2,saao/sargonletters:P334847.19.2"
3845,išti[with]PRP,akk.r00e6a,i-si-šu₂,akk.r00e7c,"saao/sargonletters:P313452.54.2,saao/sargonletters:P313457.14.4,saao/sargonletters:P313546.18.2,saao/sargonletters:P313552.29.2,saao/sargonletters:P313612.29.2,saao/sargonletters:P313624.19.1,saao/sargonletters:P313692.8.3,saao/sargonletters:P314100.6.4,saao/sargonletters:P314231.12.1,saao/sargonletters:P314292.12.2,saao/sargonletters:P334047.25.4,saao/sargonletters:P334114.52.3,saao/sargonletters:P334135.41.1,saao/sargonletters:P334168.20.1,saao/sargonletters:P334186.25.2,saao/sargonletters:P334187.11.1,saao/sargonletters:P334223.22.2,saao/sargonletters:P334263.14.1,saao/sargonletters:P334291.12.1,saao/sargonletters:P334291.29.3,saao/sargonletters:P334355.24.1,saao/sargonletters:P334373.23.1,saao/sargonletters:P334386.17.1,saao/sargonletters:P334386.9.3,saao/sargonletters:P334606.21.4,saao/sargonletters:P334606.22.1,saao/sargonletters:P334612.33.3,saao/sargonletters:P334612.37.1,saao/sargonletters:P334688.16.7,saao/sargonletters:P334715.17.1,saao/sargonletters:P334848.11.1,saao/sargonletters:P334904.14.1,saao/sargonletters:P334907.4.1"
3846,išti[with]PRP,akk.r00e6a,i-si-šu₂-ma,akk.r00e7d,saao/sargonletters:P334568.21.1
