combined	var_all	var_sender	ccount
BU:..	0.12147931165087716	4.05532547662116	960
BU:.m.	0.00048355717805420345	0.007568359375	1
BU:.p.	0.066564047458283	1.9676089715225664	109
BU:.pp.	0.00021491430135742377	0.005829903978052125	1
BU:.t.	0.04364048866547	1.5688097090762712	85
BU:.td.	0.00024130911603869958	0.015839981500751533	2
BU:.tdp.	0.0036294351634851008	0.1568424036281179	12
BU:.tm.	0.00021491430135742385	0.0019151191819705207	1
BU:.tp.	0.017865836536414218	0.43789159892059143	38
BUR:..	0.025084712645451222	0.568091113896539	398
BUR:.dp.	0.007117661879566642	0.16000000000000006	3
BUR:.m.	0.0033897912906659254	0.12244897959183677	1
BUR:.p.	0.01501689111018557	0.30605029757000846	6
DA:..	0.21185165730837	6.093465760527408	434
DA:.d.	0.20306602200824495	6.103568816318325	201
DA:.dm.	0.0006631252829334542	0.016581632653061222	1
DA:.dp.	0.00016578132073336355	0.004145408163265306	1
DA:.m.	0.00330855307831598	0.05555555555555556	2
DA:.t.	0.016323491964689907	0.6964506172839506	7
DA:.y.	0.00529085559076505	0.20158790170132332	2
DAM:..	0.09863945578231294	0.3055555555555556	24
DAM:.m.	0.021541950113378682	0.05555555555555556	2
DAM:.p.	0.045351473922902494	0.0	1
DAM:.t.	0.045351473922902494	0.25	1
DI:..	0.0922206291063434	3.118415085447248	1024
DI:.d.	0.08949718646267282	3.1510153940892236	156
DI:.t.	0.00047353511740976125	0.06462191358024691	2
DI:.y.	0.0034071152019869966	0.38888888888888895	2
DIB:..	0.004436728395061729	0.02083333333333334	27
DIB:.m.	0.004436728395061728	0.020833333333333332	1
DIM:..	0.25	0.0	2
DIM:.t.	0.25	0.0	2
DIM@g:..	0.22222222222222224	0.0	2
DIM@g:.t.	0.22222222222222224	0.0	3
DIN:..	0.03698224852071006	0.47048611111111116	151
DIN:.d.	0.03698224852071006	0.47048611111111116	4
DU:..	0.03195647223591935	0.754664202819721	504
DU:.d.	0.028992755930856894	0.504664202819721	17
DU:.t.	0.0031948553583168973	0.25	2
DU@g:..	0.24000000000000005	0.0	2
DU@g:.m.	0.16000000000000006	0.0	1
DU@g:.p.	0.16000000000000006	0.0	1
DU@g:.t.	0.16000000000000003	0.0	2
DUB:..	0.10380622837370242	0.25	3
DUB:.dm.	0.20761245674740483	0.4375	5
DUB:.m.	0.23356401384083045	0.4375	18
DUN:..	0.036982248520710054	0.13888888888888892	81
DUN:.m.	0.036982248520710054	0.13888888888888892	2
DUN₃:..	0.02221074380165289	0.22222222222222224	63
DUN₃:.m.	0.02221074380165289	0.22222222222222224	1
DUN₄:..	0.09876543209876544	0.22222222222222224	13
DUN₄:.m.	0.09876543209876544	0.22222222222222224	1
E:..	0.01661619250355616	0.8227801993790379	1178
E:.d.	0.014758469546802483	0.7576914419825882	35
E:.dm.	0.0019531175202300857	0.07100591715976333	1
EL:..	0.03472222222222222	0.0	6
EL:.p.	0.03472222222222223	0.0	1
E₂:..	0.05389712170312358	1.4885233614222395	643
E₂:.d.	0.037493262112658556	1.2182494718885413	19
E₂:.m.	0.0038415441791083164	0.029298311917359536	9
E₂:.p.	0.007881497484522059	0.15850203264279392	7
E₂:.t.	0.0030959453724779145	0.09000000000000001	1
E₂:.ym.	0.0030959453724779145	0.09000000000000001	1
GA:..	0.012420394762865394	0.34	216
GA:.d.	0.006249752778766661	0.09000000000000001	1
GA:.p.	0.006249752778766661	0.25	2
GABA:..	0.039691358024691356	0.8546436536046927	229
