,BA:..,BA:.t.,BU:..,BU:.p.,DA:..,DA:.d.,DI:..,DI:.d.,LI:..,LI:.d.,LU₂:v..,LU₂:v.y.,NA:..,NA:.t.,NI:..,NI:.d.,SU:..,SU:.t.,TI:..,TI:.t.,U₂:..,U₂:.m.,|ME.U.U.U|:..,|ME.U.U.U|:.m.,ŠA:..,ŠA:.dm.,ia,ia₂,li,li₂,ša,ša₂,šu,šu₂,tu,tu₂,u,u₂,bēlu[lord]N:bēlī:be-li₂,bēlu[lord]N:bēlī:EN,bēlu[lord]N:bēlīya:EN-ia,bēlu[lord]N:bēlīya:be-li₂-ia,libbu[interior]N:libbi:ŠA₃,libbu[interior]N:libbi:ŠA₃-bi,lā[not]MOD:lā:la,lā[not]MOD:lā:la-a,lū[may]MOD:lū:lu,lū[may]MOD:lū:lu-u,mā[saying]PRP:mā:ma,mā[saying]PRP:mā:ma-a,muhhu[skull]N:muhhi:UGU,muhhu[skull]N:muhhi:UGU-hi,pānu[front]N:pān:IGI,pānu[front]N:pān:pa-an,šulmu[completeness]N:šulmu:DI-mu,šulmu[completeness]N:šulmu:šul-mu,ancient_author,designation,dossier,dossier_nocertain,saa_chap,senderloc
P313458,2.0,0.0,4.0,0.0,1.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,11.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,12.0,1.0,5.0,0.0,1.0,3.0,2.0,2.0,6.0,6.0,1.0,3.0,2.0,4.0,10.0,5.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,Hunni,SAA 01 134,SAA01.07.01.c,SAA01.07.01,SAA01.07,Nineveh
P313462,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,23.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,13.0,1.0,11.0,6.0,3.0,3.0,2.0,8.0,24.0,0.0,1.0,3.0,1.0,7.0,4.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,1.0,0.0,1.0,(unknown),SAA 05 250,SAA05.12.10.c,SAA05.12.10,SAA05.12,Northeastern Assyria
P313469,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,Hu-Teššub,SAA 05 044,SAA05.03.01.b,SAA05.03.01,SAA05.03,Shubria
P313470,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,4.0,0.0,1.0,5.0,2.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,2.0,2.0,5.0,4.0,0.0,4.0,1.0,11.0,0.0,1.0,1.0,3.0,1.0,2.0,5.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,Aššur-belu-uṣur,SAA 15 062,SAA15.03.02.c,SAA15.03.02,SAA15.03,Kisheshim
P313471,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0,6.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,4.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,Šarru-emuranni,SAA 05 204,SAA05.10.01.c,SAA05.10.01,SAA05.10,Mazamua
P313472,0.0,0.0,8.0,0.0,2.0,1.0,5.0,0.0,2.0,0.0,1.0,5.0,6.0,2.0,14.0,0.0,4.0,0.0,4.0,5.0,6.0,0.0,5.0,0.0,3.0,10.0,4.0,0.0,4.0,2.0,16.0,0.0,7.0,4.0,1.0,2.0,10.0,6.0,2.0,0.0,4.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,8.0,4.0,0.0,1.0,0.0,2.0,1.0,Ša-Aššur-dubbu,SAA 05 031,SAA05.02.02.a,SAA05.02.02,SAA05.02,Tušhan
P313473,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,4.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,4.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,Aššur-patinu,SAA 05 048,SAA05.03.04.b,SAA05.03.04,SAA05.03,Bit-Zamani
P313474,2.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,4.0,4.0,2.0,2.0,7.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,2.0,0.0,4.0,0.0,2.0,0.0,4.0,2.0,5.0,4.0,0.0,4.0,6.0,6.0,0.0,3.0,3.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,Atanha-Šamaš,SAA 05 150,SAA05.08.05.b,SAA05.08.05,SAA05.08,Eastern Kurdistan
P313476,4.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,12.0,0.0,4.0,4.0,8.0,5.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,1.0,2.0,3.0,2.0,1.0,5.0,5.0,3.0,0.0,6.0,1.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,(unknown),SAA 15 151,SAA15.05.05.c,SAA15.05.05,SAA15.05,Der region
P313477,3.0,0.0,7.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,7.0,0.0,11.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,1.0,0.0,7.0,0.0,1.0,2.0,4.0,0.0,3.0,5.0,1.0,0.0,4.0,5.0,2.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,Mannu-ki-Ninua,SAA 15 104,SAA15.04.02.c,SAA15.04.02,SAA15.04,Kar-Sharrukin
