senderloc,BA:..,BA:.t.,BU:..,BU:.p.,DA:..,DA:.d.,DI:..,DI:.d.,LI:..,LI:.d.,LU₂:v..,LU₂:v.y.,NA:..,NA:.t.,NI:..,NI:.d.,SU:..,SU:.t.,TI:..,TI:.t.,U₂:..,U₂:.m.,|ME.U.U.U|:..,|ME.U.U.U|:.m.,ŠA:..,ŠA:.dm.,ia,ia₂,li,li₂,ša,ša₂,šu,šu₂,tu,tu₂,u,u₂,bēlu[lord]N:bēlī:be-li₂,bēlu[lord]N:bēlī:EN,bēlu[lord]N:bēlīya:EN-ia,bēlu[lord]N:bēlīya:be-li₂-ia,libbu[interior]N:libbi:ŠA₃,libbu[interior]N:libbi:ŠA₃-bi,lā[not]MOD:lā:la,lā[not]MOD:lā:la-a,lū[may]MOD:lū:lu,lū[may]MOD:lū:lu-u,mā[saying]PRP:mā:ma,mā[saying]PRP:mā:ma-a,muhhu[skull]N:muhhi:UGU,muhhu[skull]N:muhhi:UGU-hi,pānu[front]N:pān:IGI,pānu[front]N:pān:pa-an,šulmu[completeness]N:šulmu:DI-mu,šulmu[completeness]N:šulmu:šul-mu
Shadikanni,0.0,0.0,6.0,0.0,0.0,1.0,4.0,3.0,2.0,1.0,0.0,4.0,9.0,1.0,8.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,4.0,7.0,0.0,2.0,4.0,0.0,1.0,4.0,6.0,3.0,2.0,0.0,0.0,2.0,1.0,5.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,3.0,0.0
Shubria,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,6.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,1.0,2.0,3.0,0.0,1.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0
Shurda,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Tamnuna,1.0,1.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,5.0,1.0,8.0,0.0,14.0,0.0,0.0,1.0,0.0,7.0,2.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,3.0,2.0,4.0,1.0,0.0,1.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,1.0,0.0,4.0,5.0,0.0,0.0,0.0,5.0,1.0,0.0
The West,8.0,0.0,4.0,0.0,1.0,6.0,7.0,2.0,0.0,2.0,2.0,0.0,4.0,0.0,24.0,3.0,9.0,0.0,1.0,2.0,11.0,1.0,3.0,4.0,1.0,0.0,3.0,0.0,6.0,3.0,16.0,5.0,3.0,7.0,5.0,2.0,5.0,13.0,1.0,4.0,0.0,2.0,0.0,1.0,4.0,0.0,6.0,0.0,0.0,6.0,4.0,0.0,2.0,0.0,6.0,0.0
Til-Barsip,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,9.0,3.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,4.0,0.0,5.0,0.0,0.0,3.0,6.0,0.0,3.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0
Til-Barsip or Harran,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Tušhan,14.0,2.0,33.0,10.0,8.0,10.0,44.0,4.0,16.0,0.0,25.0,51.0,111.0,19.0,111.0,13.0,8.0,1.0,16.0,18.0,48.0,1.0,80.0,24.0,27.0,36.0,77.0,19.0,23.0,23.0,105.0,20.0,50.0,52.0,15.0,22.0,58.0,60.0,20.0,0.0,52.0,3.0,6.0,6.0,15.0,8.0,24.0,2.0,2.0,44.0,15.0,0.0,12.0,1.0,33.0,2.0
Vassal Kingdom,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,4.0,0.0,0.0,7.0,5.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,4.0,1.0,0.0,3.0,6.0,2.0,1.0,5.0,0.0,2.0,5.0,1.0,3.0,2.0,8.0,1.0,3.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0
Western Assyria,3.0,1.0,3.0,0.0,7.0,0.0,12.0,5.0,2.0,2.0,13.0,4.0,21.0,2.0,47.0,6.0,0.0,0.0,2.0,5.0,23.0,7.0,13.0,6.0,6.0,5.0,16.0,3.0,3.0,9.0,22.0,11.0,8.0,14.0,4.0,7.0,17.0,37.0,9.0,2.0,10.0,0.0,2.0,3.0,4.0,3.0,4.0,2.0,0.0,10.0,9.0,0.0,4.0,1.0,6.0,0.0
Zobah,15.0,0.0,11.0,0.0,2.0,7.0,10.0,10.0,5.0,5.0,1.0,38.0,18.0,20.0,45.0,0.0,6.0,0.0,6.0,7.0,21.0,5.0,12.0,20.0,7.0,17.0,29.0,0.0,13.0,8.0,41.0,12.0,7.0,18.0,1.0,12.0,15.0,27.0,8.0,1.0,12.0,0.0,3.0,13.0,11.0,8.0,7.0,0.0,1.0,13.0,3.0,0.0,0.0,1.0,9.0,0.0
uncertain,10.0,1.0,36.0,6.0,12.0,8.0,42.0,7.0,19.0,11.0,60.0,18.0,113.0,3.0,196.0,27.0,14.0,4.0,19.0,17.0,50.0,20.0,73.0,25.0,45.0,17.0,85.0,12.0,33.0,66.0,107.0,26.0,39.0,64.0,18.0,17.0,69.0,88.0,39.0,10.0,31.0,23.0,10.0,10.0,26.0,3.0,24.0,11.0,3.0,59.0,27.0,7.0,5.0,5.0,19.0,2.0
