	group	group_len	purity
98	['RU:..', 'RU:.d.', 'šu', 'šu₂']	4	0.19741480611045828
99	['RU:..', 'RU:.d.', 'u', 'u₂']	4	0.1927144535840188
100	['RU:..', 'RU:.d.', 'bēlu[lord]N:bēlī:be-li₂', 'bēlu[lord]N:bēlī:EN']	4	0.19036427732079905
101	['RU:..', 'RU:.d.', 'bēlu[lord]N:bēlīya:EN-ia', 'bēlu[lord]N:bēlīya:be-li₂-ia']	4	0.199764982373678
102	['RU:..', 'RU:.d.', 'lā[not]MOD:lā:la', 'lā[not]MOD:lā:la-a']	4	0.1797884841363102
103	['RU:..', 'RU:.d.', 'lū[may]MOD:lū:lu', 'lū[may]MOD:lū:lu-u']	4	0.1927144535840188
104	['RU:..', 'RU:.d.', 'šulmu[completeness]N:šulmu:DI-mu', 'šulmu[completeness]N:šulmu:šul-mu']	4	0.2044653349001175
105	['|ME.U.U.U|:..', '|ME.U.U.U|:.m.', 'ŠA:..', 'ŠA:.dm.']	4	0.18331374853113983
106	['|ME.U.U.U|:..', '|ME.U.U.U|:.m.', 'ia', 'ia₂']	4	0.18213866039952997
107	['|ME.U.U.U|:..', '|ME.U.U.U|:.m.', 'li', 'li₂']	4	0.18683901292596944
108	['|ME.U.U.U|:..', '|ME.U.U.U|:.m.', 'ša', 'ša₂']	4	0.19623971797884843
109	['|ME.U.U.U|:..', '|ME.U.U.U|:.m.', 'šu', 'šu₂']	4	0.17391304347826086
110	['|ME.U.U.U|:..', '|ME.U.U.U|:.m.', 'u', 'u₂']	4	0.18801410105757932
111	['|ME.U.U.U|:..', '|ME.U.U.U|:.m.', 'bēlu[lord]N:bēlī:be-li₂', 'bēlu[lord]N:bēlī:EN']	4	0.17861339600470036
112	['|ME.U.U.U|:..', '|ME.U.U.U|:.m.', 'bēlu[lord]N:bēlīya:EN-ia', 'bēlu[lord]N:bēlīya:be-li₂-ia']	4	0.1891891891891892
113	['|ME.U.U.U|:..', '|ME.U.U.U|:.m.', 'lā[not]MOD:lā:la', 'lā[not]MOD:lā:la-a']	4	0.17743830787309048
114	['|ME.U.U.U|:..', '|ME.U.U.U|:.m.', 'lū[may]MOD:lū:lu', 'lū[may]MOD:lū:lu-u']	4	0.1844888366627497
