,sign_form,combined,all_locs,count,is_dup
82,NA,NA:..,"P237089.2.1.1 (o 1),P237089.4.3.1 (o 3),P313419.2.1.1 (o 1),P313419.4.3.1 (o 3),P313419.5.2.1 (o 4),P313419.6.1.1 (o 5),P313420.2.1.1 (o 1),P313420.4.3.1 (o 3),P313420.5.2.1 (o 4),P313421.2.1.1 (o 1),P313421.4.3.1 (o 3),P313434.2.1.1 (o 1),P313435.2.1.1 (o 1),P313435.4.3.1 (o 3),P313435.6.1.1 (o 5),P313437.2.1.1 (o 1),P313437.4.3.1 (o 3),P313447.2.1.1 (o 1),P313447.4.3.1 (o 3),P313448.2.1.1 (o 1),P313448.4.3.1 (o 3),P313472.2.1.1 (o 1),P313472.4.3.1 (o 3),P313472.5.2.1 (o 4),P313472.6.1.1 (o 5),P313504.2.1.1 (o 1),P313504.4.3.1 (o 3),P313504.5.2.1 (o 4),P313504.6.2.1 (o 5),P313510.2.1.1 (o 1),P313510.4.3.1 (o 3),P313510.5.2.1 (o 4),P313510.5.4.1 (o 4),P313515.2.1.1 (o 1),P313515.4.3.1 (o 3),P313540.2.1.1 (o 1),P313540.4.3.1 (o 3),P313640.2.1.1 (o 1),P313640.4.3.1 (o 3),P313874.2.1.1 (o 1),P313874.4.3.1 (o 3),P314044.2.1.1 (o 1),P314044.4.3.1 (o 3),P334036.5.3.1 (o 4),P334037.2.1.1 (o 1),P334037.4.3.1 (o 3),P334037.5.3.1 (o 4),P334038.2.1.1 (o 1),P334038.4.3.1 (o 3),P334038.5.3.1 (o 4),P334041.8.3.1 (o 7),P334043.2.1.1 (o 1),P334043.4.3.1 (o 3),P334043.5.3.1 (o 4),P334044.4.3.1 (o 3),P334045.4.3.1 (o 3),P334045.6.1.1 (o 5),P334047.5.3.1 (o 4),P334048.2.1.1 (o 1),P334048.3.5.1 (o 2),P334048.4.5.1 (o 3),P334049.2.1.1 (o 1),P334049.4.3.1 (o 3),P334050.2.1.1 (o 1),P334050.4.3.1 (o 3),P334051.2.1.1 (o 1),P334051.4.3.1 (o 3),P334053.2.1.1 (o 1),P334053.4.3.1 (o 3),P334054.2.1.1 (o 1),P334054.4.3.1 (o 3),P334055.2.1.1 (o 1),P334055.4.3.1 (o 3),P334072.2.1.1 (o 1),P334072.3.2.4 (o 2),P334074.2.1.1 (o 1),P334074.4.3.1 (o 3),P334074.5.2.1 (o 4),P334076.2.1.1 (o 1),P334076.4.3.1 (o 3),P334076.5.2.1 (o 4),P334077.2.1.1 (o 1),P334077.3.3.1 (o 2),P334077.3.7.1 (o 2),P334078.2.1.1 (o 1),P334078.4.3.1 (o 3),P334078.6.1.1 (o 5),P334078.7.2.1 (o 6),P334079.2.1.1 (o 1),P334079.4.3.1 (o 3),P334079.6.1.1 (o 5),P334080.2.1.1 (o 1),P334080.4.3.1 (o 3),P334081.2.1.1 (o 1),P334081.4.3.1 (o 3),P334081.6.1.1 (o 5),P334083.4.3.1 (o 3),P334084.2.1.1 (o 1),P334084.4.3.1 (o 3),P334084.7.1.1 (o 6),P334090.2.1.1 (o 1),P334090.3.3.1 (o 2),P334091.2.1.1 (o 1),P334091.4.3.1 (o 3),P334092.2.1.1 (o 1),P334092.3.3.1 (o 2),P334092.4.1.1 (o 3),P334092.4.6.1 (o 3),P334092.5.3.1 (o 4),P334094.2.1.1 (o 1),P334094.3.3.1 (o 2),P334103.2.1.1 (o 1),P334103.4.3.1 (o 3),P334105.2.1.1 (o 1),P334105.4.3.1 (o 3),P334106.2.1.1 (o 1),P334106.4.3.1 (o 3),P334108.2.1.1 (o 1),P334108.4.3.1 (o 3),P334109.2.1.1 (o 1),P334113.2.1.1 (o 1),P334113.4.3.1 (o 3),P334114.2.1.1 (o 1),P334114.4.3.1 (o 3),P334115.2.1.1 (o 1),P334115.4.3.1 (o 3),P334116.2.1.1 (o 1),P334116.4.3.1 (o 3),P334118.2.1.1 (o 1),P334118.4.3.1 (o 3),P334124.2.1.1 (o 1),P334124.4.3.1 (o 3),P334125.2.1.1 (o 1),P334125.4.3.1 (o 3),P334135.2.1.1 (o 1),P334136.2.1.1 (o 1),P334137.2.1.1 (o 1),P334137.4.3.1 (o 3),P334138.2.1.1 (o 1),P334138.4.3.1 (o 3),P334139.2.1.1 (o 1),P334139.4.3.1 (o 3),P334140.2.1.1 (o 1),P334140.4.3.1 (o 3),P334158.2.1.1 (o 1),P334158.5.1.1 (o 4),P334170.2.1.1 (o 1),P334170.4.3.1 (o 3),P334171.2.1.1 (o 1),P334171.4.3.1 (o 3),P334171.5.2.1 (o 4),P334171.7.2.1 (o 6),P334171.8.2.1 (o 7),P334172.2.1.1 (o 1),P334172.4.3.1 (o 3),P334172.5.2.1 (o 4),P334172.6.2.1 (o 5),P334172.7.2.1 (o 6),P334172.8.2.1 (o 7),P334174.2.1.1 (o 1),P334174.4.3.1 (o 3),P334175.2.1.1 (o 1),P334175.4.3.1 (o 3),P334176.2.1.1 (o 1),P334176.4.3.1 (o 3),P334186.2.1.1 (o 1),P334186.4.3.1 (o 3),P334187.4.3.1 (o 3),P334199.2.1.1 (o 1),P334199.4.3.1 (o 3),P334200.2.1.1 (o 1),P334200.4.3.1 (o 3),P334201.2.1.1 (o 1),P334201.4.3.1 (o 3),P334201.5.3.1 (o 4),P334202.2.1.1 (o 1),P334202.4.3.1 (o 3),P334202.5.2.1 (o 4),P334204.2.1.1 (o 1),P334204.4.3.1 (o 3),P334205.4.3.1 (o 3),P334208.2.1.1 (o 1),P334212.2.1.1 (o 1),P334256.2.1.1 (o 1),P334256.4.3.1 (o 3),P334257.4.3.1 (o 3),P334259.2.1.1 (o 1),P334264.2.1.1 (o 1),P334264.4.3.1 (o 3),P334264.5.2.1 (o 4),P334273.2.1.1 (o 1),P334288.2.1.1 (o 1),P334288.4.3.1 (o 3),P334296.2.1.1 (o 1),P334296.4.3.1 (o 3),P334296.6.2.1 (o 5),P334296.7.1.1 (o 6),P334298.2.1.1 (o 1),P334298.4.3.1 (o 3),P334328.2.1.1 (o 1),P334328.4.3.1 (o 3),P334328.5.3.1 (o 4),P334329.2.1.1 (o 1),P334330.5.3.1 (o 4),P334331.2.1.1 (o 1),P334331.4.3.1 (o 3),P334331.5.3.1 (o 4),P334332.2.1.1 (o 1),P334333.2.1.1 (o 1),P334333.4.3.1 (o 3),P334335.2.1.1 (o 1),P334335.4.3.1 (o 3),P334336.2.1.1 (o 1),P334336.4.3.1 (o 3),P334338.2.1.1 (o 1),P334338.4.3.1 (o 3),P334339.2.1.1 (o 1),P334339.4.3.1 (o 3),P334343.2.1.1 (o 1),P334343.4.3.1 (o 3),P334343.5.2.1 (o 4),P334344.2.1.1 (o 1),P334344.4.3.1 (o 3),P334344.5.2.1 (o 4),P334345.2.1.1 (o 1),P334345.4.3.1 (o 3),P334345.5.2.1 (o 4),P334346.2.1.1 (o 1),P334346.4.3.1 (o 3),P334347.2.1.1 (o 1),P334347.4.3.1 (o 3),P334347.6.2.1 (o 5),P334347.7.1.1 (o 6),P334348.2.1.1 (o 1),P334348.4.3.1 (o 3),P334348.6.2.1 (o 5),P334348.7.1.1 (o 6),P334349.2.1.1 (o 1),P334349.4.3.1 (o 3),P334349.6.2.1 (o 5),P334349.7.1.1 (o 6),P334350.2.1.1 (o 1),P334350.4.3.1 (o 3),P334350.6.2.1 (o 5),P334350.7.1.1 (o 6),P334351.2.1.1 (o 1),P334351.4.3.1 (o 3),P334351.6.2.1 (o 5),P334351.7.1.1 (o 6),P334367.2.1.1 (o 1),P334367.4.3.1 (o 3),P334496.2.1.1 (o 1),P334496.4.3.1 (o 3),P334496.6.1.1 (o 5),P334498.2.1.1 (o 1),P334498.4.3.1 (o 3),P334498.5.2.1 (o 4),P334498.6.1.1 (o 5),P334500.2.1.1 (o 1),P334500.4.3.1 (o 3),P334501.2.1.1 (o 1),P334501.4.3.1 (o 3),P334502.2.1.1 (o 1),P334502.3.3.1 (o 2),P334505.2.1.1 (o 1),P334505.4.3.1 (o 3),P334505.5.2.1 (o 4),P334518.2.1.1 (o 1),P334518.4.3.1 (o 3),P334521.2.1.1 (o 1),P334528.2.1.1 (o 1),P334528.4.3.1 (o 3),P334529.2.1.1 (o 1),P334529.4.3.1 (o 3),P334534.2.1.1 (o 1),P334534.5.2.1 (o 4),P334534.7.2.1 (o 6),P334534.9.2.1 (o 8),P334536.2.1.1 (o 1),P334536.4.3.1 (o 3),P334538.2.1.1 (o 1),P334538.4.3.1 (o 3),P334539.2.1.1 (o 1),P334539.4.3.1 (o 3),P334540.2.1.1 (o 1),P334540.4.3.1 (o 3),P334540.5.2.1 (o 4),P334554.2.1.1 (o 1),P334554.4.3.1 (o 3),P334555.2.1.1 (o 1),P334555.4.3.1 (o 3),P334558.2.1.1 (o 1),P334558.4.3.1 (o 3),P334559.2.1.1 (o 1),P334559.4.3.1 (o 3),P334561.2.1.1 (o 1),P334561.4.3.1 (o 3),P334562.2.1.1 (o 1),P334562.4.3.1 (o 3),P334562.5.2.1 (o 4),P334562.6.2.1 (o 5),P334563.2.1.1 (o 1),P334563.4.3.1 (o 3),P334564.2.1.1 (o 1),P334564.4.3.1 (o 3),P334565.2.1.1 (o 1),P334565.4.3.1 (o 3),P334587.2.1.1 (o 1),P334587.5.2.1 (o 3),P334587.7.3.1 (o 5),P334665.2.1.1 (o 1),P334665.5.1.1 (o 4),P334665.7.1.1 (o 6),P334918.2.1.1 (o 1),P334918.4.3.1 (o 3),P336167.2.1.1 (o 1),P336168.2.1.1 (o 1),P336168.4.3.1 (o 3),P336169.2.1.1 (o 1),P336169.4.3.1 (o 3),P336178.2.1.1 (o 1),P336178.5.1.1 (o 4),P336597.2.1.1 (o 1),P336597.4.3.1 (o 3),P337150.2.1.1 (o 1),P337150.4.3.1 (o 3),X900015.2.1.1 (o 1),X900015.4.3.1 (o 3)",328,True
83,NA,NA:.d.,"P334187.2.1.1 (o 1),P334208.4.3.1 (o 3)",2,True
84,NA,NA:.t.,"P313434.4.3.1 (o 3),P313750.2.1.1 (o 1),P313750.4.3.1 (o 3),P313750.5.2.1 (o 4),P313750.6.2.1 (o 5),P334036.2.1.1 (o 1),P334036.4.3.1 (o 3),P334039.2.1.1 (o 1),P334039.4.3.1 (o 3),P334039.5.3.1 (o 4),P334040.2.1.1 (o 1),P334040.4.3.1 (o 3),P334040.5.3.1 (o 4),P334041.2.1.1 (o 1),P334041.4.2.1 (o 3),P334041.5.2.1 (o 4),P334041.6.2.1 (o 5),P334041.7.2.1 (o 6),P334041.9.3.1 (o 8),P334042.2.1.1 (o 1),P334042.4.3.1 (o 3),P334042.5.3.1 (o 4),P334044.2.1.1 (o 1),P334044.5.3.1 (o 4),P334045.2.1.1 (o 1),P334046.2.1.1 (o 1),P334046.4.3.1 (o 3),P334047.2.1.1 (o 1),P334047.4.3.1 (o 3),P334048.3.2.1 (o 2),P334048.4.2.1 (o 3),P334048.5.3.1 (o 4),P334069.2.1.1 (o 1),P334070.2.1.1 (o 1),P334071.2.1.1 (o 1),P334073.2.1.1 (o 1),P334075.2.1.1 (o 1),P334075.4.3.1 (o 3),P334083.2.1.1 (o 1),P334084.6.2.1 (o 5),P334104.2.1.1 (o 1),P334104.4.3.1 (o 3),P334109.4.3.1 (o 3),P334135.4.3.1 (o 3),P334136.4.3.1 (o 3),P334145.2.1.1 (o 1),P334145.4.3.1 (o 3),P334145.5.2.1 (o 4),P334145.6.2.1 (o 5),P334198.2.1.1 (o 1),P334198.4.3.1 (o 3),P334203.2.1.1 (o 1),P334203.4.3.1 (o 3),P334203.5.2.1 (o 4),P334205.2.1.1 (o 1),P334257.2.1.1 (o 1),P334263.2.1.1 (o 1),P334263.4.3.1 (o 3),P334271.2.1.1 (o 1),P334271.4.3.1 (o 3),P334271.5.3.1 (o 4),P334272.2.1.1 (o 1),P334272.4.2.1 (o 3),P334272.5.2.1 (o 4),P334272.6.2.1 (o 5),P334272.7.2.1 (o 6),P334272.8.3.1 (o 7),P334272.9.3.1 (o 8),P334273.4.3.1 (o 3),P334273.5.3.1 (o 4),P334291.2.1.1 (o 1),P334291.3.3.1 (o 2),P334291.4.2.1 (o 3),P334291.5.2.1 (o 4),P334329.4.3.1 (o 3),P334329.5.3.1 (o 4),P334330.2.1.1 (o 1),P334330.4.3.1 (o 3),P334332.5.3.1 (o 4),P334504.2.1.1 (o 1),P334504.4.3.1 (o 3),P334521.4.3.1 (o 3),P334521.5.2.1 (o 4),P334521.6.2.1 (o 5),P334534.4.3.1 (o 3),P336167.4.3.1 (o 3),P336167.5.3.1 (o 4)",87,True
85,NA,NA:.td.,"P334117.2.1.1 (o 1),P334117.5.1.1 (o 4),P334279.2.1.1 (o 1),P334279.4.3.1 (o 3)",4,True
86,NA,NA:.y.,P334080.6.1.1 (o 5),1,True
87,NI,NI:..,"P237089.2.3.1 (o 1),P313420.2.3.1 (o 1),P313420.4.5.1 (o 3),P313420.7.3.1 (o 6),P313420.8.3.1 (o 7),P313421.2.3.1 (o 1),P313421.3.2.5 (o 2),P313434.2.3.1 (o 1),P313448.2.3.1 (o 1),P313448.4.5.1 (o 3),P313504.2.3.1 (o 1),P313504.4.5.1 (o 3),P313515.2.3.1 (o 1),P313515.3.2.5 (o 2),P313515.4.5.1 (o 3),P313640.2.3.1 (o 1),P313640.3.2.5 (o 2),P313640.4.5.1 (o 3),P313874.2.3.1 (o 1),P314044.2.3.1 (o 1),P314044.3.2.4 (o 2),P314044.4.4.1 (o 3),P334050.2.3.1 (o 1),P334053.2.3.1 (o 1),P334053.4.5.1 (o 3),P334054.2.3.1 (o 1),P334055.2.3.1 (o 1),P334074.2.3.1 (o 1),P334074.4.5.1 (o 3),P334074.5.6.1 (o 4),P334075.2.3.1 (o 1),P334075.4.5.1 (o 3),P334076.2.3.1 (o 1),P334076.3.2.6 (o 2),P334076.4.5.1 (o 3),P334076.5.6.1 (o 4),P334076.6.3.5 (o 5),P334076.7.1.0 (o 6),P334076.7.3.1 (o 6),P334076.8.1.3 (o 7),P334076.8.2.0 (o 7),P334077.2.5.5 (o 1),P334090.2.3.1 (o 1),P334090.3.5.1 (o 2),P334092.2.3.1 (o 1),P334092.3.5.1 (o 2),P334092.5.5.1 (o 4),P334094.2.3.1 (o 1),P334094.3.5.1 (o 2),P334103.2.3.1 (o 1),P334104.2.3.1 (o 1),P334104.4.5.1 (o 3),P334105.2.3.1 (o 1),P334105.4.5.1 (o 3),P334106.2.3.1 (o 1),P334106.4.5.1 (o 3),P334108.2.3.1 (o 1),P334109.2.3.1 (o 1),P334114.2.3.1 (o 1),P334116.2.3.1 (o 1),P334125.2.3.1 (o 1),P334125.4.5.1 (o 3),P334135.2.3.1 (o 1),P334139.2.3.1 (o 1),P334158.2.3.1 (o 1),P334158.5.3.1 (o 4),P334158.6.2.3 (o 5),P334158.7.3.1 (o 6),P334170.3.2.4 (o 2),P334171.3.2.4 (o 2),P334172.3.2.4 (o 2),P334174.3.2.4 (o 2),P334175.3.2.4 (o 2),P334176.3.2.4 (o 2),P334186.2.3.1 (o 1),P334186.4.5.1 (o 3),P334187.2.3.1 (o 1),P334187.4.5.1 (o 3),P334198.2.3.1 (o 1),P334198.4.5.1 (o 3),P334199.2.3.1 (o 1),P334200.3.2.5 (o 2),P334201.2.3.1 (nolabel),P334201.3.2.5 (o 2),P334201.4.5.1 (o 3),P334201.7.3.1 (o 6),P334202.3.2.5 (o 2),P334203.3.2.5 (o 2),P334204.2.3.1 (o 1),P334204.3.2.5 (o 2),P334204.5.1.1 (o 4),P334205.3.2.5 (o 2),P334208.3.2.5 (o 2),P334212.2.3.1 (o 1),P334256.2.3.1 (o 1),P334256.4.5.1 (o 3),P334263.2.3.1 (o 1),P334263.3.2.4 (o 2),P334264.2.3.1 (o 1),P334264.3.2.5 (o 2),P334288.3.2.4 (o 2),P334298.2.3.1 (o 1),P334332.2.3.1 (o 1),P334332.5.5.1 (o 4),P334335.2.3.1 (o 1),P334336.2.3.1 (o 1),P334336.4.5.1 (o 3),P334338.2.3.1 (o 1),P334338.4.5.1 (o 3),P334343.2.3.1 (o 1),P334343.4.5.1 (o 3),P334343.6.4.1 (o 5),P334343.7.4.1 (o 6),P334344.2.3.1 (o 1),P334344.4.5.1 (o 3),P334344.6.3.1 (o 5),P334344.7.3.1 (o 6),P334345.2.3.1 (o 1),P334345.4.5.1 (o 3),P334345.6.4.1 (o 5),P334345.7.4.1 (o 6),P334346.2.3.1 (o 1),P334346.4.5.1 (o 3),P334500.2.3.1 (o 1),P334500.4.5.1 (o 3),P334501.2.3.1 (o 1),P334502.2.3.1 (o 1),P334502.3.5.1 (o 2),P334504.2.3.1 (o 1),P334504.4.5.1 (o 3),P334505.6.3.5 (o 5),P334505.6.5.0 (nolabel),P334518.2.3.1 (o 1),P334518.4.5.1 (o 3),P334528.2.3.1 (o 1),P334528.4.5.1 (o 3),P334529.3.2.5 (o 2),P334534.3.2.5 (o 2),P334534.9.3.4 (o 8),P334536.2.3.1 (o 1),P334536.3.2.5 (o 2),P334536.4.5.1 (o 3),P334538.2.3.1 (o 1),P334538.3.2.4 (o 2),P334539.2.3.1 (o 1),P334539.3.1.4 (o 2),P334539.3.2.4 (o 2),P334539.4.5.1 (o 3),P334539.4.5.2 (o 3),P334540.2.3.1 (o 1),P334540.3.2.5 (o 2),P334554.3.2.6 (o 2),P334555.3.2.6 (o 2),P334559.3.2.6 (o 2),P334562.2.3.1 (o 1),P334563.2.3.1 (o 1),P334563.4.5.1 (o 3),P334565.2.3.1 (o 1),P334565.4.5.1 (o 3),P334587.2.3.1 (o 1),P334587.6.4.1 (o 4),P334918.2.3.1 (o 1),P334918.4.5.1 (o 3),P336168.3.2.4 (o 2),P336169.3.2.5 (o 2),P336597.4.5.1 (o 3),X900015.2.3.1 (o 1),X900015.4.5.1 (o 3)",168,True
88,NI,NI:.d.,"P334091.2.3.1 (o 1),P334091.4.4.1 (o 3),P334135.4.5.1 (o 3),P334198.3.2.4 (o 2),P334199.3.2.5 (o 2),P337150.2.3.1 (o 1),P337150.4.5.1 (o 3)",7,True
89,NI,NI:.t.,"P334339.2.3.1 (o 1),P334339.4.5.1 (o 3)",2,True
91,NUN,NUN:..,"P334038.3.2.3 (o 2),P334043.3.2.3 (o 2),P334047.3.2.3 (o 2)",3,True
92,NUN,NUN:.m.,"P334036.3.2.3 (o 2),P334037.3.2.3 (o 2),P334039.3.2.3 (o 2),P334040.3.2.3 (o 2),P334041.3.2.3 (o 2),P334042.3.2.3 (o 2),P334045.3.2.3 (o 2),P334046.3.2.3 (o 2),P334048.2.5.3 (o 1),P334271.3.2.3 (o 2),P334272.3.2.3 (o 2),P334273.3.2.3 (o 2),P334328.3.2.3 (o 2),P334329.3.2.3 (o 2),P334330.3.2.3 (o 2),P334332.3.2.2 (o 2),P336167.3.2.3 (o 2)",17,True
97,RA,RA:..,"P313419.5.3.2 (o 4),P313420.6.1.2 (o 5),P313472.5.3.2 (o 4),P334038.3.2.6 (o 2),P334039.3.2.6 (o 2),P334040.3.2.6 (o 2),P334041.3.2.6 (o 2),P334041.4.3.2 (o 3),P334043.3.2.6 (o 2),P334044.3.2.7 (o 2),P334046.3.2.6 (o 2),P334048.3.3.2 (o 2),P334271.3.2.6 (o 2),P334272.3.2.6 (o 2),P334272.4.3.2 (o 3),P334273.3.2.6 (o 2),P334328.3.2.6 (o 2),P334330.3.2.6 (o 2),P334331.3.2.7 (o 2),P334332.3.2.5 (o 2),P334344.5.4.2 (o 4),P334498.5.3.2 (o 4)",22,True
98,RA,RA:.t.,"P334045.3.2.6 (o 2),P336167.3.2.6 (o 2)",2,True
99,RA,RA:.tdp.,P334037.3.2.6 (o 2),1,True
100,RI,RI:..,"P237089.3.2.4 (o 2),P313504.5.3.3 (o 4),P313874.3.2.2 (o 2),P334090.2.5.3 (o 1),P334091.3.2.3 (o 2),P334092.2.5.3 (o 1),P334094.2.5.3 (o 1),P334103.3.2.4 (o 2),P334104.3.2.4 (o 2),P334105.3.2.4 (o 2),P334106.3.2.3 (o 2),P334108.3.2.4 (o 2),P334158.7.1.1 (o 6),P334256.3.2.3 (o 2),P334259.4.2.3 (o 2),P334338.3.2.3 (o 2),P334339.3.2.3 (o 2),P334501.3.2.4 (o 2),P334562.5.3.2 (o 4),P334587.4.3.1 (o 2),P337150.3.2.3 (o 2)",21,True
101,RI,RI:.d.,P334257.3.2.3 (o 2),1,True
102,RU,RU:..,"P313435.6.4.1 (o 5),P334038.6.1.1 (o 5),P334039.6.2.1 (o 5),P334040.5.6.1 (o 4),P334043.6.2.1 (o 5),P334044.5.6.1 (o 4),P334045.6.4.1 (o 5),P334078.6.4.1 (o 5),P334081.7.1.1 (o 6),P334158.5.4.1 (o 4),P334271.6.2.1 (o 5),P334273.6.1.1 (o 5),P334329.6.2.1 (o 5),P334330.6.1.1 (o 5),P334496.6.4.1 (o 5),P334587.7.6.1 (o 5),P334665.8.1.1 (o 7),P336167.6.1.1 (o 5)",18,True
103,RU,RU:.dp.,"P334037.6.1.1 (o 5),P334328.6.2.1 (o 5),P334331.6.1.1 (o 5)",3,True
110,TI,TI:..,"P313419.5.3.4 (o 4),P313472.5.3.4 (o 4),P334498.5.3.4 (o 4)",3,True
111,TI,TI:.t.,"P313420.5.3.2 (o 4),P334344.5.3.2 (o 4)",2,True
117,URU,URU:..,"P313419.5.3.0 (o 4),P313420.6.1.0 (o 5),P313472.5.3.0 (o 4),P313510.5.3.0 (o 4),P313750.6.3.0 (o 5),P334041.6.3.0 (o 5),P334041.6.3.2 (o 5),P334048.4.3.0 (o 3),P334048.4.3.2 (o 3),P334074.3.2.4 (o 2),P334075.3.2.4 (o 2),P334076.3.2.5 (o 2),P334077.2.5.4 (o 1),P334084.6.3.0 (o 5),P334092.4.7.0 (o 3),P334171.6.3.0 (o 5),P334172.6.3.0 (o 5),P334202.5.3.0 (o 4),P334203.5.3.0 (o 4),P334264.5.3.0 (o 4),P334272.6.3.0 (o 5),P334272.6.3.2 (o 5),P334291.5.3.0 (o 4),P334296.6.3.0 (o 5),P334343.6.1.0 (o 5),P334344.5.4.0 (o 4),P334345.6.1.0 (o 5),P334347.6.3.0 (o 5),P334348.6.3.0 (o 5),P334349.6.3.0 (o 5),P334350.6.3.0 (o 5),P334351.6.3.0 (o 5),P334498.5.3.0 (o 4),P334540.5.3.0 (o 4),P334562.5.3.0 (o 4),P334562.6.3.0 (o 5)",36,True
118,URU,URU:.d.,"P313504.5.3.0 (o 4),P313504.6.3.0 (o 5)",2,True
119,U₂,U₂:..,"P334083.3.2.3 (o 2),P334113.4.1.1 (o 3),P334587.6.4.0 (o 4),P334665.4.1.1 (o 3)",4,True
120,U₂,U₂:.m.,"P313448.4.1.1 (o 3),P334186.4.1.1 (o 3),P334343.4.1.1 (o 3),P334346.4.1.1 (o 3)",4,True
127,|EZEN×BAD|,|EZEN×BAD|:..,"P313448.3.2.3 (o 2),P334109.3.2.2 (o 2),P334500.3.2.3 (o 2),P334502.2.5.3 (o 1)",4,True
128,|EZEN×BAD|,|EZEN×BAD|:.p.,"P334186.3.2.3 (o 2),P334187.3.2.3 (o 2),P334528.3.2.3 (o 2),P334529.3.2.3 (o 2)",4,True
134,|ME.U.U.U|,|ME.U.U.U|:..,"P334041.5.3.2 (o 4),P334048.3.6.2 (o 2),P334145.6.3.2 (o 5),P334171.5.3.2 (o 4),P334171.8.3.2 (o 7),P334172.5.3.2 (o 4),P334201.6.4.1 (o 5),P334272.5.3.2 (o 4),P334332.3.1.1 (o 2),P334343.6.1.3 (o 5),P334345.6.1.3 (o 5),P334521.6.3.2 (o 5),P334534.5.3.3 (o 4),P334534.7.3.2 (o 6),P334539.2.4.1 (o 1),P334587.5.4.1 (o 3)",16,True
135,|ME.U.U.U|,|ME.U.U.U|:.m.,P334291.5.3.3 (o 4),1,True
136,|ME.U.U.U|,|ME.U.U.U|:.t.,"P313750.6.3.3 (o 5),P334172.8.3.2 (o 7)",2,True
145,ŠA,ŠA:..,"P313419.6.3.0 (o 5),P313420.7.1.0 (o 6),P313420.8.1.0 (o 7),P313510.5.6.0 (o 4),P334074.5.4.0 (o 4),P334076.5.4.0 (o 4),P334076.6.2.0 (o 5),P334201.7.1.0 (o 6),P334291.4.4.0 (o 3),P334291.6.2.0 (o 5),P334343.6.2.0 (o 5),P334345.7.2.0 (o 6),P334348.7.3.0 (o 6),P334505.5.4.0 (o 4),P334521.6.4.0 (o 5),P334521.7.2.0 (o 6),P334587.5.5.0 (o 3)",17,True
146,ŠA,ŠA:.d.,"P334505.6.2.0 (o 5),P334505.7.1.0 (o 6)",2,True
147,ŠA,ŠA:.dm.,"P313472.3.2.1 (o 2),P313472.6.3.0 (o 5),P334084.7.3.0 (o 6),P334296.7.3.0 (o 6),P334347.7.3.0 (o 6),P334350.7.3.0 (o 6),P334351.7.3.0 (o 6),P334498.3.2.1 (o 2),P334498.6.3.0 (o 5),P334534.6.1.0 (o 5)",10,True
148,ŠA,ŠA:.dt.,P334145.7.2.0 (o 6),1,True
149,ŠA,ŠA:.dtm.,P334534.8.1.0 (o 7),1,True
150,ŠA,ŠA:.dy.,P334077.3.9.0 (o 2),1,True
151,ŠA,ŠA:.m.,"P334343.7.2.0 (o 6),P334345.6.2.0 (o 5),P334349.7.3.0 (o 6)",3,True
152,ŠA,ŠA:.p.,"P334078.7.4.0 (o 6),P334587.5.1.0 (o 3)",2,True
153,ŠA,ŠA:.tp.,P334092.4.3.0 (o 3),1,True
154,ŠA,ŠA:.y.,"P334344.6.1.0 (o 5),P334344.7.1.0 (o 6)",2,True
155,ŠA,ŠA:.ydm.,"P313750.5.4.0 (o 4),P313750.7.2.0 (o 6)",2,True
157,ŠA₃,ŠA₃:..,"P313420.7.4.0 (o 6),P313750.7.1.0 (o 6),P334041.6.3.1 (o 5),P334048.4.3.1 (o 3),P334145.7.1.0 (o 6),P334201.6.6.0 (o 5),P334272.6.3.1 (o 5),P334291.6.1.0 (o 5),P334343.7.1.0 (o 6),P334345.7.1.0 (o 6),P334521.7.1.0 (o 6)",11,True
158,ŠA₃,ŠA₃:.p.,P334344.6.4.0 (o 5),1,True
