lemma	norm	form	cf
battu[side]N	batti	ba-at-ti	1
battu[side]N	batti	ba-ti	1
battu[side]N	batti	bat-ti	6
battu[side]N	battēšu	bat-te-šu₂	1
battu[side]N	battīšu	bat-ti-šu	1
battubattu[all round]PRP	batbattešunu	bat-bat-te-šu₂-nu	1
battubattu[all round]PRP	batbatti	bat-bat-ti	2
battubattu[all round]PRP	battabatti	ba-ta-ba-ti	1
battubattu[all round]PRP	battabattīya	ba-ta-ba-ti-ia	1
battubattu[all round]PRP	battebatte	ba-te-ba-te	1
battubattu[all round]PRP	battebatte	bat-te-bat-te	1
battubattu[all round]PRP	battebattēni	bat-te-bat-te-e-ni	3
battubattu[all round]PRP	battebattēya	bat-te-bat-te-e-a	1
battubattu[all round]PRP	battibatti	bat-ti-bat-ti	3
batāqu[cut off]V	abattaq	a-bat-taq	1
batāqu[cut off]V	abattāqa	a-ba-ta-qa	1
batāqu[cut off]V	abattāqa	a-bat-ta-qa	1
batāqu[cut off]V	abtataq	ab-ta-taq	2
batāqu[cut off]V	butūqu	bu-tu-qu	1
batāqu[cut off]V	ibattaqūni	i-bat-taq-u-ni	1
batāqu[cut off]V	ibattuqu	i-ba-tu₂-qu	1
batāqu[cut off]V	ibattuqu	i-bat-tu-qu	2
batāqu[cut off]V	ibattāqa	i-ba-ta-qa	1
batāqu[cut off]V	libtuqu	lib-tu-qu	1
batāqu[cut off]V	libtūqu	li-ib-tu-qu	1
batāqu[cut off]V	nibattaq	ni-ba-taq	1
batāqu[cut off]V	nibtūqu	ni-ib-tu-qu	1
batāqu[cut off]V	tabattaq	ta-bat-taq	1
bašû[exist]V	bašû	i-ba-ši	1
bašû[exist]V	ibašši	i-ba-aš₂-ši	44
bašû[exist]V	ibašši	i-ba-ši	36
bašû[exist]V	ibaššî	i-ba-aš₂-ši-i	7
bašû[exist]V	ibaššî	i-ba-ši-i	1
bašû[exist]V	ibaššû	i-ba-aš₂-šu₂	2
bašû[exist]V	ibaššûni	i-ba-aš₂-šu-u-ni	1
bašû[exist]V	ibaššûni	i-ba-aš₂-šu₂-u-ni	2
bašû[exist]V	ibaššûni	i-ba-šu-ni	2
bašû[exist]V	ibaššûni	i-ba-šu-u-ni	3
bašû[exist]V	ibaššûni	i-ba-šu₂-ni	3
bašû[exist]V	ibaššûni	i-ba-šu₂-u-ni	2
bašû[exist]V	ibaššûnu	i-ba-aš₂-šu-nu	1
bašû[exist]V	ibaššûnu	i-ba-šu₂-nu	1
bašû[exist]V	ittabši	it-tab-ši	1
bašālu[be(come) cooked]V	ibšalūni	ib-šal-u-ni	1
biltu[load]N	biltu	GU₂	1
biltu[load]N	biltu	GU₂.UN	3
biltu[load]N	biltu	bil-tu₂	1
biltu[load]N	bilāt	GU₂.UN	13
biltu[load]N	bilāt	bi-lat	1
birhu[(meaning unknown)]N	birhī	bi-ir-hi	1
birhu[(meaning unknown)]N	birhī	bir-hi	1
birti[between]PRP	birte	bir-te	9
birti[between]PRP	birti	bi-ir-ti	2
birti[between]PRP	birti	bir-ti	23
birti[between]PRP	birtukkunu	bir-tu-ku-nu	1
birti[between]PRP	birtunni	bir-tu-ni	1
birti[between]PRP	birtunni	bir-tu-un-ni	3
birti[between]PRP	birtunni	bir-tu₂-un-ni	1
birti[between]PRP	birtuššunu	bir-tu-šu₂-nu	2
birtu[fort]N	bīrte	{URU}bir-te	12
birtu[fort]N	bīrti	bir-ti	1
birtu[fort]N	bīrti	{LU₂}GAL—HAL.ṢU	1
birtu[fort]N	bīrti	{URU}HAL.ṢU	32
birtu[fort]N	bīrti	{URU}bir-ti	2
birtu[fort]N	bīrtu	{URU}HAL.ṢU	12
birtu[fort]N	bīrtu	{URU}bir-tu	2
birtu[fort]N	bīrtu	{URU}bir-tu₂	4
birtu[fort]N	bīrtīšu	{URU}bir-ti-šu₂	1
birtu[fort]N	bīrāt	{URU}bi-rat	25
birtu[fort]N	bīrāte	{URU}bi-ra-a-te	7
birtu[fort]N	bīrāte	{URU}bi-ra-te	1
birtu[fort]N	bīrāti	HAL.ṢU-MEŠ	3
birtu[fort]N	bīrāti	{URU}HAL.ṢU-MEŠ	30
birtu[fort]N	bīrāti	{URU}bi-ra-a-ti	6
birtu[fort]N	bīrāti	{URU}bi-ra-ti	4
birtu[fort]N	bīrātikunu	{URU}HAL.ṢU-MEŠ-ku-nu	1
birtu[fort]N	bīrātīni	{URU}HAL.ṢU-MEŠ-ni	1
birtu[fort]N	bīrātīšu	{URU}HAL.ṢU-MEŠ-šu₂	1
bis[then]AV	bis	bi-is	1
biātu[spend the night]V	nibīad	ni-bi-ad	2
biātu[spend the night]V	tabīad	ta-bi-ad	1
biātu[spend the night]V	ubīdsu	u₂-bid-su	1
bubūtu[hunger]N	bubūte	bu-bu-te	1
bubūtu[hunger]N	bubūti	bu-bu-ti	1
buddudu[waste]V	tubtaddid	tu-ub-ta-di-id	1
buddudu[waste]V	ubaddudu	u₂-ba-du-du	2
burbāni[(meaning unknown)]N	burbāni	bur-ba-a-ni	1
bussurtu[message]N	passurtiya	pa-su-ur-ti-ia	1
bussuru[bring a message]V	uptassir	up-ta-si-ir	1
buʾʾû[look for]V	baʾʾi	ba-i	1
buʾʾû[look for]V	baʾʾia	ba-i-a	1
buʾʾû[look for]V	lubaʾʾi	lu-ba-ʾi	3
buʾʾû[look for]V	lubaʾʾiušunu	lu-ba-ʾi-iu-u-šu-nu	1
buʾʾû[look for]V	nubtaʾʾi	nu-ub-ta-ʾi-i	1
buʾʾû[look for]V	ubaʾʾa	u₂-ba-ia	1
buʾʾû[look for]V	ubaʾʾa	u₂-ba-ʾa-a	1
buʾʾû[look for]V	ubaʾʾanni	u₂-ba-ʾa-an-ni	1
buʾʾû[look for]V	ubaʾʾu	u₂-ba-u₂	1
buʾʾû[look for]V	ubaʾʾûni	u₂-ba-u-ni	1
buʾʾû[look for]V	ubaʾʾûni	u₂-ba-ʾu-u-ni	2
buʾʾû[look for]V	ubtaʾʾušu	ub-ta-iu-u-šu	1
buʾʾû[sought for]AJ	baʾʾû	ba-ʾu-u₂	1
bâru[catch]V	ubârūni	u₂-ba-ru-u-ni	1
bêlu[rule (over)]V	ibellûšunu	i-be-lu-šu-nu	1
bêru[choose]V	libēru	li-be₂-e-ru	1
bêru[choose]V	nibtīar	ni-ib-ti-ar	2
bêru[choose]V	tabīra	ta-bi-ra	1
bābu[gate]N	bāb	KA₂-aš-šur	1
bābu[gate]N	bābi	KA₂	5
bābu[gate]N	bābišunu	KA₂-šu₂-nu	1
bābu[gate]N	bābāni	KA₂-MEŠ-ni	1
bābu[gate]N	bābāte	KA₂-MEŠ-te	1
bābu[gate]N	bābātēka	KA₂-MEŠ-ka	1
bādu[evening]N	bādi	ba-a-di	1
bārtu[rebellion]N	bārti	bar-ti	1
bārtu[rebellion]N	bārtu	bar-tu	2
bārtu[rebellion]N	bārtu	bar-tu₂	1
bātiqu[informer]N	bātiqūti	ba-ti-qi₂-tu₂	2
bātiqu[informer]N	bātiqūtu	ba-ti-qu-tu₂	1
bāšû[existing]AJ	bašiʾ	ba-ši-iʾ	1
bēdu[spending the night]AJ	bēde	be₂-e-de	2
bēdu[spending the night]AJ	bēdu	be₂-e-du	1
bēdu[spending the night]AJ	bēdāku	be₂-da-ku	1
bēdu[spending the night]AJ	bēdāni	be₂-da-ni	1
bēltu[lady]N	bēlet	be-lit	1
bēlu[lord]N	bēl	EN	2
bēlu[lord]N	bēl	EN-de-ni-ia	1
bēlu[lord]N	bēl	EN-de-ni-šu₂	1
bēlu[lord]N	bēl	EN-ha-bu-li-šu₂-nu	1
bēlu[lord]N	bēl	EN-hi-i-ṭu	1
bēlu[lord]N	bēl	EN-li-ša₂-ni	1
bēlu[lord]N	bēl	EN-pi-qi-ta-te	1
bēlu[lord]N	bēl	EN-pi-qi-ti	1
bēlu[lord]N	bēl	EN-pi-qit-ti	1
bēlu[lord]N	bēl	EN-{GIŠ}GIGIR	1
bēlu[lord]N	bēl	EN-ṣa-si-šu₂-nu	1
bēlu[lord]N	bēl	EN—URU	3
bēlu[lord]N	bēl	EN—URU-in-ni	1
bēlu[lord]N	bēl	EN—URU-ku-nu	1
bēlu[lord]N	bēl	EN—URU-u-te-e	1
bēlu[lord]N	bēl	EN—URU.URU-MEŠ	1
bēlu[lord]N	bēl	{LU₂}EN-URU	1
bēlu[lord]N	bēl	{LU₂}EN-iš-ka-ra-te	2
bēlu[lord]N	bēl	{LU₂}EN-pi-qi-ta-te	2
bēlu[lord]N	bēl	{LU₂}EN-pi-qi-ta-ti	2
bēlu[lord]N	bēl	{LU₂}EN-pi-qi-te	2
bēlu[lord]N	bēl	{LU₂}EN-pi-qi-te-ka	1
bēlu[lord]N	bēl	{LU₂}EN-pi-qit-ta-te-ia	1
bēlu[lord]N	bēl	{LU₂}EN-pi-qit-ta-ti	1
bēlu[lord]N	bēl	{LU₂}EN-pi-qit-te	2
bēlu[lord]N	bēl	{LU₂}EN-pi-qit-te-ia	3
bēlu[lord]N	bēl	{LU₂}EN-pi-qit-te-ka-a	1
bēlu[lord]N	bēl	{LU₂}EN-pi-qit-ti	1
bēlu[lord]N	bēl	{LU₂}EN-pi-qit-ti-ia	1
bēlu[lord]N	bēl	{LU₂}EN-pir-ri	1
bēlu[lord]N	bēl	{LU₂}EN-{GIŠ}GIGIR-MEŠ	4
bēlu[lord]N	bēl	{LU₂}EN-ṭa-ab-ti-ka	1
bēlu[lord]N	bēl	{LU₂}EN—KUR₂-MEŠ-ka	1
bēlu[lord]N	bēl	{LU₂}EN—MUD₂-MEŠ	1
bēlu[lord]N	bēl	{LU₂}EN—URU	7
bēlu[lord]N	bēl	{LU₂}EN—URU-MEŠ	8
bēlu[lord]N	bēl	{LU₂}EN—URU-MEŠ-ni	2
bēlu[lord]N	bēl	{LU₂}EN—URU-a-ni	1
bēlu[lord]N	bēl	{LU₂}EN—URU-u₂-ti	2
bēlu[lord]N	bēli	EN	1
bēlu[lord]N	bēli	be-li₂	3
bēlu[lord]N	bēlinni	EN-in-ni	1
bēlu[lord]N	bēlišunu	be-li₂-šu₂-nu	1
bēlu[lord]N	bēlēka	E₂—EN-MEŠ-ka	1
bēlu[lord]N	bēlēni	E₂—EN-e-ni	1
bēlu[lord]N	bēlēya	E₂—EN-e-a	1
bēlu[lord]N	bēlī	BE-i	3
bēlu[lord]N	bēlī	BE.LUM	1
bēlu[lord]N	bēlī	EN	182
bēlu[lord]N	bēlī	EN-i	2
bēlu[lord]N	bēlī	EN-li	14
bēlu[lord]N	bēlī	EN-li₂	4
bēlu[lord]N	bēlī	be-li	19
bēlu[lord]N	bēlī	be-li₂	642
bēlu[lord]N	bēlī	be-li₂-i	1
bēlu[lord]N	bēlīka	be-li₂-ka	1
bēlu[lord]N	bēlīkunu	E₂—EN-MEŠ-ku-nu	1
bēlu[lord]N	bēlīn	EN-in	1
bēlu[lord]N	bēlīni	BE-ni	2
bēlu[lord]N	bēlīni	EN-e-ni	1
bēlu[lord]N	bēlīni	EN-i-ni	2
bēlu[lord]N	bēlīni	EN-ni	22
bēlu[lord]N	bēlīni	be-li-ni	1
bēlu[lord]N	bēlīni	be-li₂-i-ni	4
bēlu[lord]N	bēlīni	be-li₂-ni	14
bēlu[lord]N	bēlīni	{LU₂}EN-ni	1
bēlu[lord]N	bēlīya	BE-ia	11
bēlu[lord]N	bēlīya	BE-ia₂	9
bēlu[lord]N	bēlīya	EN-a	76
bēlu[lord]N	bēlīya	EN-ia	770
bēlu[lord]N	bēlīya	EN-ia₂	190
bēlu[lord]N	bēlīya	E₂—EN-MEŠ-a	1
bēlu[lord]N	bēlīya	be-li-ia	1
bēlu[lord]N	bēlīya	be-li-ia₂	2
bēlu[lord]N	bēlīya	be-li₂-a	13
bēlu[lord]N	bēlīya	be-li₂-ia	309
bēlu[lord]N	bēlīya	be-li₂-ia₂	194
bēlu[lord]N	bēlīyâ	be-li₂-ia-a	1
bēlu[lord]N	bēlīšu	EN-šu₂	2
bēlu[lord]N	bēlīšu	E₂—EN-MEŠ-šu₂	2
bēlu[lord]N	bēlīšu	be-li₂-šu₂	2
bēlu[lord]N	bēlīšunu	EN-MEŠ-šu₂-nu	1
bēlu[lord]N	bēlīšunu	E₂—EN-MEŠ-šu₂-nu	1
bēru[double hour]N	bēru	KASKAL.GID₂	6
bīt[where]SBJ	bēt	E₂	42
bīt[where]SBJ	bēt	E₂—AD-ia	1
bīt[where]SBJ	bēt	be₂-et	27
bīt[where]SBJ	bēte	be₂-te	2
bīt[where]SBJ	bīt	E₂	1
bīt[where]SBJ	bīt	be₂-et	1
bītu[house]N	bēssu	E₂-su	3
bītu[house]N	bēt	E₂	72
bītu[house]N	bēt	E₂-aš-šur	5
bītu[house]N	bēt	E₂-dan-ni	1
bītu[house]N	bēt	E₂-hi-il-la-na-ni	1
bītu[house]N	bēt	E₂-hi-il-la-na-te	1
bītu[house]N	bēt	E₂-hi-il-la-ni	1
bītu[house]N	bēt	E₂-hi-la-ni	1
bītu[house]N	bēt	E₂-i-si-te-ia	1
bītu[house]N	bēt	E₂-kad-mu-ri	1
bītu[house]N	bēt	E₂-kar-me	1
bītu[house]N	bēt	E₂-mar-di-a-te	2
bītu[house]N	bēt	E₂-mar-di-ti-ia	1
bītu[house]N	bēt	E₂-mu-sa-i-te	1
bītu[house]N	bēt	E₂-na-kam-ti	1
bītu[house]N	bēt	E₂-ra-ma-ki	3
bītu[house]N	bēt	E₂-rim-ki	1
bītu[house]N	bēt	E₂-tu-ʾi-in-te	1
bītu[house]N	bēt	E₂-ub-re-e-šu₂	1
bītu[house]N	bēt	E₂-{d}15	1
bītu[house]N	bēt	E₂-{d}30	1
bītu[house]N	bēt	E₂-{d}7.BI	1
bītu[house]N	bēt	E₂-{d}AG	1
bītu[house]N	bēt	E₂-{d}IM-ša₂-zu-un-ni	1
bītu[house]N	bēt	E₂-{d}MAŠ.MAŠ	1
bītu[house]N	bēt	E₂-{d}NIN.GAL	1
bītu[house]N	bēt	E₂-{d}PA	3
bītu[house]N	bēt	E₂-{d}UTU	1
bītu[house]N	bēt	E₂-šu-ub-te	1
bītu[house]N	bēt	E₂-šu-ub-te-šu₂-nu	1
bītu[house]N	bēt	E₂—AD-ia	1
bītu[house]N	bēt	E₂—AD-šu₂	5
bītu[house]N	bēt	E₂—AD-šu₂-u-ni	1
bītu[house]N	bēt	E₂—BAD₃	1
bītu[house]N	bēt	E₂—BAD₃-MEŠ-ni	2
bītu[house]N	bēt	E₂—BAD₃-a-ni	1
bītu[house]N	bēt	E₂—DINGIR	9
bītu[house]N	bēt	E₂—DINGIR-MEŠ	1
bītu[house]N	bēt	E₂—DINGIR-MEŠ-te	1
bītu[house]N	bēt	E₂—EN-MEŠ-a	1
bītu[house]N	bēt	E₂—EN-MEŠ-ka	1
bītu[house]N	bēt	E₂—EN-MEŠ-ku-nu	1
bītu[house]N	bēt	E₂—EN-MEŠ-šu₂	2
bītu[house]N	bēt	E₂—EN-MEŠ-šu₂-nu	1
bītu[house]N	bēt	E₂—EN-e-a	1
bītu[house]N	bēt	E₂—EN-e-ni	1
bītu[house]N	bēt	E₂—GIŠ-MEŠ	1
bītu[house]N	bēt	E₂—LUGAL	3
bītu[house]N	bēt	E₂—MI₂-MEŠ	1
bītu[house]N	bēt	E₂—ŠU.2	5
bītu[house]N	bēt	be₂-et	7
bītu[house]N	bēt	{GIŠ}E₂-gi-ṣi-te	1
bītu[house]N	bēt	{LU₂}A.BA—E₂—DINGIR	1
bītu[house]N	bēti	E₂	23
bītu[house]N	bēti	E₂-02-e	1
bītu[house]N	bēti	E₂-02-i	1
bītu[house]N	bēti	{LU₂}GAL—E₂	7
bītu[house]N	bētimma	E₂-im-ma	1
bītu[house]N	bētišunūma	E₂-šu₂-nu-ma	1
bītu[house]N	bētu	E₂	13
bītu[house]N	bētāti	E₂-MEŠ	19
bītu[house]N	bētātišunu	E₂-MEŠ	1
bītu[house]N	bētātišunu	E₂-MEŠ-šu₂-nu	6
bītu[house]N	bētātišunu	be₂-ta-a-ti-šu₂-nu	1
bītu[house]N	bētātēni	E₂-MEŠ-te-ni	1
bītu[house]N	bētātīni	E₂-MEŠ-ni	3
bītu[house]N	bētī	E₂	1
bītu[house]N	bētīka	{LU₂}GAL—E₂-ka	2
bītu[house]N	bētīkāma	E₂-ka-ma	1
bītu[house]N	bētīya	E₂-ia	2
bītu[house]N	bētīya	{LU₂}GAL—E₂-ia	3
bītu[house]N	bētīšu	E₂-šu	2
bītu[house]N	bētīšu	E₂-šu₂	8
bītu[house]N	bētšu	E₂-šu₂	1
bītānu[interior]N	bētanni	E₂-an-ni	1
bītānu[interior]N	bētannu	E₂-an-nu	1
bītānu[interior]N	bētāni	E₂-a-ni	1
bītānu[interior]N	bētānīya	E₂-a-ni-ia	1
bītūtu[of the house]N	bētūte	{LU₂}GAL—E₂-u₂-te	1
būlu[animals]N	būli	bu-li	1
būrtu[cistern]N	būrtu	PU₂	1
būṣu[fine linen]N	būṣī	bu-ṣi	1
dabābu[speak]V	adabbub	a-da-bu-ub	5
dabābu[speak]V	adabbubūni	a-da-bu-bu-ni	1
dabābu[speak]V	adabbubūni	a-da-bu-bu-u-ni	1
dabābu[speak]V	adbuba	ad-bu-ba	1
dabābu[speak]V	addabub	ad-da-bu-ub	2
dabābu[speak]V	addabubūni	ad-da-bu-ub-u₂-ni	1
dabābu[speak]V	addubbaššunu	a-du-ba-šu₂-nu	1
dabābu[speak]V	addubub	a-du-bu-ub	6
dabābu[speak]V	addubub	ad-du-bu-ub	4
dabābu[speak]V	addubūbu	ad-du-bu-bu	1
dabābu[speak]V	dabubišunu	da-bu-bi-šu-nu	1
dabābu[speak]V	dabābu	da-ba-bu	1
dabābu[speak]V	dubba	du-ub-ba	3
dabābu[speak]V	dubbu	du-bu	1
dabābu[speak]V	dubbu	du-ub-bu	7
dabābu[speak]V	idabbabūni	i-da-ba-bu-ni	1
dabābu[speak]V	idabbub	i-da-ab-bu-ub	4
dabābu[speak]V	idabbub	i-da-bu-ub	11
dabābu[speak]V	idabbubu	i-da-ab-bu-bu	1
dabābu[speak]V	idabbubu	i-da-bu-bu	7
dabābu[speak]V	idabbubūni	i-da-ab-bu-bu-u-ni	1
dabābu[speak]V	idabbubūni	i-da-bu-bu-ni	3
dabābu[speak]V	idabbubūni	i-da-bu-ub-u-ni	2
dabābu[speak]V	idabbūbu	i-da-bu-bu	1
dabābu[speak]V	idbubūni	id-bu-bu-ni	1
dabābu[speak]V	iddabbubu	id-da-ab-bu-bu	1
dabābu[speak]V	iddibub	id-di-bu-ub	1
dabābu[speak]V	iddibubūni	i-di-bu-ub-u-ni	1
dabābu[speak]V	iddibubūni	id-di-bu-ub-u-ni	1
dabābu[speak]V	iddubaššu	id-du-ba-aš₂-šu₂	1
dabābu[speak]V	iddubbu	i-du-bu	1
dabābu[speak]V	iddubbu	id-du-bu	1
dabābu[speak]V	iddubbu	id-du-ub-bu	2
dabābu[speak]V	iddubub	i-du-bu-ub	5
dabābu[speak]V	iddubub	id-du-bu-ub	4
dabābu[speak]V	iddubūbu	i-du-bu-bu	7
dabābu[speak]V	idubbakanūni	i-du-ba-ka-nu-ni	1
dabābu[speak]V	issadbib	i-sa-ad-bi-ib	1
dabābu[speak]V	ladabub	la-da-bu-ub	2
dabābu[speak]V	ladbub	la-ad-bu-ub	3
dabābu[speak]V	lidbub	lid-bu-ub	4
dabābu[speak]V	lidbubu	lid-bu-bu	1
dabābu[speak]V	lidbūbu	lid-bu-bu	5
dabābu[speak]V	liddibubu	lid-di-bu-bu	1
dabābu[speak]V	liddibūbu	lid-di-bu-bu	1
dabābu[speak]V	nidabbub	ni-da-bu-ub	2
dabābu[speak]V	nidbub	ni-id-bu-ub	3
dabābu[speak]V	niddubaššunu	ni-du-ba-aš₂-šu₂-nu	1
dabābu[speak]V	niddubub	ni-id-du-bu-ub	1
dabābu[speak]V	tadabbub	ta-da-bu-ub	3
dabābu[speak]V	tadabbūbu	ta-da-bu-bu	2
dabābu[speak]V	tadbūbu	ta-ad-bu-u₂-bu	1
dabābu[speak]V	ušadabubūniššunu	u₂-ša₂-da-bu-bu-ni-šu₂-nu	1
dabābu[speak]V	ušadbabūni	u₂-šad-ba-bu-u-ni	1
dabābu[speak]V	ušadbibuššu	u₂-ša-ad-bi-bu-šu₂	1
dabābu[speak]V	ušadbubu	u₂-ša₂-ad-bu-bu	1
dagālu[see]V	adaggal	a-da-gal	8
dagālu[see]V	adaggal	a-dag-gal	2
dagālu[see]V	adaggāla	a-da-ga-la	1
dagālu[see]V	addagal	a-da-gal	2
dagālu[see]V	addagal	ad-da-gal	1
dagālu[see]V	dugul	du-gul	1
dagālu[see]V	idaggal	i-da-gal	4
dagālu[see]V	idaggul	i-da-gul	1
dagālu[see]V	lidgul	lid-gul	1
dagālu[see]V	nidgul	ni-id-gul	1
dagālu[see]V	tadgul	ta-ad-gul	1
dalbānu[intervening space]N	dulubāni	du-lu-ba-ni	1
dalhu[troubled]AJ	dalhu	da-al-hu	1
dalhu[troubled]AJ	dalih	da-li-ih	1
daltu[door]N	dalat	{GIŠ}IG	1
daltu[door]N	dalāti	{GIŠ}IG-MEŠ	9
dalāhu[disturb]V	dalāhu	da-la-hu	2
dalāhu[disturb]V	idallah	i-dal-lah₃	1
damdāmu[(a kind of mule)]N	daddammī	{ANŠE}NUN.NA	1
damqu[good]AJ	damiqtu	SIG₅-tu₂	1
damqu[good]AJ	damqat	dam-qa-at	1
damqu[good]AJ	damqi	{LU₂}A—SIG	2
damqu[good]AJ	damqi	{LU₂}A—SIG₅	1
damqu[good]AJ	damqu	SIG₅	3
damqu[good]AJ	damqu	dam-qu	3
damqu[good]AJ	damqīya	{LU₂}A—SIG-ia	1
damqu[good]AJ	damqūte	SIG₅-MEŠ	10
damqu[good]AJ	damqūti	{LU₂}A—SIG-MEŠ	1
damqu[good]AJ	damqūti	{LU₂}A—SIG₅-MEŠ	1
damqu[good]AJ	danqa	da-an-qa	1
damqu[good]AJ	danqat	SIG₅-at	1
damqu[good]AJ	danqu	da-an-qu	3
damqu[good]AJ	deʾiq	SIG₅	1
damqu[good]AJ	deʾiq	SIG₅-iq	2
damqu[good]AJ	deʾiqtī	de-iq-ti	1
damqu[good]AJ	dēqe	de-e-qe	1
damāqu[be(come) good]V	dammiq	dam-mi₃-iq	1
damāqu[be(come) good]V	dammiqqa	da-mi₃-iq-qa	1
damāqu[be(come) good]V	dammuqi	da-mu-qi	1
damāqu[be(come) good]V	dammuqi	dam-mu-qi	1
damāqu[be(come) good]V	iddimiq	i-di-mi-iq	1
damāqu[be(come) good]V	iddimiq	i-di-mi₃-iq	1
damāqu[be(come) good]V	iddimqi	i-di-im-qi	1
damāqu[be(come) good]V	udammuqu	u₂-da-mu-qu	1
dannatu[fortified (place)]N	dannite	{URU}dan-ni-te	1
dannatu[fortified (place)]N	dannātīma	{E₂}KALAG-MEŠ-ma	1
dannu[strong]AJ	dannat	dan-na-at	10
dannu[strong]AJ	dannat	dan-nat	5
dannu[strong]AJ	danni	dan-ni	1
dannu[strong]AJ	dannu	KALAG	1
dannu[strong]AJ	dannu	dan-nu	9
dannu[strong]AJ	dannāte	dan-na-te	1
dannu[strong]AJ	dannāti	KALAG-MEŠ	1
dannu[strong]AJ	dannūte	KALAG-MEŠ-te	2
dannu[strong]AJ	dannūte	KALAG.GA-MEŠ	1
dannu[strong]AJ	dannūte	dan-nu-te	1
dannu[strong]AJ	dannūti	KALAG-MEŠ	11
dannu[strong]AJ	dannūti	dan-nu-ti	1
dannu[strong]AJ	datti	da-at-ti	1
dannu[strong]AJ	daʾāna	da-ʾa-na	1
dannu[strong]AJ	daʾʾatu	da-ʾa-tu₂	1
dannu[strong]AJ	dān	KALAG-an	4
dannu[strong]AJ	dān	da-an	1
dannu[strong]AJ	dāna	da-a-na	2
dannunu[strengthened]AJ	dannunu	da-nu-nu	1
danānu[be(come) strong]V	idaʾʾinūni	i-da-ʾi-nu-ni	1
danānu[be(come) strong]V	iddiʾin	i-di-in	3
danānu[be(come) strong]V	iddiʾīni	i-di-i-ni	1
danānu[be(come) strong]V	idʾinūni	i-di-iʾ-nu-u-ni	1
danānu[be(come) strong]V	nutīn	nu-ti-in	1
danānu[be(come) strong]V	tadaʾʾin	ta-da-in	1
danānu[be(come) strong]V	udaʾʾana	u₂-da-ʾa-na	1
daprānu[juniper]N	dupurāni	{ZID₂}du-pur-a-ni	2
darrû[sacrificial sheep]N	dariu	{UDU}da-ri-u₂	1
darrû[sacrificial sheep]N	dariē	da₃-ri-e	1
dayyaltu[(hunting) foray]N	dayālatu	da-a-a-la-tu₂	1
dayyālu[scout]N	dayālī	{LU₂}da-a.a-URU	1
dayyālu[scout]N	dayālī	{LU₂}da-a.a-li	11
dayyālu[scout]N	dayālī	{LU₂}da-ia-a-li	1
dayyālu[scout]N	dayālīka	{LU₂}da-a.a-li-ka	1
dayyālu[scout]N	dayālīya	{LU₂}da-a.a-li-ia	4
daʾāpu[push (away)]V	iddiʾib	id-di-ʾi-ib	1
daʾāqu[(meaning unknown)]AJ	daʾīqi	da-ii-qi	1
dekû[raise]V	adakki	a-da-ak-ki	1
dekû[raise]V	dakkišunu	da-ak-ki-šu₂-nu	1
dekû[raise]V	idakki	i-da-ak-ki	1
dekû[raise]V	idakkia	i-dak-ki-a	1
dekû[raise]V	idakkiu	i-da-ki-u	1
dekû[raise]V	idakkî	i-da-ak-ki-i	1
dekû[raised]AJ	daki	da-ki	1
dekû[raised]AJ	dakiu	da-ki-u	1
dibbu[words]N	dibbī	di-bi	1
dibbu[words]N	dibbī	di-ib-bi	27
dibbu[words]N	dibbī	dib-bi	14
dibbu[words]N	dibbīkunu	di-ib-bi-ku-nu	1
dibbu[words]N	dibbīšu	di-bi-šu₂	1
dibbu[words]N	dibbīšu	dib-bi-šu	1
dibbu[words]N	dibbīšu	dib-bi-šu₂	1
dibbu[words]N	dibbīšunu	dib-bi-šu₂-nu	1
dibbu[words]N	dibbīšunūni	di-ib-bi-šu₂-nu-ni	1
dibbu[words]N	dibbīšūni	di-bi-šu₂-ni	1
dibbu[words]N	dibbīšūni	di-bi-šu₂-u-ni	1
dikûtu[levy]N	dakûti	da-ku-ti	1
diqāru[large bowl]N	diqārāti	UTUL₂	1
diqāru[large bowl]N	diqārāti	UTUL₂-MEŠ	1
dišānu[(meaning unknown)]N	dišānu	{LU₂}di-ša-nu	1
duhnu[millet]N	tuhnu	{ŠE}tuh-nu	1
dullu[trouble]N	dullaka	du₆-la-ka	1
dullu[trouble]N	dullakunu	dul-la-ku-nu	7
dullu[trouble]N	dullakāni	dul-la-ka-ni	1
dullu[trouble]N	dullašunu	dul-la-šu-nu	3
dullu[trouble]N	dullašunu	dul-la-šu₂-nu	10
dullu[trouble]N	dullašunu	dul₆-la-šu₂-nu	1
dullu[trouble]N	dullaššunu	dul-la-aš₂-šu₂-nu	1
dullu[trouble]N	dulli	KIN	1
dullu[trouble]N	dulli	dul-li	19
dullu[trouble]N	dulli	dul₆-li	4
dullu[trouble]N	dulli	du₆-li	4
dullu[trouble]N	dullinni	dul-li-in-ni	3
dullu[trouble]N	dullinni	dul₆-li-in-ni	1
dullu[trouble]N	dullu	du-ul-lu	1
dullu[trouble]N	dullu	dul-lu	70
dullu[trouble]N	dullu	dul₆-lu	31
dullu[trouble]N	dullu	du₆-lu	9
dullu[trouble]N	dullum	dul-lum	11
dullu[trouble]N	dullumma	dul-lu-um-ma	1
dullu[trouble]N	dullumma	du₆-lu-ma	1
dullu[trouble]N	dulluša	dul-lu-ša₂	1
dullu[trouble]N	dullušu	dul-lu-šu	1
dullu[trouble]N	dullušu	du₆-lu-šu₂	1
dullu[trouble]N	dullāni	dul-la-a-ni	1
