,class_type,feature_type,group,group_len,num_clusters,purity_class,purity_random,error_sub,error_div
70,dossier,paleo,"['BU:..', 'BU:.p.', 'DI:..', 'DI:.d.', 'LI:..', 'LI:.d.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",8,161,0.24605678233438485,0.21871713985278654,0.027339642481598314,1.125
71,dossier,paleo,"['NA:..', 'NA:.t.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",4,161,0.2113564668769716,0.20189274447949526,0.009463722397476337,1.046875
72,dossier,paleo,"['BU:..', 'BU:.p.', 'NA:..', 'NA:.t.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",6,161,0.2544689800210305,0.231335436382755,0.023133543638275522,1.1
73,dossier,paleo,"['DI:..', 'DI:.d.', 'NA:..', 'NA:.t.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",6,161,0.2555205047318612,0.2323869610935857,0.023133543638275522,1.0995475113122173
74,dossier,paleo,"['BU:..', 'BU:.p.', 'DI:..', 'DI:.d.', 'NA:..', 'NA:.t.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",8,161,0.2544689800210305,0.21976866456361724,0.03470031545741328,1.1578947368421055
75,dossier,paleo,"['LI:..', 'LI:.d.', 'NA:..', 'NA:.t.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",6,161,0.2565720294426919,0.22818086225026288,0.02839116719242904,1.1244239631336406
76,dossier,paleo,"['BU:..', 'BU:.p.', 'LI:..', 'LI:.d.', 'NA:..', 'NA:.t.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",8,161,0.24710830704521555,0.22397476340694006,0.023133543638275494,1.1032863849765258
77,dossier,paleo,"['DI:..', 'DI:.d.', 'LI:..', 'LI:.d.', 'NA:..', 'NA:.t.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",8,161,0.24921135646687698,0.21976866456361724,0.029442691903259738,1.1339712918660287
78,dossier,paleo,"['BU:..', 'BU:.p.', 'DI:..', 'DI:.d.', 'LI:..', 'LI:.d.', 'NA:..', 'NA:.t.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",10,161,0.24605678233438485,0.22923238696109358,0.01682439537329128,1.073394495412844
79,dossier,paleo,"['NI:..', 'NI:.d.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",4,161,0.20294426919032596,0.20399579390115669,-0.0010515247108307257,0.9948453608247422
80,dossier,paleo,"['BU:..', 'BU:.p.', 'NI:..', 'NI:.d.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",6,161,0.2513144058885384,0.2302839116719243,0.02103049421661407,1.091324200913242
81,dossier,paleo,"['DI:..', 'DI:.d.', 'NI:..', 'NI:.d.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",6,161,0.24290220820189273,0.23449001051524712,0.008412197686645612,1.0358744394618833
82,dossier,paleo,"['BU:..', 'BU:.p.', 'DI:..', 'DI:.d.', 'NI:..', 'NI:.d.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",8,161,0.24500525762355416,0.22712933753943218,0.017875920084121977,1.0787037037037037
83,dossier,paleo,"['LI:..', 'LI:.d.', 'NI:..', 'NI:.d.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",6,161,0.24079915878023134,0.2334384858044164,0.007360672975814941,1.0315315315315317
84,dossier,paleo,"['BU:..', 'BU:.p.', 'LI:..', 'LI:.d.', 'NI:..', 'NI:.d.', '|ME.U.U.U|:..', '|ME.U.U.U|:.m.']",8,161,0.24395373291272346,0.22607781282860148,0.017875920084121977,1.0790697674418606
