,headword,xis_entry,instances_all
65,Anu-ereš[1]PN,qpn.r0005a,saao/sargonletters:P334155.18.1 ({1}{d}a-nu-APIN-eš)
66,Anu[1]DN,qpn.r0005b,saao/sargonletters:P334055.6.2 ({d}a-num)
67,Apalla[1]GN,qpn.r0005c,saao/sargonletters:P334583.15.2 ({URU}ap-al-la-a)
68,Aparu[1]GN,qpn.r0005d,saao/sargonletters:P313766.7.3 ({URU}a-pa-ri)
69,Apku[1]GN,qpn.r0005e,"saao/sargonletters:P313766.2.4 ({URU}ap-ku),saao/sargonletters:P334621.11.3 ({URU}ap-ku)"
70,Aplaya[1]PN,qpn.r0005f,"saao/sargonletters:P313617.16.5 ({1}DUMU.UŠ-a.a),saao/sargonletters:P313617.5.2 ({1}DUMU.UŠ-a.a),saao/sargonletters:P224485.68.2 ({1}DUMU.UŠ-ia),saao/sargonletters:P334211.3.2 ({1}DUMU.UŠ-ia)"
71,Appa[1]PN,qpn.r00062,saao/sargonletters:P334214.14.2 ({1}ap-pa-a)
72,Appina[1]GN,qpn.r00063,"saao/sargonletters:P334223.13.2 ({URU}ap-pi-na),saao/sargonletters:P334223.5.2 ({URU}ap-pi-na)"
73,Aqaba[1]PN,qpn.r00064,saao/sargonletters:P334163.2.2 ({1}a-qa-ba)
74,Aradataya[1]EN,qpn.r00065,saao/sargonletters:P313747.27.2 ({LU₂}a-ra-da-ta-a-a)
75,Arahsamnu[Marchesvan]MN,qpn.r00066,"saao/sargonletters:P334157.9.8 ({ITI}APIN),saao/sargonletters:P334223.18.5 ({ITI}APIN),saao/sargonletters:P334314.12.3 ({ITI}APIN)"
76,Arazaya[Arazean]EN,qpn.r00067,saao/sargonletters:P314088.4.6 ({URU}a-ra-za-a.a)
77,Araši[1]GN,qpn.r00068,saao/sargonletters:P334115.9.5 ({KUR}a-ra-ši)
78,Arbail[Arbela]GN,qpn.r00069,"saao/sargonletters:P313474.40.2 ({URU}arba-il₃),saao/sargonletters:P313523.8.5 ({URU}arba-il₃),saao/sargonletters:P313546.21.3 ({URU}arba-il₃),saao/sargonletters:P313748.26.5 ({URU}arba-il₃),saao/sargonletters:P313748.6.3 ({URU}arba-il₃),saao/sargonletters:P314049.7.4 ({URU}arba-il₃),saao/sargonletters:P314227.17.5 ({URU}arba-il₃),saao/sargonletters:P334124.8.2 ({URU}arba-il₃),saao/sargonletters:P334160.11.3 ({URU}arba-il₃),saao/sargonletters:P334555.29.4 ({URU}arba-il₃),saao/sargonletters:P334588.30.2 ({URU}arba-il₃),saao/sargonletters:P334613.10.4 ({URU}arba-il₃),saao/sargonletters:P334773.12.3 ({URU}arba-il₃),saao/sargonletters:P334825.17.5 ({URU}arba-il₃)"
79,Arbailayu[1]PN,qpn.r0006a,"saao/sargonletters:P334049.29.1 ({1}arba-il₃-a.a),saao/sargonletters:P334049.9.2 ({1}arba-il₃-a.a),saao/sargonletters:P334279.13.3 ({1}{URU}arba-il₃-a.a),saao/sargonletters:P334279.6.2 ({1}{URU}arba-il₃-a.a)"
80,Arbaya[Arab]EN,qpn.r0006d,"saao/sargonletters:P334372.32.4 ({KUR}ar-pa-a.a),saao/sargonletters:P334372.6.3 ({KUR}ar-pa-a.a),saao/sargonletters:P334037.20.1 ({KUR}ar₂-pa-a.a),saao/sargonletters:P313425.24.1 ({LU₂}ar-ba-a.a),saao/sargonletters:P313425.31.2 ({LU₂}ar-ba-a.a),saao/sargonletters:P313425.34.3 ({LU₂}ar-ba-a.a),saao/sargonletters:P313425.41.2 ({LU₂}ar-ba-a.a),saao/sargonletters:P313425.6.1 ({LU₂}ar-ba-a.a),saao/sargonletters:P334165.13.2 ({LU₂}ar-ba-a.a),saao/sargonletters:P334284.31.3 ({LU₂}ar-ba-a.a),saao/sargonletters:P334643.7.1 ({LU₂}ar-ba-a.a)"
81,Arbayu[1]PN,qpn.r00072,saao/sargonletters:P334443.9.2 ({1}ar₂-ba-a.a)
82,Argada[1]GN,qpn.r00073,saao/sargonletters:P334400.6.3 ({URU}ar-ga-da)
83,Argisti[1]RN,qpn.r00074,saao/sargonletters:P334291.16.4 ({1}ar-gi-is-ta)
84,Argistiani[1]GN,qpn.r00075,"saao/sargonletters:P313711.7.2 ({URU}ir-gi-is-ti-a-ni),saao/sargonletters:P334528.7.2 ({URU}ir-gi-is-ti-a-ni)"
85,Argite[1]GN,qpn.r00076,"saao/sargonletters:P334284.15.3 ({URU}ar-gi-te),saao/sargonletters:X900007.24.2 ({URU}ar-gi-te)"
86,Arhi[1]GN,qpn.r00077,saao/sargonletters:P334060.44.2 ({URU}ar-hi)
87,Ariawate[1]GN,qpn.r00078,"saao/sargonletters:P313571.25.5 ({URU}ar-ia-u-a-te),saao/sargonletters:P313571.32.5 ({URU}ar-ia-u-a-te)"
88,Ariaza[1]PN,qpn.r00079,"saao/sargonletters:P313585.6.3 ({1}a-ri-a-za-a),saao/sargonletters:P337150.7.5 ({1}a-ri-a-za-a),saao/sargonletters:P334688.17.3 ({1}a-ri-ia-za-a),saao/sargonletters:P313542.4.1 ({1}a-ri-za-a),saao/sargonletters:P313587.26.3 ({1}a-ri-za-a),saao/sargonletters:P334093.9.2 ({1}a-ri-za-a),saao/sargonletters:P334786.12.1 ({1}a-ri-za-a),saao/sargonletters:P313529.17.3 ({1}u₂-ri-za-a),saao/sargonletters:P334337.6.3 ({1}u₂-ri-za-a)"
89,Aridu[1]GN,qpn.r0007f,saao/sargonletters:P313417.31.5 ({URU}a-ri-di)
90,Arihu[1]PN,qpn.r00080,"saao/sargonletters:P314272.4.4 ({1}a-ri-hi),saao/sargonletters:P334789.3.2 ({1}a-ri-hi)"
91,Ariye[1]PN,qpn.r00081,"saao/sargonletters:P313457.11.1 ({1}a-ri-e),saao/sargonletters:P313513.5.4 ({1}a-ri-e),saao/sargonletters:P313542.3.2 ({1}a-ri-e),saao/sargonletters:P313550.3.1 ({1}a-ri-e),saao/sargonletters:P313585.4.3 ({1}a-ri-e),saao/sargonletters:P313587.25.4 ({1}a-ri-e),saao/sargonletters:P313711.8.1 ({1}a-ri-e),saao/sargonletters:P313905.16.3 ({1}a-ri-e),saao/sargonletters:P334050.16.1 ({1}a-ri-e),saao/sargonletters:P334050.22.4 ({1}a-ri-e),saao/sargonletters:P334093.9.1 ({1}a-ri-e),saao/sargonletters:P334337.5.3 ({1}a-ri-e),saao/sargonletters:P334528.8.1 ({1}a-ri-e),saao/sargonletters:P334786.13.2 ({1}a-ri-e),saao/sargonletters:P337150.9.5 ({1}a-ri-e),saao/sargonletters:P334688.3.6 ({1}a-ri-ia-e),saao/sargonletters:P334143.11.3 ({1}ar-ie-e),saao/sargonletters:P334143.23.4 ({1}ar-ie-e)"
92,Armaya[Aramean]EN,qpn.r00085,saao/sargonletters:X900009.22.5 ({LU₂}ar₂-ma-a-a)
93,Armiraliu[1]GN,qpn.r00086,saao/sargonletters:P334308.12.2 ({KUR}ar₂-mir-a-li-u)
94,Arpadda[Arpad]GN,qpn.r00087,"saao/sargonletters:P313453.18.4 ({URU}ar-pad-da),saao/sargonletters:P334807.13.2 ({URU}ar-pad-da),saao/sargonletters:P314001.3.2 ({URU}ar-pad-du),saao/sargonletters:P314282.4.4 ({URU}ar₂-pad-da),saao/sargonletters:P334830.17.2 ({URU}ar₂-pad-da)"
95,Arpaddaya[from Arpad]EN,qpn.r0008c,saao/sargonletters:P313915.6.4 ({URU}ar-pad-da-a.a)
96,Arrakdi[1]GN,qpn.r0008d,"saao/sargonletters:P334279.21.4 ({URU}a-ra-ak-di),saao/sargonletters:P334279.37.1 ({URU}a-ra-ak-di)"
97,Arranu[1]GN,qpn.r0008e,"saao/sargonletters:P334343.12.2 ({URU}ar₂-ra-nu),saao/sargonletters:P334343.15.3 ({URU}ar₂-ra-nu)"
98,Arrapha[1]GN,qpn.r0008f,"saao/sargonletters:P334100.17.2 (arrap-ha{KI}),saao/sargonletters:P313617.11.2 ({URU}arrap-ha),saao/sargonletters:P313617.8.5 ({URU}arrap-ha),saao/sargonletters:P313632.4.2 ({URU}arrap-ha),saao/sargonletters:P313666.6.6 ({URU}arrap-ha),saao/sargonletters:P313833.17.7 ({URU}arrap-ha),saao/sargonletters:P314296.10.6 ({URU}arrap-ha),saao/sargonletters:P314296.5.6 ({URU}arrap-ha),saao/sargonletters:P334038.13.2 ({URU}arrap-ha),saao/sargonletters:P334038.21.4 ({URU}arrap-ha),saao/sargonletters:P334038.30.2 ({URU}arrap-ha),saao/sargonletters:P334044.10.4 ({URU}arrap-ha),saao/sargonletters:P334044.25.4 ({URU}arrap-ha),saao/sargonletters:P334106.6.2 ({URU}arrap-ha),saao/sargonletters:P334114.10.4 ({URU}arrap-ha),saao/sargonletters:P334114.8.1 ({URU}arrap-ha),saao/sargonletters:P334195.31.2 ({URU}arrap-ha),saao/sargonletters:P334195.35.5 ({URU}arrap-ha),saao/sargonletters:P334199.8.2 ({URU}arrap-ha),saao/sargonletters:P334199.9.4 ({URU}arrap-ha),saao/sargonletters:P334279.12.2 ({URU}arrap-ha),saao/sargonletters:P334279.55.2 ({URU}arrap-ha),saao/sargonletters:P334307.11.3 ({URU}arrap-ha),saao/sargonletters:P334333.24.2 ({URU}arrap-ha),saao/sargonletters:P334333.29.6 ({URU}arrap-ha),saao/sargonletters:P334333.8.3 ({URU}arrap-ha),saao/sargonletters:P334346.10.4 ({URU}arrap-ha),saao/sargonletters:P334693.10.5 ({URU}arrap-ha),saao/sargonletters:P334693.13.3 ({URU}arrap-ha),saao/sargonletters:P334693.14.4 ({URU}arrap-ha),saao/sargonletters:P334864.22.8 ({URU}arrap-ha),saao/sargonletters:P334097.12.2 ({URU}arrap-ra-ap-ha),saao/sargonletters:P313916.8.4 ({URU}ar₂-arrap-ha)"
99,Arraphaya[1]EN,qpn.r00094,"saao/sargonletters:P313758.6.1 ({URU}arrap-ha-a.a),saao/sargonletters:P334412.20.2 ({URU}arrap-ha-a.a),saao/sargonletters:P334439.23.1 ({URU}arrap-ha-a.a),saao/sargonletters:P334693.12.3 ({URU}arrap-ha-a.a)"
100,Arzabia[1]GN,qpn.r00095,saao/sargonletters:P313559.17.3 ({URU}ar-za-bi-a)
101,Arzabiaya[Arzabian]EN,qpn.r00096,"saao/sargonletters:P334143.50.1 ({KUR}ar-za-bi-i-a.a),saao/sargonletters:P334143.54.3 ({KUR}ar-za-bi-i-a.a)"
102,Arzaya[1]PN,qpn.r00097,"saao/sargonletters:P334069.14.3 ({1}ar-za-a.a),saao/sargonletters:P334069.4.4 ({1}ar-za-a.a)"
