,headword,xis_entry,instances_all
1635,nēberu[crossing]N,akk.r01805,"saao/sargonletters:P334038.14.1 (ne₂-bu-ru),saao/sargonletters:P334038.24.1 (ne₂-bu-ru),saao/sargonletters:P334038.32.1 (ne₂-bu-ru),saao/sargonletters:P334049.17.2 (ne₂-bu-ru),saao/sargonletters:P334049.8.1 (ne₂-bu-ru)"
1636,nēhu[calm]AJ,akk.r01806,"saao/sargonletters:P334864.7.5 (ne₂-e-hi),saao/sargonletters:P334076.27.2 (ne₂-e-hu),saao/sargonletters:P334076.7.1 (ne₂-e-hu),saao/sargonletters:P334152.26.2 (ne₂-e-hu),saao/sargonletters:P334505.6.5 (ne₂-e-hu),saao/sargonletters:P334673.6.4 (ne₂-e-hu),saao/sargonletters:P334142.29.4 (ne₂-ha-at),saao/sargonletters:P313628.21.1 (ne₂-ha-ku)"
1637,nērebu[entrance]N,akk.r0180b,"saao/sargonletters:P313891.3.5 (ne₂-e-ri-bi),saao/sargonletters:P313548.15.1 (ne₂-rab),saao/sargonletters:P334186.17.4 (ne₂-rab-a-ni),saao/sargonletters:P334076.13.4 (ne₂-re-bi),saao/sargonletters:P313450.36.2 (ne₂-ri-bi),saao/sargonletters:P313491.5.4 (ne₂-ri-bi),saao/sargonletters:P313510.44.6 (ne₂-ri-bi),saao/sargonletters:P313548.33.3 (ne₂-ri-bi),saao/sargonletters:P313640.7.3 (ne₂-ri-bi),saao/sargonletters:P313665.11.6 (ne₂-ri-bi),saao/sargonletters:P334050.19.2 (ne₂-ri-bi),saao/sargonletters:P334350.15.4 (ne₂-ri-bi),saao/sargonletters:P313474.33.5 (ne₂-ru-bu),saao/sargonletters:P313491.10.2 (ne₂-ru-bu),saao/sargonletters:P314281.24.5 ({KUR}ne₂-ru-bu)"
1638,nēšu[lion]N,akk.r01815,"saao/sargonletters:P313416.21.3 (UR.MAH),saao/sargonletters:P313785.18.7 (UR.MAH-MEŠ),saao/sargonletters:P334314.14.3 (UR.MAH-MEŠ),saao/sargonletters:P334314.16.3 (UR.MAH-MEŠ)"
1639,nību[naming]N,akk.r01818,"saao/sargonletters:P334099.5.3 (ni-bu),saao/sargonletters:P334041.32.5 (ni-i-pi),saao/sargonletters:P334041.12.2 (ni-pa-ni),saao/sargonletters:P314044.11.4 (ni-pi)"
1640,nīlu[lying down]AJ,akk.r0181e,saao/sargonletters:P313812.16.3 (NA₂)
1641,nīqu[offering]N,akk.r0181f,"saao/sargonletters:P313578.5.1 ({UDU}SISKUR-MEŠ),saao/sargonletters:P334081.12.1 ({UDU}SISKUR-MEŠ),saao/sargonletters:P334864.10.1 ({UDU}SISKUR-MEŠ),saao/sargonletters:P334257.20.1 ({UDU}SISKUR-MEŠ-šu₂),saao/sargonletters:P334894.9.1 ({UDU}SISKUR-MEŠ-šu₂),saao/sargonletters:P334839.9.1 ({UDU}ni-qi)"
1642,nūnu[fish]N,akk.r01823,"saao/sargonletters:P334390.10.7 (KU₆),saao/sargonletters:P334390.11.3 (KU₆),saao/sargonletters:P334390.20.10 (KU₆),saao/sargonletters:P334390.21.3 (KU₆),saao/sargonletters:P334390.31.3 (KU₆),saao/sargonletters:P334390.33.7 (KU₆),saao/sargonletters:P334390.35.10 (KU₆),saao/sargonletters:P334390.36.3 (KU₆),saao/sargonletters:P334390.38.3 (KU₆),saao/sargonletters:P314312.22.3 (KU₆-HI.A),saao/sargonletters:P334390.11.6 (KU₆-MEŠ),saao/sargonletters:P334390.21.6 (KU₆-MEŠ),saao/sargonletters:P334390.31.6 (KU₆-MEŠ),saao/sargonletters:P334390.36.6 (KU₆-MEŠ),saao/sargonletters:P334390.38.6 (KU₆-MEŠ)"
1643,nūru[light]N,akk.r0182b,saao/sargonletters:P334543.29.1 (nu-ru)
1644,padakku[(a grain storage facility)]N,akk.r0182c,"saao/sargonletters:P313511.22.1 (pa-da-ka-a-ti-šu₂-nu),saao/sargonletters:P334715.36.1 (pa-da-ka-te),saao/sargonletters:P334715.14.1 (pa-da-ku)"
1645,padānu[way]N,akk.r01830,saao/sargonletters:P313892.7.5 (pa-da-na-te)
1646,pagru[body]N,akk.r01831,saao/sargonletters:P334041.35.1 (pa-gar-šu₂)
1647,pahru[gathered]AJ,akk.r01832,"saao/sargonletters:P334104.20.4 (pa-hu-ru),saao/sargonletters:P313782.6.1 (pu-hu-ru),saao/sargonletters:P334200.16.1 (pu-uh-ra),saao/sargonletters:P313500.4.2 (pu-uh-ru),saao/sargonletters:P313625.19.1 (pu-uh-ru),saao/sargonletters:P334347.15.1 (pu-uh-ru),saao/sargonletters:P334373.23.2 (pu-uh-ru),saao/sargonletters:P334442.30.4 (pu-uh-ru)"
1648,pahāru[gather]V,akk.r01837,"saao/sargonletters:P314260.4.6 (i-pa-ha-ru-ni),saao/sargonletters:P313500.10.1 (i-pa-hu-ru),saao/sargonletters:P313848.9.6 (i-pa-hu-ru),saao/sargonletters:P314027.4.6 (ip-tu-uh-ru),saao/sargonletters:P334139.30.2 (lu-pa-hi-ra),saao/sargonletters:P334588.29.1 (lu-pa-hi-ri),saao/sargonletters:P334588.32.1 (lu-pa-hi-ri),saao/sargonletters:P334139.23.2 (pa-hi-ir),saao/sargonletters:P334588.28.1 (pa-hi-ir),saao/sargonletters:P334731.18.1 (pa-hi-ra),saao/sargonletters:P334710.9.2 (pa-hir-a-ni),saao/sargonletters:P334195.18.3 (pa-hir₂),saao/sargonletters:P313720.14.1 (pu-uh-ra),saao/sargonletters:P313701.18.1 (up-ta-ah-ir),saao/sargonletters:P334279.58.1 (up-ta-at-hu-ru),saao/sargonletters:P334181.15.2 (up-ta-hi-ir),saao/sargonletters:P334588.24.1 (up-ta-hi-ir),saao/sargonletters:P334708.17.1 (up-ta-hi-ir),saao/sargonletters:P313653.6.4 (up-ta-hi-ra),saao/sargonletters:P334155.7.3 (up-ta-hir),saao/sargonletters:P313422.6.1 (up-tah-hi-ir),saao/sargonletters:P313858.4.4 (up-tah-hir),saao/sargonletters:P334609.20.2 (u₂-pa-ah-hu-ru),saao/sargonletters:P313500.13.2 (u₂-pa-har),saao/sargonletters:P313934.9.7 (u₂-pa-har),saao/sargonletters:P334498.24.2 (u₂-pa-har),saao/sargonletters:P334695.42.3 (u₂-pa-har),saao/sargonletters:X900012.7.4 (u₂-pa-har),saao/sargonletters:P334180.30.1 (u₂-pa-har-an-ni),saao/sargonletters:P313452.19.1 (u₂-pa-har-šu₂-nu),saao/sargonletters:P334139.13.2 (u₂-pa-har-šu₂-nu),saao/sargonletters:P313874.10.3 (u₂-pa-hi-ir-u-ni),saao/sargonletters:P334060.30.2 (u₂-pa-hu-ru),saao/sargonletters:P313454.25.1 (u₂-pa-hu-ru-u-ni)"
1649,pahāru[potter]N,akk.r01853,"saao/sargonletters:P334710.30.2 ({LU₂}DUG.QA.BUR-MEŠ),saao/sargonletters:P334710.8.4 ({LU₂}DUG.QA.BUR-MEŠ)"
1650,palhu[fearful]AJ,akk.r01854,"saao/sargonletters:P313498.21.5 (pa-al-ha-ku),saao/sargonletters:P313498.29.1 (pa-al-ha-ku),saao/sargonletters:P313470.11.5 (pa-lah₃-ku),saao/sargonletters:P313523.11.4 (pa-lah₃-ku),saao/sargonletters:P313673.8.1 (pa-li-hi),saao/sargonletters:P224485.38.4 (pal-ha-a-ka),saao/sargonletters:P224485.41.6 (pal-ha-a-ka),saao/sargonletters:P313814.51.3 (pal-ha-a-ka),saao/sargonletters:P313575.33.5 (pal-ha-ka),saao/sargonletters:P313575.24.2 (pal-ha-ku),saao/sargonletters:P334498.31.6 (pal-ha-ku),saao/sargonletters:P313491.16.2 (pal-ha-ku-nu),saao/sargonletters:P313510.43.1 (pal-ha-ku-u),saao/sargonletters:P313646.6.1 (pal-ha-ni),saao/sargonletters:X900009.14.8 (pal-hu)"
1651,pallišu[(stone) borer]N,akk.r01861,"saao/sargonletters:P334101.5.2 ({LU₂}GAR.U.U-MEŠ),saao/sargonletters:P334101.8.3 ({LU₂}GAR.U.U-MEŠ)"
1652,palû[period of office]N,akk.r01862,"saao/sargonletters:P313458.5.3 (BALA),saao/sargonletters:P334586.45.4 (BALA)"
1653,palāhu[fear]V,akk.r01863,"saao/sargonletters:P334588.20.1 (a-pa-ta-lah₃),saao/sargonletters:P334037.26.2 (ap-ta-la-ah),saao/sargonletters:P313516.38.6 (ap-ta-lah₃),saao/sargonletters:P313644.46.2 (ap-ta-lah₃),saao/sargonletters:P314274.6.7 (ap-ta-lah₃),saao/sargonletters:P334155.39.1 (ap-ta-lah₃),saao/sargonletters:P334858.27.4 (ap-ta-lah₃),saao/sargonletters:P313487.12.3 (i-pa-la-ah),saao/sargonletters:P334284.31.1 (i-pa-lu-hu),saao/sargonletters:P334504.22.2 (i-pa-lu-hu),saao/sargonletters:P334671.8.1 (i-pal-lah₃),saao/sargonletters:P334558.15.3 (i-pal-lah₃-u-ni),saao/sargonletters:P334447.5.6 (ip-la-hu-ni),saao/sargonletters:P334198.27.1 (ip-ta-al-hu),saao/sargonletters:P334673.22.1 (ip-ta-al-hu),saao/sargonletters:P334773.9.1 (ip-ta-la-ah),saao/sargonletters:P334890.14.3 (ip-ta-la-ah),saao/sargonletters:P313444.6.6 (ip-ta-lah₃),saao/sargonletters:P334060.28.1 (ip-ta-lah₃),saao/sargonletters:P334186.9.3 (ip-ta-lah₃),saao/sargonletters:P313612.12.2 (ip-tal-hu),saao/sargonletters:P334773.33.1 (ip-tal-hu),saao/sargonletters:P334830.14.1 (ip-tal-hu),saao/sargonletters:P334905.19.6 (ip-tal-hu),saao/sargonletters:P334388.35.2 (la-ap-la-ah),saao/sargonletters:P313808.10.3 (lip-lu-hu),saao/sargonletters:P313776.7.6 (ta-pal-la-ha),saao/sargonletters:P313477.43.4 (ta-pal-lah₃),saao/sargonletters:P313480.12.1 (up-ta-lih₃-an-ni)"
1654,palāšu[perforate]V,akk.r0187a,saao/sargonletters:P336768.6.1 (up-tal-li-iš)
1655,pannugu[meaning unknown]AJ,akk.r0187b,saao/sargonletters:X900008.13.5 (pa-nu-gu)
1656,paqdu[entrusted]AJ,akk.r0187c,"saao/sargonletters:P334135.37.1 (pa-aq-da-ku),saao/sargonletters:P334141.13.3 (pa-aq-du),saao/sargonletters:P334563.8.6 (pa-qi-du-u-ni),saao/sargonletters:P334180.21.1 (pa-qi-du-u₂-ni),saao/sargonletters:P334377.6.3 (pa-qid-u-ni),saao/sargonletters:P334394.12.3 (pa-qu-du),saao/sargonletters:P314028.3.6 (paq-da-šu₂-nu),saao/sargonletters:P314011.15.2 (paq-du),saao/sargonletters:P334193.9.1 (paq-du)"
1657,paqnu[(meaning unknown)]AJ,akk.r0188d,saao/sargonletters:P334072.8.3 (pa-qi-ni)
1658,paqādu[entrust]V,akk.r0188e,"saao/sargonletters:P313738.12.4 (a-pa-qi-di),saao/sargonletters:P334372.29.2 (a-pa-qi-du-ni),saao/sargonletters:P313442.10.6 (ap-qi-du-u-ni),saao/sargonletters:P334615.8.4 (ap-ta-aq-da-šu₂),saao/sargonletters:P334204.20.1 (ap-te-qi-di),saao/sargonletters:P313498.18.1 (ap-ti-qi-di),saao/sargonletters:P313500.11.1 (ap-ti-qi-di),saao/sargonletters:P313629.4.1 (ap-ti-qi-di),saao/sargonletters:P334646.9.3 (ap-ti-qi-di),saao/sargonletters:P313552.34.2 (ap-ti-qi-su),saao/sargonletters:P334442.6.2 (ap-ti-qi-su),saao/sargonletters:P314140.11.1 (ap-ti-qid),saao/sargonletters:P334721.3.5 (ap-ti-qid),saao/sargonletters:P314246.9.7 (ap-ti-qid-di),saao/sargonletters:P334606.24.1 (ap-ti-qid-di),saao/sargonletters:P334710.31.6 (ap-ti-qid-di),saao/sargonletters:P334693.16.4 (ap-ti-qid-su),saao/sargonletters:P334075.21.1 (ap-ti-qid-su-nu),saao/sargonletters:P334773.21.1 (ap-ti-qid-šu-nu),saao/sargonletters:P334076.11.1 (i-pa-qi-dak₃-ka),saao/sargonletters:P314043.4.6 (i-pa-qi₂-du),saao/sargonletters:P334360.6.4 (ip-qi-da-an-ni),saao/sargonletters:P313540.10.4 (ip-qi-da-ni-ni),saao/sargonletters:P313547.16.5 (ip-qi-du-ni),saao/sargonletters:P334076.15.1 (ip-ta-aq-da),saao/sargonletters:P313508.14.7 (ip-taq-da-an-ni),saao/sargonletters:P334205.9.1 (ip-taq-da-ni),saao/sargonletters:P313587.29.4 (ip-taq-du),saao/sargonletters:P314227.8.6 (ip-taq-du),saao/sargonletters:P334595.10.1 (ip-taq-du),saao/sargonletters:P334039.33.1 (ip-taq-du-ni),saao/sargonletters:P314278.6.4 (ip-taq-du-šu₂-nu),saao/sargonletters:P313472.37.5 (ip-ti-qi-su),saao/sargonletters:P314019.10.7 (ip-ti-qid),saao/sargonletters:P313629.17.1 (la-ap-qi-di),saao/sargonletters:P314022.5.4 (la-ap-qi-di),saao/sargonletters:P334284.25.3 (la-ap-qid),saao/sargonletters:P334284.28.3 (la-ap-qid),saao/sargonletters:P334824.10.1 (la-ap-qid),saao/sargonletters:P334372.33.3 (lip-qi-di),saao/sargonletters:P334394.16.1 (lip-qi-di),saao/sargonletters:P334396.25.3 (lip-qi-di),saao/sargonletters:P334610.13.1 (lip-qi-du),saao/sargonletters:P334075.8.1 (lip-qid-du),saao/sargonletters:P334807.22.1 (lip-qi₂-du),saao/sargonletters:P334731.42.4 (ni-pa-qi-di),saao/sargonletters:P334731.52.6 (ni-pa-qi-di),saao/sargonletters:P314242.17.1 (nu-pa-qid-u-ni),saao/sargonletters:P334151.12.2 (nu-up-ta-qid),saao/sargonletters:P334505.9.5 (pi-iq-da),saao/sargonletters:P334595.11.3 (pi-iq-da),saao/sargonletters:P224485.61.4 (pi-qid),saao/sargonletters:P334195.23.1 (pi-qid),saao/sargonletters:P334388.3.2 (pi-qid),saao/sargonletters:P334846.14.4 (pi-qid),saao/sargonletters:P334922.16.1 (ta-paq-qi-da-a-ni),saao/sargonletters:P313827.21.2 (up-ta-qid),saao/sargonletters:P313684.14.1 (u₂-ba-qi-du-ni),saao/sargonletters:P334555.18.4 (u₂-pa-qa-da-šu₂-nu)"
1659,parkullu[seal-cutter]N,akk.r018bf,saao/sargonletters:P313603.6.2 ({LU₂}BUR.GUL-MEŠ)
1660,parriṣu[criminal]N,akk.r018c0,"saao/sargonletters:P313548.32.5 ({LU₂}LUL-MEŠ),saao/sargonletters:P313965.4.4 ({LU₂}LUL-MEŠ),saao/sargonletters:P314238.10.1 ({LU₂}LUL-MEŠ),saao/sargonletters:P334279.43.4 ({LU₂}LUL-MEŠ),saao/sargonletters:P334279.50.4 ({LU₂}LUL-MEŠ),saao/sargonletters:P334412.11.1 ({LU₂}LUL-MEŠ),saao/sargonletters:P334412.22.1 ({LU₂}LUL-MEŠ),saao/sargonletters:P334279.60.3 ({LU₂}LUL-MEŠ-te),saao/sargonletters:P334540.14.2 ({LU₂}pa-ri-ṣu),saao/sargonletters:P334279.53.1 ({LU₂}pa-ri-ṣu-u-te),saao/sargonletters:P313491.32.2 ({LU₂}par-ri-ṣu),saao/sargonletters:P313491.37.2 ({LU₂}par-ri-ṣu),saao/sargonletters:P313853.8.2 ({LU₂}par-ri-ṣu),saao/sargonletters:P334152.18.1 ({LU₂}par-ri-ṣu),saao/sargonletters:P313470.9.3 ({LU₂}par-ri-ṣu-te),saao/sargonletters:P334771.29.6 ({LU₂}par-ri-ṣu-te),saao/sargonletters:P334703.13.2 ({LU₂}par-ri-ṣu-u₂-te)"
1661,parsu[cut off]AJ,akk.r018ca,saao/sargonletters:P313778.3.7 (pa-ri-iš-tu₂)
1662,parzillu[iron]N,akk.r018cb,"saao/sargonletters:P313425.23.3 (AN.BAR),saao/sargonletters:P313425.33.2 (AN.BAR),saao/sargonletters:P313452.43.6 (AN.BAR),saao/sargonletters:P313575.29.2 (AN.BAR),saao/sargonletters:P313723.19.4 (AN.BAR),saao/sargonletters:P334040.11.6 (AN.BAR),saao/sargonletters:P334100.7.4 (AN.BAR),saao/sargonletters:P334198.23.4 (AN.BAR),saao/sargonletters:P334388.23.3 (AN.BAR),saao/sargonletters:P334687.24.2 (AN.BAR),saao/sargonletters:P334781.14.5 (AN.BAR),saao/sargonletters:P334810.9.4 (AN.BAR),saao/sargonletters:P334100.26.2 (AN.BAR-e),saao/sargonletters:P334100.8.3 (AN.BAR-e-šu₂)"
1663,parāku[lie across]V,akk.r018d1,"saao/sargonletters:P334781.11.5 (ap-ti-rik),saao/sargonletters:P334372.21.3 (i-pa-ri-ki)"
1664,parāsu[cut (off)]V,akk.r018d4,"saao/sargonletters:P334333.42.3 (ap-ta-ra-as),saao/sargonletters:P334143.55.6 (lap-ru-us),saao/sargonletters:P334731.45.2 (li-ip-ru-su),saao/sargonletters:P334825.37.3 (li-ip-ru-su),saao/sargonletters:P314257.23.1 (li-ip-ru-us),saao/sargonletters:P334771.13.6 (lip-ru-su),saao/sargonletters:P334114.32.1 (lip-ru-us),saao/sargonletters:P334114.47.3 (lip-ru-us),saao/sargonletters:P334613.21.3 (lip-ru-us),saao/sargonletters:P334778.8.4 (pa-ra-si),saao/sargonletters:P334917.19.3 (pa-ri-si),saao/sargonletters:P313543.21.3 (par-ri-is)"
1665,parāzu[(meaning unknown)]V,akk.r018e2,saao/sargonletters:P313892.17.8 (pa-ra-zi)
1666,parāʾu[sprout]V,akk.r018e3,saao/sargonletters:P334076.37.2 (pu-ru-uʾ)
1667,passuku[clear (away)]V,akk.r018e4,"saao/sargonletters:P334212.6.1 (nu-up-ta-si-ik),saao/sargonletters:P334439.20.2 (u₂-pa-sa-ak),saao/sargonletters:P334439.26.2 (u₂-pa-sa-ak),saao/sargonletters:P334344.37.4 (u₂-pa-su-ku),saao/sargonletters:P334439.23.2 (u₂-pa-su-ku)"
1668,passuku[removed]AJ,akk.r018e9,"saao/sargonletters:P313655.4.5 (pa-su-ku),saao/sargonletters:P334344.39.4 (pa-su-ku)"
1669,patiu[distant]AJ,akk.r018ea,"saao/sargonletters:P313571.12.2 (pa-ti-u-te),saao/sargonletters:P313571.24.2 (pa-ti-u-te),saao/sargonletters:P313820.7.4 (pa-ti-u₂-te)"
1670,patru[sword]N,akk.r018ed,"saao/sargonletters:P334090.19.3 (GIR₂),saao/sargonletters:P334198.23.3 (GIR₂),saao/sargonletters:P313723.19.3 (GIR₂-MEŠ),saao/sargonletters:P334693.13.6 (GIR₂.AN.BAR)"
1671,pattû[open(ed)]AJ,akk.r018f3,"saao/sargonletters:P334836.9.3 (pa-a-tu),saao/sargonletters:P313518.9.1 (pa-tu-i),saao/sargonletters:P334446.18.2 (pa-tu-u-ni),saao/sargonletters:P334836.11.1 (pa-tu-u₂),saao/sargonletters:P334441.12.2 (pat-tu-u-ni)"
1672,pazāru[hide o.s.]V,akk.r018fb,"saao/sargonletters:P313516.53.7 (up-ta-zi-ir),saao/sargonletters:P334671.28.1 (up-ta-zir-šu₂),saao/sargonletters:P334205.12.6 (u₂-ba-zar),saao/sargonletters:P313516.10.1 (u₂-pa-za-ar),saao/sargonletters:P313481.14.5 (u₂-pa-za-ru-ni)"
1673,pašāhu[cool down]V,akk.r01901,"saao/sargonletters:P334137.23.1 (lip-šu-hu),saao/sargonletters:P314011.16.2 (pa-ša₂-hu)"
1674,pašāru[release]V,akk.r01904,saao/sargonletters:P224485.19.5 (ip-pa-šar)
1675,paššuru[table]N,akk.r01905,"saao/sargonletters:P313686.4.5 (BANŠUR),saao/sargonletters:P334864.9.3 ({GIŠ}BANŠUR-MEŠ)"
1676,paʾāṣu[break up]V,akk.r01908,"saao/sargonletters:P314127.4.3 (ip-ta-ṣu),saao/sargonletters:P334442.25.4 (up-ta-a.a-ṣi),saao/sargonletters:P334903.14.3 (up-ta-ii-iṣ),saao/sargonletters:P334825.32.4 (u₂-pa-ṣu-ni)"
1677,paṣṣu[absent]AJ,akk.r0190f,saao/sargonletters:P313445.10.7 (pa-a-ṣa)
1678,paṭāru[loosen]V,akk.r01910,"saao/sargonletters:P334565.15.2 (a-paṭ-ṭar),saao/sargonletters:P313541.17.2 (i-ba-ṭar-šu₂),saao/sargonletters:P334609.23.6 (i-pa-ṭar),saao/sargonletters:P334610.9.2 (i-pa-ṭar-u-ni),saao/sargonletters:P334047.28.1 (ip-ta-ṭar-šu₂),saao/sargonletters:P334100.9.1 (li-ip-ṭu-ru),saao/sargonletters:P334093.28.1 (li-ip-ṭu-ur-u-ni),saao/sargonletters:P334179.12.2 (pa-ṭi-ir),saao/sargonletters:P334040.27.2 (pa-ṭi₂-ir),saao/sargonletters:X900012.8.4 (pa-ṭu-ru-ni),saao/sargonletters:P313541.12.4 (pu-ṭu-ur-šu₂),saao/sargonletters:P313504.55.1 (up-ta-ṭi-ir),saao/sargonletters:P334040.16.1 (u₂-pa-ṭar),saao/sargonletters:P334794.13.1 (u₂-pa-ṭar)"
1679,paṭīru[portable altar]N,akk.r01923,"saao/sargonletters:P334093.23.1 (pa-ṭi-ra-a-te),saao/sargonletters:P334113.30.4 ({GI}DU₈-MEŠ),saao/sargonletters:P334113.34.1 ({GI}DU₈-MEŠ)"
1680,perku[injustice]N,akk.r01926,saao/sargonletters:P334080.24.2 (pir-ku)
1681,perru[corps]N,akk.r01927,"saao/sargonletters:P313551.9.2 (pi-ri),saao/sargonletters:P334046.15.2 (pi-ri),saao/sargonletters:P334308.14.3 ({LU₂}EN-pir-ri)"
1682,petû[open]AJ,akk.r01929,saao/sargonletters:P334263.15.3 (pa-te)
1683,petû[open]V,akk.r0192a,"saao/sargonletters:P314246.14.9 (ap-ti-ti),saao/sargonletters:P334598.29.1 (i-pat-ti-u),saao/sargonletters:P334715.14.2 (ip-te-te),saao/sargonletters:P314249.20.2 (ip-ti),saao/sargonletters:P336768.14.1 (ip-ti-ti),saao/sargonletters:P334496.34.2 (ip-ti-u₂-ni),saao/sargonletters:P334143.51.3 (lu-pa-ti-u₂),saao/sargonletters:P313640.8.5 (ni-ip-te-te),saao/sargonletters:P314327.3.2 (ni-ip-ti),saao/sargonletters:P334344.41.2 (ni-ip-ti),saao/sargonletters:P334344.45.1 (ni-ip-ti),saao/sargonletters:P334344.43.1 (ni-pat-ti),saao/sargonletters:X900015.9.2 (ni-pat-ti),saao/sargonletters:P313742.27.2 (nu-pat-ta),saao/sargonletters:P313452.24.4 (ta-ap-te-e),saao/sargonletters:P334715.20.1 (ta-ap-ti),saao/sargonletters:P334903.8.1 (tu-up-ta-ti-šu),saao/sargonletters:P314188.8.3 (up-ta-at-ti),saao/sargonletters:P314227.10.4 (up-ta-at-ti-iu-u),saao/sargonletters:P314227.7.5 (up-ta-at-ti-iu-u),saao/sargonletters:P334693.10.1 (up-ta-at-ti-šu₂),saao/sargonletters:P334715.36.2 (up-ta-te),saao/sargonletters:P313643.12.5 (u₂-pa-ti),saao/sargonletters:P334903.10.2 (u₂-pat-ti-šu),saao/sargonletters:P334083.16.1 (u₂-sa-ap-ti-u-ni)"
1684,pilku[demarcated zone]N,akk.r01942,"saao/sargonletters:P334903.22.3 (pi-il-ka-ku-nu),saao/sargonletters:P334903.21.1 (pi-il-ka-šu-nu),saao/sargonletters:P313844.4.2 (pi-il-ki-ia),saao/sargonletters:P313762.8.4 (pi-il-ki-šu₂-nu),saao/sargonletters:P313806.12.3 (pi-il-ku),saao/sargonletters:P313806.7.1 (pi-il-ku),saao/sargonletters:P313952.16.1 (pi-il-ku),saao/sargonletters:P314243.6.3 (pi-il-ku),saao/sargonletters:P334344.29.1 (pi-il-ku),saao/sargonletters:P334344.36.2 (pil-ka-šu₂-u-nu),saao/sargonletters:P313448.11.3 (pil-ki),saao/sargonletters:P313448.24.3 (pil-ki),saao/sargonletters:P314243.4.6 (pil-ki),saao/sargonletters:P313476.17.2 (pil-ki-šu₂),saao/sargonletters:P314312.3.2 (pil-ku),saao/sargonletters:P313448.7.3 (pil-ku-šu₂-nu),saao/sargonletters:P334776.18.2 (pil₂-il-ki-šu₂-nu),saao/sargonletters:P334333.12.3 (pil₂-ka-ni-ni),saao/sargonletters:P334333.5.3 (pil₂-ki),saao/sargonletters:P334333.21.1 (pil₂-ki-šu₂),saao/sargonletters:P334333.25.1 (pil₂-ki-šu₂),saao/sargonletters:P334910.37.2 (pil₂-ki-šu₂),saao/sargonletters:P334333.40.2 (pil₂-ku),saao/sargonletters:X900012.35.7 (pil₂-ku),saao/sargonletters:X900012.36.3 (pil₂-ku),saao/sargonletters:P334333.36.4 (pil₂-ku-šu₂),saao/sargonletters:P334333.43.2 (pil₂-ku-šu₂),saao/sargonletters:X900012.34.3 (pil₂-ku-šu₂),saao/sargonletters:P334040.15.3 ({LU₂}GAL-pil₂-ka-ni),saao/sargonletters:P334040.26.3 ({LU₂}GAL-pil₂-ka-ni)"
1685,piqittu[allocation]N,akk.r0195b,"saao/sargonletters:P334789.11.1 (EN-pi-qi-ta-te),saao/sargonletters:P313541.11.1 (EN-pi-qi-ti),saao/sargonletters:P334421.26.5 (EN-pi-qit-ti),saao/sargonletters:P334258.12.3 (pi-qi-te-ia),saao/sargonletters:P334679.6.1 (pi-qi-tu₂),saao/sargonletters:P314257.9.2 (pi-qit-te),saao/sargonletters:P334193.8.3 (pi-qit-ti),saao/sargonletters:P334403.29.1 (pi-qit-ti),saao/sargonletters:P334051.18.5 (pi-qit-tu₂),saao/sargonletters:P313961.9.5 ({LU₂}EN-pi-qi-ta-te),saao/sargonletters:P314260.3.6 ({LU₂}EN-pi-qi-ta-te),saao/sargonletters:P313516.47.2 ({LU₂}EN-pi-qi-ta-ti),saao/sargonletters:P313629.16.2 ({LU₂}EN-pi-qi-ta-ti),saao/sargonletters:P313762.5.5 ({LU₂}EN-pi-qi-te),saao/sargonletters:P314275.11.1 ({LU₂}EN-pi-qi-te),saao/sargonletters:P334895.7.2 ({LU₂}EN-pi-qi-te-ka),saao/sargonletters:P334394.11.1 ({LU₂}EN-pi-qit-ta-te-ia),saao/sargonletters:P334865.6.2 ({LU₂}EN-pi-qit-ta-ti),saao/sargonletters:P313871.4.3 ({LU₂}EN-pi-qit-te),saao/sargonletters:P314140.10.1 ({LU₂}EN-pi-qit-te),saao/sargonletters:P313576.19.4 ({LU₂}EN-pi-qit-te-ia),saao/sargonletters:P313576.24.5 ({LU₂}EN-pi-qit-te-ia),saao/sargonletters:P334606.20.4 ({LU₂}EN-pi-qit-te-ia),saao/sargonletters:P334394.8.1 ({LU₂}EN-pi-qit-te-ka-a),saao/sargonletters:P313476.33.2 ({LU₂}EN-pi-qit-ti),saao/sargonletters:P313552.28.2 ({LU₂}EN-pi-qit-ti-ia),saao/sargonletters:P313472.12.4 ({LU₂}pi-qi₂-ti)"
