,a,b,break,f,file,form,frag,line_label,m,sign_loc_id,text_id,sign_form,mods_str,str_part,num_part
142554,,ta,damaged,tm,P334831.json,ta-ka-la-ši,⸢ta\tm⸣-ka-la-⸢ši⸣,o 5',,P334831.7.1.0,P334831,TA,.tm.,ta,1
142580,,da,damaged,d,P334831.json,u₂-ra-da,u₂-ra-⸢da\d⸣,o 7',,P334831.9.5.2,P334831,DA,.d.,da,1
142637,,da,damaged,d,P334831.json,x-da-aʾ,x]-⸢da\d⸣-aʾ,r 1',,P334831.19.3.1,P334831,DA,.d.,da,1
142691,,na,damaged,t,P334831.json,pa-na-tu-šu₂-nu,pa-⸢na\t⸣-tu-šu₂-nu,r 7',,P334831.25.3.1,P334831,NA,.t.,na,1
142784,v,LU₂,missing,,P334834.json,{LU₂}e-mu-qi-šu₂-nu,{[lu₂v}e-mu]-qi-šu₂-nu,o 3',,P334834.5.1.0,P334834,LU₂,v..,LU,2
142815,,ra,damaged,t,P334834.json,a-sap-ra,a-sap-⸢ra\t⸣,o 4',,P334834.6.6.2,P334834,RA,.t.,ra,1
143140,,ša,damaged,d,P334834.json,ša,⸢ša\d⸣,r 13',,P334834.32.4.0,P334834,ŠA,.d.,ša,1
143215,v,LU₂,missing,,P334835.json,{LU₂}EN—URU-MEŠ,{lu₂v]}EN—URU-⸢MEŠ⸣,o 2',,P334835.4.5.0,P334835,LU₂,v..,LU,2
143219,v,LU₂,missing,,P334835.json,{LU₂}EN—URU-MEŠ,{lu₂v]}EN—URU-⸢MEŠ⸣,o 2',,P334835.4.5.0,P334835,LU₂,v..,LU,2
143507,v,LU₂,missing,,P334837.json,{LU₂}A—KIN-e-šu₂,{lu₂v]}A—KIN-e-šu₂,o 10',,P334837.12.5.0,P334837,LU₂,v..,LU,2
143512,v,LU₂,missing,,P334837.json,{LU₂}A—KIN-e-šu₂,{lu₂v]}A—KIN-e-šu₂,o 10',,P334837.12.5.0,P334837,LU₂,v..,LU,2
143604,v,LU₂,missing,,P334837.json,{LU₂}A—KIN-e-a,{[lu₂v}A—KIN-e-a,r 5,,P334837.25.1.0,P334837,LU₂,v..,LU,2
143609,v,LU₂,missing,,P334837.json,{LU₂}A—KIN-e-a,{[lu₂v}A—KIN-e-a,r 5,,P334837.25.1.0,P334837,LU₂,v..,LU,2
143741,v,LU₂,missing,,P334839.json,{LU₂}GAL-MEŠ-šu₂,{[lu₂v}GAL-MEŠ-šu₂],o 8,,P334839.9.3.0,P334839,LU₂,v..,LU,2
144036,,šar,damaged,p,P334846.json,a-ta-šar-šu₂-nu,a-ta-⸢šar\p⸣-[šu₂-nu],o 14,,P334846.15.2.2,P334846,SAR,.p.,šar,1
144059,v,LU₂,missing,,P334847.json,{LU₂}EN.NAM,{lu₂v}EN.NAM,o 1,,P334847.2.2.0,P334847,LU₂,v..,LU,2
144200,v,LU₂,missing,,P334847.json,{LU₂}ARAD-ka,{lu₂v]}ARAD-ka\d,o 12,,P334847.13.5.0,P334847,LU₂,v..,LU,2
144575,v,LU₂,missing,,P334847.json,{LU₂}ša-{GIŠ}a-ri-ti,{lu₂v]}⸢ša⸣—{giš}a-ri-ti\t,r 12,,P334847.46.6.0,P334847,LU₂,v..,LU,2
144615,v,LU₂,missing,,P334847.json,{LU₂}EN.NAM,{lu₂v]}EN.NAM,r 15,,P334847.49.6.0,P334847,LU₂,v..,LU,2
144887,,ti,damaged,t,P334849.json,an-nu-ti,an-nu-⸢ti\t⸣,o 8',,P334849.10.2.2,P334849,TI,.t.,ti,1
145211,,ša,damaged,m,P334857.json,ša,⸢ša\m⸣,r 1',,P334857.19.7.0,P334857,ŠA,.m.,ša,1
145294,v,LU₂,missing,,P334858.json,{LU₂}x,{lu₂v}x,o 4,,P334858.5.3.0,P334858,LU₂,v..,LU,2
145458,,lak,damaged,y,P334858.json,x-lak,x]-⸢lak\y⸣,r 4',,P334858.18.8.1,P334858,ŠID,.y.,lak,1
145834,,TA,missing,,P334864.json,TA@v,TA@v,o 2',v,P334864.4.4.0,P334864,TA,..v,TA,1
146027,v,LU₂,missing,,P334864.json,{LU₂}ERIM-MEŠ,{lu₂v]}ERIM-MEŠ,r 4,,P334864.21.6.0,P334864,LU₂,v..,LU,2
146041,v,LU₂,missing,,P334864.json,{LU₂}EN.NAM,{lu₂v}EN.NAM],r 5,,P334864.22.6.0,P334864,LU₂,v..,LU,2
146044,,ša,damaged,y,P334864.json,ša,⸢ša\y⸣,r 5,,P334864.22.7.0,P334864,ŠA,.y.,ša,1
146534,v,LU₂,missing,,P334890.json,{LU₂}ERIM—MAN-ia,{lu₂v}ERIM]—MAN-ia,r 10',,P334890.13.2.0,P334890,LU₂,v..,LU,2
146538,v,LU₂,missing,,P334890.json,{LU₂}ERIM—MAN-ia,{lu₂v}ERIM]—MAN-ia,r 10',,P334890.13.2.0,P334890,LU₂,v..,LU,2
146950,v,LU₂,damaged,,P334895.json,{LU₂}x+x,{lu₂v}x⸣+[x,o 1',,P334895.3.3.0,P334895,LU₂,v..,LU,2
147442,,dul,damaged,d,P334903.json,dul-lum,⸢dul\d⸣-[lum,r 3',,P334903.31.1.0,P334903,|U.TUG₂|,.d.,dul,1
147457,,dul,damaged,d,P334903.json,dul-lum,⸢dul\d⸣-[lum,r 4',,P334903.32.1.0,P334903,|U.TUG₂|,.d.,dul,1
147494,v,LU₂,damaged,,P334903.json,{LU₂}GAL-ki-ṣir,{⸢lu₂v⸣}GAL—ki-ṣir,r.e. 7,,P334903.36.1.0,P334903,LU₂,v..,LU,2
147828,v,LU₂,missing,,P334905.json,{LU₂}pu-qu-da-a.a,{lu₂v]}pu-qu-da-a.a,r 4,,P334905.16.2.0,P334905,LU₂,v..,LU,2
148058,,BAD₃,damaged,m,P334910.json,{URU}BAD₃-{1}MAN—GIN,{uru}⸢BAD₃\m⸣—{1}MAN—GIN],o 5,,P334910.6.5.1,P334910,|EZEN×BAD|,.m.,BAD,3
148216,,ba,damaged,t,P334910.json,i-ba-aš₂-ši,i-⸢ba\t⸣-[aš₂-ši],r 5,,P334910.28.3.1,P334910,BA,.t.,ba,1
148298,v,LU₂,damaged,y,P334912.json,{LU₂}GAL-x-x+x,{⸢lu₂vy}GAL—x-x⸣+[x,o 1',,P334912.3.1.0,P334912,LU₂,v.y.,LU,2
148710,v,LU₂,missing,,P334917.json,{LU₂}ERIM-MEŠ,{lu₂v]}ERIM-MEŠ,o 8',,P334917.10.2.0,P334917,LU₂,v..,LU,2
148825,v,LU₂,missing,,P334917.json,{LU₂}EN—KUR₂-MEŠ-ka,{[lu₂v}EN—KUR₂-MEŠ]-⸢ka⸣,o 16',,P334917.18.4.0,P334917,LU₂,v..,LU,2
148830,v,LU₂,missing,,P334917.json,{LU₂}EN—KUR₂-MEŠ-ka,{[lu₂v}EN—KUR₂-MEŠ]-⸢ka⸣,o 16',,P334917.18.4.0,P334917,LU₂,v..,LU,2
148976,v,LU₂,damaged,,P334917.json,{LU₂}ma-ta-a.a,{⸢lu₂v⸣}ma-ta-a.a,r 5,,P334917.31.1.0,P334917,LU₂,v..,LU,2
149044,,TA,damaged,,P334917.json,TA@v,⸢TA@v⸣,r 9,v,P334917.35.3.0,P334917,TA,..v,TA,1
149910,v,LU₂,missing,,P334922.json,{LU₂}EN—URU-u₂-ti,{lu₂v}EN—URU-u₂-ti],r 4',,P334922.15.4.0,P334922,LU₂,v..,LU,2
149915,v,LU₂,missing,,P334922.json,{LU₂}EN—URU-u₂-ti,{lu₂v}EN—URU-u₂-ti],r 4',,P334922.15.4.0,P334922,LU₂,v..,LU,2
150021,,ša,damaged,dm,P334923.json,ša,⸢ša\dm⸣,o 4,,P334923.5.1.0,P334923,ŠA,.dm.,ša,1
150060,v,LU₂,damaged,,P336166.json,{LU₂}EN.NAM,{⸢lu₂v⸣}EN.NAM,o 1,,P336166.2.2.0,P336166,LU₂,v..,LU,2
150140,,ku,damaged,y,P336166.json,i-tal-ku,⸢i-tal-ku\y⸣,r.e. 4,,P336166.16.3.2,P336166,KU,.y.,ku,1
150512,,LUGAL,damaged,d,P336169.json,LUGAL,LUGAL\d⸣,o 1,,P336169.2.2.0,P336169,LUGAL,.d.,LUGAL,1
150561,,BAD₃,damaged,m,P336169.json,{URU}BAD₃—MAN—GIN,{uru}⸢BAD₃\m⸣—[MAN—GIN],o 7,,P336169.8.4.1,P336169,|EZEN×BAD|,.m.,BAD,3
150686,,na,damaged,t,P336170.json,a-na,a-⸢na\t⸣,o 4,,P336170.5.2.1,P336170,NA,.t.,na,1
150688,,ša,missing,dm,P336170.json,ša,ša\dm,o 4,,P336170.5.4.0,P336170,ŠA,.dm.,ša,1
150703,,ša,damaged,dm,P336170.json,ša,⸢ša\dm⸣,o 6,,P336170.7.4.0,P336170,ŠA,.dm.,ša,1
150746,v,LU₂,damaged,,P336170.json,{LU₂}x,{⸢lu₂v⸣}[x,r 1',,P336170.15.5.0,P336170,LU₂,v..,LU,2
150867,,li,damaged,d,P336170.json,li-iš-pa-ru-u-ni,⸢li\d⸣-iš\t-pa-ru-u-ni,e. 2',,P336170.29.5.0,P336170,LI,.d.,li,1
151102,v,LU₂,missing,,P336596.json,{LU₂}KAB.SAR-MEŠ,{lu₂v]}KAB.SAR-⸢MEŠ⸣,o 4,,P336596.5.3.0,P336596,LU₂,v..,LU,2
151119,,li₂,damaged,d,P336596.json,be-li₂,be-⸢li₂\d⸣,o 6,,P336596.7.4.1,P336596,NI,.d.,li,2
151219,,TA,missing,,P336635.json,TA@v,TA@v,o 3',v,P336635.5.3.0,P336635,TA,..v,TA,1
151783,,ta,damaged,p,P336774.json,a-ta-a,a-⸢ta\p⸣-[a,5,,P336774.5.2.1,P336774,TA,.p.,ta,1
152227,,TA,damaged,m,P337150.json,TA@v,⸢TA@v\m⸣,r 16,v,P337150.38.1.0,P337150,TA,.m.v,TA,1
152504,v,LU₂,missing,,P393855.json,{LU₂}EN.NAM,{[lu₂v]}⸢EN⸣.NAM,r 3,,P393855.23.1.0,P393855,LU₂,v..,LU,2
152515,,ša,damaged,m,P393855.json,ša,⸢ša\m⸣,r 5,,P393855.25.1.0,P393855,ŠA,.m.,ša,1
152904,v,LU₂,missing,,X900004.json,{LU₂}qur-bu-ti,{[lu₂v]}⸢qur⸣-bu-ti,r 5,,X900004.24.2.0,X900004,LU₂,v..,LU,2
152982,,na,damaged,t,X900005.json,a-na,⸢a-na\t,o 3,,X900005.4.3.1,X900005,NA,.t.,na,1
153009,v,LU₂,damaged,,X900005.json,{LU₂}hu-ub-te,{⸢lu₂v⸣}hu-ub-⸢te,o 7,,X900005.8.1.0,X900005,LU₂,v..,LU,2
153014,,TA,damaged,m,X900005.json,TA@v,TA@v\m⸣,o 7,v,X900005.8.3.0,X900005,TA,.m.v,TA,1
153064,v,LU₂,missing,,X900005.json,{LU₂}hu-ub-te,{[lu₂v]}⸢hu⸣-ub-te,o 14,,X900005.15.1.0,X900005,LU₂,v..,LU,2
153221,,MEŠ,damaged,m,X900005.json,{GIŠ}GIGIR-MEŠ,{giš}⸢GIGIR-MEŠ\m⸣,r 37,,X900005.41.1.2,X900005,|ME.U.U.U|,.m.,MEŠ,1
153325,,na,damaged,t,X900007.json,a-na,a-⸢na\t⸣,o 3,,X900007.4.3.1,X900007,NA,.t.,na,1
153348,,ša,damaged,ty,X900007.json,ša,⸢ša\ty⸣,o 5,,X900007.6.1.0,X900007,ŠA,.ty.,ša,1
153370,,ša,damaged,dm,X900007.json,ša,⸢ša\dm⸣,o 7,,X900007.8.1.0,X900007,ŠA,.dm.,ša,1
153394,v,LU₂,damaged,y,X900007.json,{LU₂}DUMU—KIN-ia,{⸢lu₂vy}DUMU⸣—KIN-⸢ia⸣,o 9,,X900007.10.3.0,X900007,LU₂,v.y.,LU,2
153398,v,LU₂,damaged,y,X900007.json,{LU₂}DUMU—KIN-ia,{⸢lu₂vy}DUMU⸣—KIN-⸢ia⸣,o 9,,X900007.10.3.0,X900007,LU₂,v.y.,LU,2
153466,,ru,damaged,d,X900007.json,ut-ru,ut-⸢ru\d⸣,o 16,,X900007.17.2.1,X900007,RU,.d.,ru,1
153544,,NUMUN,damaged,d,X900007.json,{ŠE}NUMUN-MEŠ,{še}⸢NUMUN\d⸣-[MEŠ],r 26,,X900007.30.4.1,X900007,KUL,.d.,NUMUN,1
153613,,ša,damaged,ydm,X900007.json,ša,⸢ša\ydm⸣,r 34,,X900007.38.1.0,X900007,ŠA,.ydm.,ša,1
153878,,su,damaged,y,X900008.json,ki-su-tu₂,⸢ki-su\y⸣-tu₂,r 22,,X900008.25.3.1,X900008,SU,.y.,su,1
154088,,ša,damaged,m,X900009.json,ša,⸢ša\m⸣,o 8,,X900009.9.6.0,X900009,ŠA,.m.,ša,1
154140,v,LU₂,missing,,X900009.json,{LU₂}GAL-MEŠ-šu₂,{[lu₂v}GAL-MEŠ-šu₂,o 12,,X900009.13.1.0,X900009,LU₂,v..,LU,2
154159,,TA,damaged,m,X900009.json,TA@v,⸢TA@v\m⸣,o 13,v,X900009.14.4.0,X900009,TA,.m.v,TA,1
154231,v,LU₂,missing,,X900009.json,{LU₂}MAH,{lu₂v]}⸢MAH⸣,o 19,,X900009.20.3.0,X900009,LU₂,v..,LU,2
154388,,u₂,damaged,p,X900009.json,x-u₂-te,x]-⸢u₂\p⸣-te,r 8',,X900009.36.6.1,X900009,U₂,.p.,u,2
154434,v,LU₂,damaged,,X900009.json,{LU₂}EN.NAM,{⸢lu₂v⸣}EN.NAM,r 12',,X900009.40.6.0,X900009,LU₂,v..,LU,2
154445,v,LU₂,missing,,X900009.json,{LU₂}EN.NAM,{lu₂v]}⸢EN⸣.NAM,r 13',,X900009.41.5.0,X900009,LU₂,v..,LU,2
154589,,MEŠ,damaged,m,X900010.json,ERIM-MEŠ,ERIM-⸢MEŠ\m⸣,o 12,,X900010.13.5.1,X900010,|ME.U.U.U|,.m.,MEŠ,1
154864,v,LU₂,damaged,y,X900011.json,{LU₂}GAL-ki-ṣir,{⸢lu₂vy}GAL—ki⸣-ṣir\p,o 16,,X900011.17.1.0,X900011,LU₂,v.y.,LU,2
155231,v,LU₂,missing,,X900012.json,{LU₂}ERIM-MEŠ-šu₂-nu,{lu₂v}ERIM]-MEŠ-šu₂-nu,o 17',,X900012.19.5.0,X900012,LU₂,v..,LU,2
155248,,TA,damaged,,X900012.json,TA@v,⸢TA@v⸣,o 18',v,X900012.20.7.0,X900012,TA,..v,TA,1
155926,v,LU₂,damaged,,X900014.json,{LU₂}MAH,{⸢lu₂v}MAH⸣,r 14,,X900014.47.5.0,X900014,LU₂,v..,LU,2
