dossier_nocertain,BA:..,BA:.t.,BU:..,BU:.p.,DA:..,DA:.d.,DI:..,DI:.d.,LI:..,LI:.d.,LU₂:v..,LU₂:v.y.,NA:..,NA:.t.,NI:..,NI:.d.,SU:..,SU:.t.,TI:..,TI:.t.,U₂:..,U₂:.m.,|ME.U.U.U|:..,|ME.U.U.U|:.m.,ŠA:..,ŠA:.dm.,ia,ia₂,li,li₂,ša,ša₂,šu,šu₂,tu,tu₂,u,u₂,bēlu[lord]N:bēlī:be-li₂,bēlu[lord]N:bēlī:EN,bēlu[lord]N:bēlīya:EN-ia,bēlu[lord]N:bēlīya:be-li₂-ia,libbu[interior]N:libbi:ŠA₃,libbu[interior]N:libbi:ŠA₃-bi,lā[not]MOD:lā:la,lā[not]MOD:lā:la-a,lū[may]MOD:lū:lu,lū[may]MOD:lū:lu-u,mā[saying]PRP:mā:ma,mā[saying]PRP:mā:ma-a,muhhu[skull]N:muhhi:UGU,muhhu[skull]N:muhhi:UGU-hi,pānu[front]N:pān:IGI,pānu[front]N:pān:pa-an,šulmu[completeness]N:šulmu:DI-mu,šulmu[completeness]N:šulmu:šul-mu
SAA05.10.02,1.0,1.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,1.0,7.0,9.0,10.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,5.0,1.0,1.0,0.0,10.0,1.0,1.0,0.0,7.0,4.0,3.0,8.0,4.0,2.0,8.0,11.0,0.0,3.0,7.0,0.0,3.0,2.0,2.0,2.0,0.0,5.0,1.0,8.0,1.0,0.0,1.0,0.0,2.0,2.0
SAA05.10.03,1.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
SAA05.10.04,3.0,2.0,7.0,0.0,1.0,1.0,17.0,0.0,4.0,6.0,7.0,31.0,35.0,0.0,48.0,1.0,1.0,5.0,5.0,7.0,13.0,5.0,8.0,25.0,5.0,1.0,30.0,4.0,10.0,0.0,41.0,11.0,8.0,25.0,3.0,7.0,27.0,21.0,0.0,9.0,14.0,0.0,2.0,8.0,7.0,2.0,4.0,3.0,0.0,28.0,13.0,0.0,0.0,3.0,7.0,0.0
SAA05.10.05,0.0,2.0,4.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,4.0,0.0,3.0,0.0,21.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,6.0,4.0,0.0,2.0,6.0,0.0,2.0,10.0,1.0,5.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,7.0,6.0,0.0,0.0,1.0,1.0,0.0
SAA05.11.01,1.0,3.0,6.0,1.0,4.0,1.0,11.0,2.0,11.0,3.0,4.0,14.0,21.0,0.0,49.0,0.0,0.0,6.0,1.0,10.0,25.0,1.0,15.0,0.0,9.0,1.0,13.0,3.0,19.0,12.0,30.0,5.0,3.0,14.0,4.0,7.0,22.0,32.0,12.0,0.0,10.0,0.0,2.0,5.0,4.0,0.0,5.0,2.0,2.0,9.0,7.0,0.0,5.0,0.0,3.0,0.0
SAA05.12.01,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,11.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,0.0
SAA05.12.02,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,5.0,1.0,0.0,4.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0
SAA05.12.03,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
SAA05.12.04,1.0,0.0,4.0,0.0,4.0,2.0,1.0,1.0,4.0,0.0,0.0,6.0,5.0,1.0,15.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,4.0,0.0,1.0,4.0,13.0,0.0,4.0,0.0,8.0,0.0,1.0,5.0,0.0,0.0,1.0,6.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
SAA05.12.05,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
