	decel	diff	dist	group	group_len	k	sil_score
862	0.19881521485110065	-0.012035630324504165	2.829633924522192	['li', 'li₂', 'u', 'u₂']	4	30	0.6087791152407029
863	-0.13305640459588108	-0.14509203492038525	2.6845418896018067	['li', 'li₂', 'u', 'u₂']	4	31	0.6237838446606555
864	-0.07011747759052556	-0.2152095125109108	2.469332377090896	['li', 'li₂', 'u', 'u₂']	4	32	0.6331543398774219
865	0.17236158686446412	-0.04284792564644668	2.4264844514444492	['li', 'li₂', 'u', 'u₂']	4	33	0.6332569486820679
866	-0.06470047569210413	-0.10754840133855081	2.3189360501058984	['li', 'li₂', 'u', 'u₂']	4	34	0.6379396771187114
867	-0.07362577959269956	-0.18117418093125037	2.137761869174648	['li', 'li₂', 'u', 'u₂']	4	35	0.6472051436359969
868	0.1963700546986904	0.015195873767440027	2.152957742942088	['li', 'li₂', 'u', 'u₂']	4	36	0.6392742718194725
869	-0.11268959523504307	-0.09749372146760305	2.055464021474485	['li', 'li₂', 'u', 'u₂']	4	37	0.6501330451852697
870	0.03398428981795987	-0.06350943164964318	1.9919545898248419	['li', 'li₂', 'u', 'u₂']	4	38	0.6468149778043776
871	-0.07474512611682615	-0.13825455776646933	1.8537000320583725	['li', 'li₂', 'u', 'u₂']	4	39	0.6626854416543739
872	0.05375111062717375	-0.08450344713929558	1.769196584919077	['li', 'li₂', 'u', 'u₂']	4	40	0.6685457183992138
873	0.07963464242966256	-0.004868804709633023	1.764327780209444	['li', 'li₂', 'u', 'u₂']	4	41	0.6598127810019245
874	-0.13496501812494888	-0.1398338228345819	1.624493957374862	['li', 'li₂', 'u', 'u₂']	4	42	0.6765972191011119
875	0.12092377672107446	-0.01891004611350744	1.6055839112613546	['li', 'li₂', 'u', 'u₂']	4	43	0.6667201030726533
876	-0.00754672943204171	-0.02645677554554915	1.5791271357158054	['li', 'li₂', 'u', 'u₂']	4	44	0.6785827144178477
877	-0.09078359624658017	-0.11724037179212932	1.4618867639236761	['li', 'li₂', 'u', 'u₂']	4	45	0.6865072147394131
878	0.10477766661064147	-0.012462705181487843	1.4494240587421883	['li', 'li₂', 'u', 'u₂']	4	46	0.6878282694655015
879	-0.0937339935723831	-0.10619669875387094	1.3432273599883173	['li', 'li₂', 'u', 'u₂']	4	47	0.7006518865217511
880	0.08428090933846466	-0.021915789415406284	1.321311570572911	['li', 'li₂', 'u', 'u₂']	4	48	0.6973060347860607
881	-0.01532167835640541	-0.037237467771811694	1.2840741028010993	['li', 'li₂', 'u', 'u₂']	4	49	0.6948367367407617
882	0.0	0.0	162.52535645622453	['ia', 'ia₂', 'li', 'li₂', 'u', 'u₂']	6	1	
883	0.0	-43.995903943496074	118.52945251272845	['ia', 'ia₂', 'li', 'li₂', 'u', 'u₂']	6	2	0.27558826450358015
884	19.213324560671026	-24.78257938282505	93.7468731299034	['ia', 'ia₂', 'li', 'li₂', 'u', 'u₂']	6	3	0.27422074582323214
885	7.860335736750017	-16.92224364607503	76.82462948382837	['ia', 'ia₂', 'li', 'li₂', 'u', 'u₂']	6	4	0.2763764880697431
886	4.741026493467999	-12.181217152607033	64.64341233122134	['ia', 'ia₂', 'li', 'li₂', 'u', 'u₂']	6	5	0.3024153529018698
887	3.6062549897057536	-8.57496216290128	56.06845016832006	['ia', 'ia₂', 'li', 'li₂', 'u', 'u₂']	6	6	0.31226182209987013
888	3.3543733817741597	-5.22058878112712	50.84786138719294	['ia', 'ia₂', 'li', 'li₂', 'u', 'u₂']	6	7	0.30318236571631724
889	0.08223553645418491	-5.138353244672935	45.70950814252001	['ia', 'ia₂', 'li', 'li₂', 'u', 'u₂']	6	8	0.3148366348055422
890	2.1310851258240646	-3.00726811884887	42.70224002367114	['ia', 'ia₂', 'li', 'li₂', 'u', 'u₂']	6	9	0.3063909256101289
891	-0.4464722851580376	-3.4537404040069077	39.24849961966423	['ia', 'ia₂', 'li', 'li₂', 'u', 'u₂']	6	10	0.3222767869621679
892	0.2471128963581748	-3.206627507648733	36.0418721120155	['ia', 'ia₂', 'li', 'li₂', 'u', 'u₂']	6	11	0.3252413779935689
893	0.4437463000523252	-2.7628812075964078	33.27899090441909	['ia', 'ia₂', 'li', 'li₂', 'u', 'u₂']	6	12	0.3318305567681834
894	0.14994799277934234	-2.6129332148170654	30.666057689602024	['ia', 'ia₂', 'li', 'li₂', 'u', 'u₂']	6	13	0.3344983941711836
895	0.1430260698184327	-2.4699071449986327	28.19615054460339	['ia', 'ia₂', 'li', 'li₂', 'u', 'u₂']	6	14	0.35692745055290814
896	0.7924515285894707	-1.677455616409162	26.51869492819423	['ia', 'ia₂', 'li', 'li₂', 'u', 'u₂']	6	15	0.3571713473699057
897	0.349262820110944	-1.328192796298218	25.19050213189601	['ia', 'ia₂', 'li', 'li₂', 'u', 'u₂']	6	16	0.3632009423323071
898	0.23001981531338345	-1.0981729809848346	24.092329150911176	['ia', 'ia₂', 'li', 'li₂', 'u', 'u₂']	6	17	0.3646551311780425
899	-0.09588797874055643	-1.194060959725391	22.898268191185785	['ia', 'ia₂', 'li', 'li₂', 'u', 'u₂']	6	18	0.3660982085008007
